probe_kind,method,operator_kind,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,nominal_rank_mean,nominal_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std,rho_operator_to_T_mean,rho_operator_to_T_std,selection_alpha_mean,selection_alpha_std,tau_rank_mean,tau_rank_std
isotropic,raw,galerkin_main,4,0.29181558416766945,0.08495225456374254,0.28317318979072525,0.09506509994362235,1.0449933831138996,0.033923171127663354,0.06663313446141965,0.01531087203658162,0.9999999999999883,5.4461314991652965e-15,0.06663313446135383,0.015310872036566702,0.26907154152823864,0.08173269636376548,0.9953842082899651,0.001808582975971157,0.9225903302984488,0.04514333165400474,0.004860912213007912,0.1969441657432186,6.0,0.0,0.010451135401294463,0.008485950681648823,0.01343955224624357,0.012648627680768519,0.004509048982207174,0.0030470295773513084,6.0,0.0,0.004394332135989904,0.0018164303047094694,0.05,0.0,11.0,3.7416573867739413
isotropic,raw_actLR,activation_low_rank,4,0.29181558416766945,0.08495225456374254,0.1968610502718088,0.05906788639278422,1.0449933831138996,0.033923171127663354,0.20541250184071652,0.10625963217782092,0.9999999999999883,5.4461314991652965e-15,0.20541250184051354,0.10625963217771607,0.18749671973230214,0.051488047204794274,0.9493373720147134,0.043342267830039895,0.9628567158359042,0.019523623119915918,0.029089418658002172,0.17343916754645167,6.0,0.0,0.010451135401294463,0.008485950681648823,0.012506274380836997,0.0074189574309468246,0.007672730649837273,0.003859338283054617,6.0,0.0,0.12611283221448447,0.0860146905710464,,,,
isotropic,raw_best_rank,best_rank_control,4,0.29181558416766945,0.08495225456374254,0.29181558416766945,0.08495225456374256,1.0449933831138996,0.033923171127663354,4.800146286193904e-16,1.0159835468883855e-16,0.9999999999999883,5.4461314991652965e-15,4.80014628618916e-16,1.015983546887393e-16,0.2775594735789176,0.07175312685651665,1.0,0.0,0.9190993552163287,0.04098883731880868,4.648267990681555e-05,0.00015982794909070829,,,0.010451135401294463,0.008485950681648823,0.010451135401294344,0.008485950681648709,4.878922042647362e-16,1.1658471362008955e-16,6.0,0.0,2.267890845291371e-28,2.0165145648207848e-28,,,,
isotropic,raw_euclidean,galerkin_control,4,0.29181558416766945,0.08495225456374254,0.28564552717112024,0.09714361659073069,1.0449933831138996,0.033923171127663354,0.07335270846865118,0.01946150772750285,0.9999999999999883,5.4461314991652965e-15,0.07335270846857873,0.019461507727483854,0.2713861907781979,0.08352607931795246,0.9943353174480536,0.0026241046088289815,0.9211170810102278,0.04674286095435408,-0.03553466946000393,0.2244891256443614,6.0,0.0,0.010451135401294463,0.008485950681648823,0.015078060143265782,0.013657514206347986,0.006433390800823826,0.003977940013921658,6.0,0.0,0.0054385662038735245,0.0027158944648233967,,,,
isotropic,raw_poly_y,galerkin_control,4,0.29181558416766945,0.08495225456374254,0.9006613216957465,0.11168669674686621,1.0449933831138996,0.033923171127663354,0.8371306285384159,0.15712055320546844,0.9999999999999883,5.4461314991652965e-15,0.8371306285375884,0.1571205532053121,0.864230756566008,0.12480478833744008,0.28069715958460484,0.2493074762348417,0.2414230230113805,0.20871564777346324,-0.9349265981111603,0.05462369880471327,6.0,0.0,0.010451135401294463,0.008485950681648823,0.613498983692651,0.3243614987053359,0.6184432434896932,0.322957667483948,2.0,0.0,776.8489323323855,614.083955166962,,,,
isotropic,raw_random,galerkin_control,4,0.29181558416766945,0.08495225456374254,5.866879835011515,1.8655653867267457,1.0449933831138996,0.033923171127663354,5.846579356653795,1.8635255402127244,0.9999999999999883,5.4461314991652965e-15,5.846579356648011,1.8635255402108672,5.592406355366643,1.7044583534710254,-35.78703575284632,19.578573359227725,-32.45389255258309,17.169979760168918,-0.998572489540952,0.0007651505477301106,6.0,0.0,0.010451135401294463,0.008485950681648823,0.14191846389821802,0.09225321625774865,0.14073271325637576,0.08945324434806073,6.0,0.0,47.910911458829084,34.39886685670202,,,,
isotropic,raw_shuffled_Kt,galerkin_control,4,0.29181558416766945,0.08495225456374254,186.2109348723126,113.38950418388981,1.0449933831138996,0.033923171127663354,186.13574638046254,113.43405080183229,0.9999999999999883,5.4461314991652965e-15,186.13574638027856,113.4340508017203,177.23136889275358,106.68561501518337,-44295.978991508826,41704.424284419416,-39946.323457975246,37478.97538442166,-0.9999976997221134,2.0718155110512496e-06,6.0,0.0,0.010451135401294463,0.008485950681648823,5.849937659811815,3.0225920607221086,5.853033679538819,3.028334327092304,6.0,0.0,47222.78936707588,43316.56604444812,,,,
isotropic,raw_shuffled_labels,galerkin_control,4,0.29181558416766945,0.08495225456374254,0.6771535973613361,0.32180370175643513,1.0449933831138996,0.033923171127663354,0.5044095489511936,0.33035151941257157,0.9999999999999883,5.4461314991652965e-15,0.504409548950694,0.33035151941224294,0.6480194400499059,0.31456899280365513,0.6637219121438742,0.3968706779127039,0.5058555668922768,0.39373508338043844,-0.8299558330207716,0.2131565971591586,6.0,0.0,0.010451135401294463,0.008485950681648823,0.02157890015957612,0.006863777044850161,0.013765373537856226,0.002614408538796544,6.0,0.0,0.33573016516392346,0.3563371593158109,,,,
isotropic,resp,galerkin_main,4,0.29181558416766945,0.08495225456374254,0.30073839517497786,0.07967241490784521,1.0449933831138996,0.033923171127663354,0.08105684583506728,0.03728014494187048,0.9999999999999883,5.4461314991652965e-15,0.08105684583498711,0.03728014494183339,0.2862695480127753,0.06686811960049183,0.99238743083812,0.007394992483304373,0.914696236816382,0.03847009209004611,-0.19074387405204313,0.24399456498155125,6.0,0.0,0.010451135401294463,0.008485950681648823,0.01136219970063122,0.0075481929856466255,0.0018186451817308444,0.0017061761391192938,6.0,0.0,0.006973570889557231,0.0057811374013958545,0.05,0.0,20.0,0.0
isotropic,resp_actLR,activation_low_rank,4,0.29181558416766945,0.08495225456374254,0.21842433970807743,0.05174624355979055,1.0449933831138996,0.033923171127663354,0.21761047690466567,0.08767670793690487,0.9999999999999883,5.4461314991652965e-15,0.21761047690445057,0.08767670793681827,0.2086135539224222,0.046838307865444524,0.9468802765054389,0.038561618248417154,0.954835014807083,0.01949028291983811,-0.14425830377566018,0.2500391970135549,6.0,0.0,0.010451135401294463,0.008485950681648823,0.008326893906257527,0.004142067766804439,0.009920779657899836,0.0028224240395078853,6.0,0.0,0.12423892519315269,0.07452174779725762,,,,
isotropic,resp_best_rank,best_rank_control,4,0.29181558416766945,0.08495225456374254,0.29181558416766945,0.08495225456374256,1.0449933831138996,0.033923171127663354,4.800146286193904e-16,1.0159835468883855e-16,0.9999999999999883,5.4461314991652965e-15,4.80014628618916e-16,1.015983546887393e-16,0.2775594735789176,0.07175312685651665,1.0,0.0,0.9190993552163287,0.04098883731880868,4.648267990681555e-05,0.00015982794909070829,,,0.010451135401294463,0.008485950681648823,0.010451135401294344,0.008485950681648709,4.878922042647362e-16,1.1658471362008955e-16,6.0,0.0,2.267890845291371e-28,2.0165145648207848e-28,,,,
isotropic,resp_euclidean,galerkin_control,4,0.29181558416766945,0.08495225456374254,0.3188880549481502,0.07614722898068005,1.0449933831138996,0.033923171127663354,0.11364770066857344,0.07152508152149949,0.9999999999999883,5.4461314991652965e-15,0.11364770066846103,0.07152508152142838,0.3040129005346325,0.06557968877636805,0.9832473221677867,0.02115660827638872,0.9043506346235157,0.03708264080255854,-0.29404201666272606,0.30290449314855017,6.0,0.0,0.010451135401294463,0.008485950681648823,0.011359145756433453,0.007696081275340961,0.0016840584100162456,0.0010376420132436216,6.0,0.0,0.014023808685726558,0.015677998300001023,,,,
isotropic,resp_poly_y,galerkin_control,4,0.29181558416766945,0.08495225456374254,0.9006613216957465,0.11168669674686621,1.0449933831138996,0.033923171127663354,0.8371306285384159,0.15712055320546844,0.9999999999999883,5.4461314991652965e-15,0.8371306285375884,0.1571205532053121,0.864230756566008,0.12480478833744008,0.28069715958460484,0.2493074762348417,0.2414230230113805,0.20871564777346324,-0.9349265981111603,0.05462369880471327,6.0,0.0,0.010451135401294463,0.008485950681648823,0.613498983692651,0.3243614987053359,0.6184432434896932,0.322957667483948,2.0,0.0,776.8489323323855,614.083955166962,,,,
