episode,probe_kind,eps,additivity_defect
0,isotropic,0.003,0.001757846582452125
0,isotropic,0.009,0.004534349123351569
0,isotropic,0.03,0.015158485908761486
0,isotropic,0.09,0.045404704739739926
0,isotropic,0.3,0.1479977155888143
0,label,0.003,0.00013172010661247386
0,label,0.009,0.0002104589925483957
0,label,0.03,0.0006831525629212766
0,label,0.09,0.002025578329027832
0,label,0.3,0.0063106646310981404
1,isotropic,0.003,0.0027730565640250154
1,isotropic,0.009,0.0044102705564409185
1,isotropic,0.03,0.014865013783184205
1,isotropic,0.09,0.044157676169875516
1,isotropic,0.3,0.13823887403838828
1,label,0.003,0.0002115863840014108
1,label,0.009,0.0003326907544800047
1,label,0.03,0.001091203060683177
1,label,0.09,0.003235049489946114
1,label,0.3,0.009528796061039102
2,isotropic,0.003,0.0013244161309395085
2,isotropic,0.009,0.0031853215557893066
2,isotropic,0.03,0.01080115840714955
2,isotropic,0.09,0.032314434637230716
2,isotropic,0.3,0.10383562931628229
2,label,0.003,8.947438386275178e-05
2,label,0.009,0.00023917926897512202
2,label,0.03,0.0007779671422247183
2,label,0.09,0.002002298845199722
2,label,0.3,0.004020915962310781
3,isotropic,0.003,0.0013153641107470492
3,isotropic,0.009,0.0028743902102169737
3,isotropic,0.03,0.00940940299759
3,isotropic,0.09,0.028275611488158794
3,isotropic,0.3,0.09464806766820728
3,label,0.003,0.00013135898456256297
3,label,0.009,0.00021545129208766793
3,label,0.03,0.0007012550026162519
3,label,0.09,0.0020874849911612504
3,label,0.3,0.006330318235963035
