n_ctx,n_tgt,episodes,cap,r_T_mean,r_T_std,r_T_p10,r_T_p90,r_T_strict_mean,r_T_strict_std,r_T_strict_p10,r_T_strict_p90,r_T_over_cap_mean,r_T_over_cap_std,r_T_over_cap_p10,r_T_over_cap_p90,r_T_strict_over_cap_mean,r_T_strict_over_cap_std,r_T_strict_over_cap_p10,r_T_strict_over_cap_p90,rank_tau_task_mean,rank_tau_task_std,rank_tau_task_p10,rank_tau_task_p90,krr_risk_per_tgt_mean,krr_risk_per_tgt_std,krr_risk_per_tgt_p10,krr_risk_per_tgt_p90,krr_signal_per_tgt_mean,krr_signal_per_tgt_std,krr_signal_per_tgt_p10,krr_signal_per_tgt_p90,krr_risk_over_signal_mean,krr_risk_over_signal_std,krr_risk_over_signal_p10,krr_risk_over_signal_p90,participation_rank_mean,participation_rank_std,participation_rank_p10,participation_rank_p90,entropy_rank_mean,entropy_rank_std,entropy_rank_p10,entropy_rank_p90,tail_at_32_mean,tail_at_32_std,tail_at_32_p10,tail_at_32_p90,tail_at_48_mean,tail_at_48_std,tail_at_48_p10,tail_at_48_p90,tail_at_64_mean,tail_at_64_std,tail_at_64_p10,tail_at_64_p90
47,64,32,47,17.125,0.6090712125322324,16.1,18.0,27.875,1.237844119635477,26.0,29.0,0.36436170212765956,0.012958961968770902,0.3425531914893617,0.3829787234042553,0.5930851063829787,0.026337108928414395,0.5531914893617021,0.6170212765957447,0.0639817714817596,0.0037932979167412673,0.05942866387855233,0.06910363644520005,0.07584352616593046,0.008285139252814877,0.06597517778583871,0.08718001581974646,0.9241564738340686,0.00828513925281523,0.9128199841802541,0.9340248222141599,0.08215213062740695,0.009705681599860898,0.07063537113734139,0.09550625296073245,2.164375369648916,0.10393452886743212,2.0230357860504142,2.2966557618016683,3.792941602410478,0.2210854349548794,3.4713049555190385,4.078979342270203,0.005439300942750538,0.0008449438708447871,0.0042907648381229355,0.006428885191188324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,128,32,47,18.28125,0.6342063874918668,18.0,19.0,30.78125,1.4532360996377438,29.0,32.900000000000006,0.3889627659574468,0.013493752925358852,0.3829787234042553,0.40425531914893614,0.6549202127659575,0.030919917013569012,0.6170212765957447,0.7000000000000001,0.0642047448336638,0.0030457670245089817,0.06143945055173866,0.06808361671223832,0.07627288631599816,0.006629278703514051,0.07019684874218454,0.08484571734868877,0.923727113684002,0.006629278703513541,0.9151542826513115,0.9298031512578177,0.08262472118298958,0.007756305789019026,0.07549659662556693,0.0927140997518859,2.17110825460072,0.06364990131312878,2.0903212872901613,2.2461147076052064,3.847557854625152,0.13851301910682948,3.668757176483591,4.032346397862743,0.00820718366454267,0.001489525647581428,0.006371179726846087,0.010177445197463669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,256,32,47,18.84375,0.5148989879014481,18.0,19.0,32.28125,1.3496564676409923,31.0,34.0,0.40093085106382975,0.01095529761492442,0.3829787234042553,0.40425531914893614,0.6868351063829787,0.028716095056191344,0.6595744680851063,0.723404255319149,0.06380327567703814,0.002964626975780169,0.060191107928135076,0.06747071535512027,0.07538895755950115,0.006482575845291281,0.06756380309921568,0.08344837134469166,0.9246110424404992,0.006482575845291947,0.9165516286553088,0.9324361969007829,0.08158744687132205,0.007595276819801609,0.07245945646911149,0.09104604490052587,2.1773195776117573,0.054668554689923994,2.111345131866816,2.2387093970822955,3.8916599666403666,0.12566616750513313,3.71982220486193,4.049864935548505,0.009781807118263139,0.001442946385593576,0.007928843246687045,0.011415813003908048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,64,32,64,20.5,0.6221710168382552,20.0,21.0,35.84375,1.779985048867981,33.1,38.0,0.3203125,0.009721422138097737,0.3125,0.328125,0.56005859375,0.027812266388562202,0.5171875,0.59375,0.04827847897305701,0.003367064768526164,0.0434876984308523,0.0529510657837022,0.04470470962242082,0.0059333345695155556,0.036446062036620784,0.05309998078005141,0.9552952903775831,0.005933334569513824,0.9469000192199465,0.9635539379633764,0.04683588743892501,0.006505623272779421,0.03782479780731667,0.05607807665175668,2.2202539562590418,0.12681040701620822,2.0567150163487264,2.3972918526347553,4.024519292719287,0.2798450780533183,3.6706727824980683,4.388509232868369,0.01389311885682379,0.0022476874426771497,0.01097795860641402,0.016711067763676188,0.002148477026965501,0.00047989671614385006,0.0014928194349395978,0.0027277455881876116,0.0,0.0,0.0,0.0
96,128,32,96,21.8125,0.9310937030562325,21.0,23.0,43.59375,1.316382506426535,42.0,45.0,0.22721354166666666,0.00969889274016909,0.21875,0.23958333333333334,0.4541015625,0.013712317775276407,0.4375,0.46875,0.04872286663745247,0.0025610044834425937,0.045002872682474965,0.05175809655286534,0.04542163303587764,0.004499295693477657,0.0389288528988989,0.05085349974299273,0.9545783669641233,0.004499295693476092,0.9491465002570157,0.9610711471010878,0.0476054303317262,0.0049283594922234115,0.04050579045301622,0.053578167009025866,2.287577885983116,0.07318607237700427,2.2194776326564285,2.3682412592581676,4.252224418444694,0.16756196773448453,4.0836646145721565,4.462338096051149,0.02318958285437859,0.002262763807526233,0.021358128499187223,0.026340566083734158,0.006148393626898133,0.0008004686249832292,0.005446935517875324,0.007322865066600306,0.0008391589960056623,0.00014102397715288256,0.0006818169589197163,0.0010318313986106568
96,256,32,96,22.53125,1.1635422833577171,21.0,24.0,46.625,1.237844119635477,45.1,48.0,0.23470052083333331,0.012120232118309556,0.21875,0.25,0.4856770833333333,0.012894209579536211,0.46979166666666666,0.5,0.04842666747874544,0.0018393444480437544,0.04613233378337607,0.05072619760685555,0.04485059144608105,0.003252916913679643,0.04082624590549503,0.048944184119187335,0.9551494085539205,0.0032529169136791486,0.9510558158808236,0.9591737540945137,0.046968391729411516,0.0035668886933347406,0.04256399840567649,0.05146301221315154,2.27740215730316,0.05892024171566514,2.1909726247740946,2.353066901499594,4.262816621346435,0.1430420440979805,4.055602505159039,4.461698106546896,0.02759487216337711,0.0023510831457937125,0.02511821213768039,0.030772452066735366,0.00830329890418531,0.0009363003593012683,0.007485123682092985,0.009298976022473765,0.00133257483444563,0.00019817694792669145,0.0010899125376028795,0.001549632102320324
128,64,32,64,21.96875,0.8224422717264602,21.0,23.0,38.8125,1.5951033943634116,37.0,40.0,0.34326171875,0.012850660495725941,0.328125,0.359375,0.6064453125,0.024923490536928307,0.578125,0.625,0.043335688320148336,0.0034494261017953454,0.03884974486478545,0.048126370723416065,0.036383141181455955,0.005545966746908553,0.029301760147526407,0.044272712973816894,0.9636168588185474,0.005545966746909992,0.955727287026188,0.9706982398524806,0.037790171864485925,0.005975835731508131,0.03018630013281149,0.046323718185178595,2.3091216755766286,0.16107099201535807,2.1204289171319317,2.535858608697545,4.235574966791228,0.3485250956082914,3.829456842623198,4.7175328141819195,0.017866765500258223,0.0025713596178433573,0.014561577632046137,0.02156682717639681,0.0032047774193136314,0.0006179995204465021,0.002397267037350005,0.003965209177401691,0.0,0.0,0.0,0.0
128,128,32,128,25.09375,1.1460837947184006,23.1,26.0,47.03125,0.9666828882584055,46.0,48.0,0.196044921875,0.008953779646237505,0.18046875,0.203125,0.367431640625,0.007552210064518793,0.359375,0.375,0.04433486238632757,0.002406339621996336,0.040786291142295046,0.04739253359053237,0.037912780756907224,0.003950848348637289,0.03220049530760649,0.042989896309612294,0.9620872192430954,0.003950848348639974,0.9570101036903806,0.9677995046923865,0.03942379081983462,0.004270468486656084,0.03327208231471789,0.044921048039233705,2.330686000010492,0.08633814925001523,2.2223261039138404,2.4513019049097364,4.388072089047265,0.19321655833409845,4.124602772684103,4.656502896355598,0.02861985871106517,0.0020014939894004197,0.0258934891880078,0.030825593739120742,0.008664827236308284,0.0007509683399866838,0.007741565134106045,0.0095101034670374,0.0014595722013121665,0.0001942022537539369,0.0011872902079461413,0.0016929321466132114
128,256,32,128,28.125,1.4535828926505883,26.0,29.0,50.75,1.0472698761772856,49.0,52.0,0.2197265625,0.01135611634883272,0.203125,0.2265625,0.396484375,0.008181795907635044,0.3828125,0.40625,0.0436414019867853,0.0018144548673694474,0.04125476453904597,0.0462905591957606,0.036744225060096586,0.002938563354098854,0.03291863916528115,0.041095349044506915,0.9632557749399048,0.0029385633540990274,0.9589046509554933,0.9670813608347357,0.038155226622717094,0.0031676228557031344,0.03403916968654471,0.04285660030335236,2.323680653592191,0.06947836379456734,2.2426941317462914,2.3907170947897294,4.417678246041062,0.16535688511135876,4.204671470933385,4.618691166973199,0.035275864840324196,0.0026780288223207005,0.031853575857442154,0.037890186275301614,0.01252435183178819,0.001272259670824341,0.01069283837612812,0.01433870584527482,0.0024276157005736396,0.00031496399221810263,0.002041493113638017,0.0027596244619922106
192,64,32,64,25.84375,1.1103435969220548,24.1,27.0,41.125,1.3619246343602935,40.0,43.0,0.40380859375,0.017349118701907106,0.3765625,0.421875,0.642578125,0.021280072411879587,0.625,0.671875,0.036922505378660826,0.0035280492925244267,0.033519526222343575,0.04037838384610897,0.02674417424993128,0.005101907209872316,0.021977330805678055,0.03157855830535106,0.9732558257500665,0.005101907209872983,0.9684214416946519,0.9780226691943491,0.02750659124757284,0.0054177213241894335,0.022471188953946685,0.03260828125852066,2.3060322343369393,0.11950542710969624,2.160731999396203,2.4256361862655873,4.281479623946016,0.26651275993081025,3.959062139352998,4.5715786334434325,0.021877766879577817,0.0023717529038525496,0.018858338659127737,0.02454277711894619,0.004279697726282164,0.0006371407109427309,0.00354367777155648,0.005123936832979095,0.0,0.0,0.0,0.0
