probe_kind,eps,n,additivity_defect_mean,additivity_defect_std,eps_mean,eps_std
isotropic,0.03,4,0.01255851527417131,0.0028916543109088733,0.03,0.0
isotropic,0.09,4,0.03753810675875124,0.008539762527027818,0.09,0.0
isotropic,0.3,4,0.12118007165292304,0.025916311983720654,0.3,0.0
isotropic,0.8999999999999999,4,0.30287489824365055,0.05634516764116084,0.8999999999999999,0.0
isotropic,3.0,4,0.9635764256131166,0.53135538735816,3.0,0.0
label,0.03,4,0.0008133944421113559,0.00018971111645102288,0.03,0.0
label,0.09,4,0.00233760291383373,0.000599376757469415,0.09,0.0
label,0.3,4,0.0065476737226027645,0.002263847160105126,0.3,0.0
label,0.8999999999999999,4,0.013089172314757503,0.0035913813174507495,0.8999999999999999,0.0
label,3.0,4,0.26280010426239653,0.23287357307084264,3.0,0.0
