checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx30,0.0,16,16.0,0.0,0.05,0.0,36.18889502770124,85.35781619297869,0.0,0.0,8.84023084701041,19.60574274210226,1.0181352448592462,0.1430685850419137,141.44369355216656,313.6918838736362,30.0,0.0,0.0,0.0,8.550618724771338,0.4215884509383361,0.95,0.0,14.1875,0.6551081335677849,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,6.571720920621326,0.4493943335099916,16.0,0.0,0.9656147016731105,0.012243896190456675,0.8568111928971129,0.027846123659007502,0.3767541448596825,0.03644351148739875,0.41405253721994895,0.035588559947920845,5053.404751214537,2728.0880728836537
dx30,1.0,16,15.625,0.806225774829855,0.05,0.0,53.13340709015153,78.09152755429699,0.0,0.0,9.563955846800486,10.135064542084626,0.9081161272013447,0.18834464421579078,150.06799340794836,162.48231816594145,30.0,0.0,1.0,0.0,3.3661581860968406,1.8512745641648276,0.95,0.0,5.375,2.9410882339705484,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,2.4113806391821364,1.306182636420904,15.625,0.806225774829855,0.9665186170779646,0.009326673945660823,0.9997931006113279,0.00038348143107275445,0.010157577252197547,0.01051845428632929,0.18123030497880477,0.02987060100187406,124651.2316165765,141534.14390446938
dx30,2.0,16,14.625,1.4548768561863463,0.05,0.0,14.828535053837719,20.83983075919759,0.0,0.0,3.246059374093183,4.090047929646148,0.46720052301972437,0.34396714947363843,43.439304633316915,45.0401171656184,30.0,0.0,2.0,0.0,2.0363217880059534,0.7700273107478658,0.95,0.0,2.875,1.6278820596099706,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,1.6583284597063022,0.5633204334627843,14.5,1.4605934866804429,0.9696909036863797,0.016015039042322703,0.999983536296638,5.991797871293261e-05,0.0014477787827645488,0.003914777467763691,0.16321972246557076,0.06268822749856037,46898.96412754619,60912.75186551231
dx30,3.0,16,10.875,6.946221994724902,0.05,0.0,110.06730138885453,202.37954559215942,0.0,0.0,19.92814326869463,30.905916717554607,1.2461270596704876,1.0498623558778084,313.416631078896,497.865237469252,30.0,0.0,3.0,0.0,3.0898334307930533,1.882282887811442,0.95,0.0,0.625,1.2583057392117916,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,0.5063441201558677,0.7885614345212665,10.875,6.946221994724902,0.3700699148378192,0.4935677032448037,0.37499999999999994,0.4999999999999999,5.621644384490444e-10,1.254833223171692e-09,0.02480898830829059,0.0678398055130848,6168.479324119613,24418.88972580765
dx30,4.0,16,16.0,0.0,0.05,0.0,550.0065981631141,1250.6165239749519,0.0,0.0,107.86807555441085,212.36112872279824,1.9346286013860143,2.133460365282273,1725.8892088705734,3397.7780595647723,30.0,0.0,4.0,0.0,3.6663665866951236,1.4217303257199996,0.95,0.0,1.0,4.0,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,1.3711139565394624e-13,4.170303851833887e-13,16.0,0.0,0.03747386617618258,0.14989546470473034,0.03687744273280956,0.14750977093123824,0.007884844256501423,0.03153937702600569,0.007884844256501423,0.03153937702600569,2.7576654996722117e-07,3.23978241102306e-07
dx30,5.0,16,16.0,0.0,0.05,0.0,4068.859390281768,10806.013206509926,0.0,0.0,524.5374000560643,1427.7406409693897,6.125107436017415,12.130410372326537,8392.598400897028,22843.850255510235,30.0,0.0,5.0,0.0,3.338322536330301,1.0952151437724427,0.95,0.0,2.0,5.465040408511785,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,2.2571800914611425e-13,4.571605146271973e-13,16.0,0.0,0.07220155484008822,0.19762406473926647,0.0713097694296099,0.19519426027852857,0.01391038196617147,0.03803938289812517,0.01391038196617147,0.03803938289812517,3.72738590388822e-07,3.911291608078238e-07
dx30,6.0,16,16.0,0.0,0.05,0.0,2529.368871682702,7799.579095319827,0.0,0.0,336.8884759197583,1004.5697226507929,3.6345241265829458,6.553655556460364,5390.215614716133,16073.115562412684,30.0,0.0,6.0,0.0,3.4617803110021876,0.9434977704454262,0.95,0.0,2.0,5.465040408511785,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,2.7555674619467467e-13,5.346664964009751e-13,16.0,0.0,0.07374285090373991,0.20162863052673197,0.07306294898260718,0.19978536857405232,0.01197361475115006,0.032943096880732166,0.01197361475115006,0.032943096880732166,3.9004250153259757e-07,3.9702587955991195e-07
dx30,7.0,16,16.0,0.0,0.05,0.0,531.0336587079605,1203.4443226221802,0.0,0.0,92.28326142259644,214.89840161826356,2.168967322390041,3.373532720228525,1476.532182761543,3438.374425892217,30.0,0.0,7.0,0.0,3.6655855299225113,1.12432392304472,0.95,0.0,2.0,5.465040408511785,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,2.5638418258732593e-13,4.744925792243719e-13,16.0,0.0,0.07143119656777801,0.1954692504427746,0.07089257733081103,0.1940239012813507,0.010794505715455413,0.029963694583278404,0.010794505715455413,0.029963694583278404,3.954871904770756e-07,3.746783363522104e-07
dx30,8.0,16,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,8.0,0.0,4.139447133590524,1.214138504989204,0.95,0.0,0.0,0.0,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.438106039272656e-14,6.623000138830553e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2968942571603395e-07,2.1019680919130505e-07
