checkpoint,probe_kind,n,B_nat_mean,B_nat_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,E_TQ_T_mean,E_TQ_T_std,E_pointwise_F_T_mean,E_pointwise_F_T_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_keep_mean,causal_max_keep_std,d_model_mean,d_model_std,d_x_mean,d_x_std,dim_R_nat_mean,dim_R_nat_std,dim_over_nctx_mean,dim_over_nctx_std,dim_over_rT_mean,dim_over_rT_std,gamma_mean,gamma_std,max_build_closure_mean,max_build_closure_std,max_build_refinement_mean,max_build_refinement_std,max_causal_damage_mean,max_causal_damage_std,max_val_closure_mean,max_val_closure_std,max_val_refinement_mean,max_val_refinement_std,mean_build_closure_mean,mean_build_closure_std,mean_build_refinement_mean,mean_build_refinement_std,mean_candidate_rank_mean,mean_candidate_rank_std,mean_causal_damage_mean,mean_causal_damage_std,mean_hidden_s_mean,mean_hidden_s_std,mean_s_mean,mean_s_std,mean_val_closure_mean,mean_val_closure_std,mean_val_refinement_mean,mean_val_refinement_std,min_explainable_frac_mean,min_explainable_frac_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_build_mean,n_build_std,n_causal_mean,n_causal_std,n_eval_mean,n_eval_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,n_val_mean,n_val_std,r_eff_T_task_mean,r_eff_T_task_std,sum_candidate_rank_mean,sum_candidate_rank_std,sum_kept_causal_damage_mean,sum_kept_causal_damage_std,sweep_val_mean,sweep_val_std,tau_sv_mean,tau_sv_std
dx10,task,16,103.5,1.5491933384829668,0.013057573301102066,0.0034825389187867614,0.01305757330119515,0.0034825389187791043,1.1709456877901333e-11,2.4228134569143096e-11,0.012382338925490975,0.004266769323876014,1.0,0.0,0.9998192775092258,0.0001055648142153141,0.05,0.0,0.0,0.0,128.0,0.0,10.0,0.0,10.0,0.0,0.2127659574468085,0.0,1.0,0.0,0.95,0.0,0.015177446000813295,0.003975182358418381,0.999997863535979,7.019757458873239e-07,486.55614065474913,1490.924922199971,0.014919308069327921,0.004118441207277943,0.9999978789014251,7.682800971719783e-07,0.00820818411720245,0.0013984230111593803,0.8888430828350734,2.0490498620248896e-05,15.333333333333334,0.0,6.607976270012288,17.56426800699282,13.145833333333334,0.38643405093258115,1.3888888888888888,0.05737753105492472,0.00832904431352809,0.0015664781908286856,0.888842854310454,2.194639247374937e-05,0.001,0.0,0.03181207236341085,0.027658682986964066,0.04545827821962217,0.039461428538920554,1.4734036101492463,0.524904400213371,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,10.0,0.0,138.0,0.0,594.7131218975187,1580.802358954922,10.0,0.0,0.001,0.0
dx15,task,16,144.4375,7.615499545882288,0.01743360361507394,0.0038197052242871267,0.10891176721016683,0.10003903481951948,0.09966696527431951,0.10795871900565968,0.014230304271403687,0.005929515522866118,0.9791398538367903,0.025370001754615457,0.978792391284881,0.02544683169731969,0.05,0.0,0.0,0.0,128.0,0.0,15.0,0.0,14.5,0.5163977794943222,0.30851063829787234,0.010987186797751554,0.975297619047619,0.04199192774170831,0.95,0.0,0.06389557660804619,0.05067461115882846,0.9999987130209951,6.338153426652738e-07,298142.79645905906,1192487.217207104,0.10986559080055205,0.08846605543308979,0.9999984420144918,9.93979945841512e-07,0.017676060245260798,0.00844006732252228,0.8888106512134502,4.087160709070606e-05,15.88888888888889,0.0,2070.4727035239093,8281.15921711227,12.777777777777779,0.9796278792955029,1.923611111111111,0.1197992147380435,0.027060623561891328,0.015967204993147605,0.8888080474164086,4.458087343828228e-05,0.001,0.0,0.05508293590642979,0.03646431026079788,0.06877865459995149,0.033097751803924456,1.5584345285103078,1.031720395083238,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,14.875,0.3415650255319866,143.0,0.0,298147.371979142,1192486.9921942977,15.0,0.0,0.001,0.0
dx3,task,16,45.25,5.144576432192126,0.006292456042055376,0.001504312768282358,0.0062924560420540825,0.0015043127682861446,1.7365083067827746e-13,9.235524919852981e-14,0.007125092467325952,0.003315792523253145,1.0,0.0,0.9999582775782221,1.9492995365194963e-05,0.05,0.0,0.0,0.0,128.0,0.0,3.0,0.0,3.0,0.0,0.06382978723404255,0.0,1.0,0.0,0.95,0.0,0.027054881930468327,0.00948124336905456,0.9999939010273284,4.904005905816336e-06,4.839750877042931,4.0005137423341735,0.027251266426542645,0.008652038966250145,0.9999936527699511,4.350859334366961e-06,0.01446020150917893,0.004627794927734371,0.8887332861992836,0.00010636683450018585,14.777777777777779,0.4255231590028171,0.25694069594299784,0.21621318520547156,10.0625,1.1632003178403398,0.7083333333333333,0.08958064164776165,0.014647362931609054,0.00430526864919419,0.8887328183654934,9.207510015038179e-05,0.001,0.0,0.0057721627554728535,0.005682467862844031,0.0059097188314561205,0.005406674420895893,1.2530042429759047,0.7162104615798544,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,3.0,0.0,133.0,3.8297084310253524,8.142996284547786,5.2547208499336024,3.0,0.0,0.001,0.0
dx5,task,16,58.625,1.857417562100671,0.009109867170947163,0.002438629535633717,0.00910986717095744,0.002438629535628458,2.257358514157697e-13,1.373434892716653e-13,0.010661712312431536,0.00942424924116775,1.0,0.0,0.999911754019946,4.545365474122888e-05,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,1.0,0.0,0.95,0.0,0.0273892942433085,0.009083552960509278,0.9999953633439641,2.8154462570683854e-06,90.54339732826229,106.16773861152024,0.027254415756497827,0.008800865348168443,0.99999459084009,3.2151957585783298e-06,0.013998924414076668,0.0037647866153627265,0.8887502868707118,7.565379462239812e-05,14.909722222222221,0.2636207214421172,2.924337678300976,3.79484440389483,10.319444444444443,1.9385094609109217,0.8472222222222221,0.055555555555555525,0.01407210551768181,0.003731042906647851,0.8887525577275237,7.191271148636429e-05,0.001,0.0,0.01399631738845274,0.010079813335656843,0.015073582555938445,0.011513172074168904,1.0645946977454515,0.19962379863402782,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,134.1875,2.372586492979058,132.76663956976347,170.11458625004775,5.0,0.0,0.001,0.0
dx8,task,16,84.375,2.5787593916455256,0.012933533670949198,0.0022195450375691217,0.012933533671107134,0.002219545037647171,1.6623701249650585e-12,2.581966447251009e-12,0.012009550794997718,0.005608317144737944,1.0,0.0,0.9998276089857592,6.021297107115526e-05,0.05,0.0,0.0,0.0,128.0,0.0,8.0,0.0,8.0,0.0,0.1702127659574468,0.0,1.0,0.0,0.95,0.0,0.02676937616974173,0.009711851857929556,0.9999965161738201,1.8441282472033412e-06,548.3362845559236,721.7415270637144,0.026132244763219684,0.008645964666726524,0.9999957554403918,2.806446894114222e-06,0.014887650866580946,0.0044157746223748035,0.8887256819360043,0.00010958852552735568,15.20138888888889,0.2407763506426797,14.830392579556,18.068450850049775,11.17361111111111,1.4112824334611005,1.1319444444444446,0.08333333333333337,0.014806024875185866,0.004117108584773428,0.8887336025247969,9.527366306714291e-05,0.001,0.0,0.021083922155909658,0.01246504907547178,0.023926667957778508,0.016338461043527742,1.1403826298874975,0.30361575866547363,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,8.0,0.0,136.8125,2.166987155784116,1070.0873324617567,1299.3426247159955,8.0,0.0,0.001,0.0
