basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,r_eff_T_task_mean,r_eff_T_task_std,rank_mean,rank_std,selected_rank_mean,selected_rank_std
raw,0,16,0.06397668870832043,0.013099536649321938,0.9912487872436648,0.012088102584260232,0.9912487872436648,0.012088102584260232,0.9999999999999989,2.183124970245698e-16,0.9999999999999989,2.183124970245698e-16,0.9999999999989999,7.021666937153402e-17,0.999999999998991,1.2403067919639615e-14,2.000094534437835e-12,1.1102230246251565e-16,2.0179691251343e-12,2.48061192762323e-14,-0.9979577214967754,0.0007958456808813865,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.9827841521353757,0.019029098064004806,0.9999999999996714,1.654648054082292e-13,15.3125,0.47871355387816905,0.0,0.0,16.0,0.0
raw,1,16,0.06397668870832043,0.013099536649321938,0.5620727136967048,0.07315158246375444,0.9912487872436648,0.012088102584260232,0.5758960390618135,0.0766966500309739,0.9999999999999989,2.183124970245698e-16,0.5758960390612384,0.07669665003089741,0.5674583562905238,0.07712339267115352,0.6628290245754873,0.09159634490796772,0.6724147472850173,0.0904596380592976,-0.9939398064671237,0.0018189829654053867,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.6856110844773076,0.30472079006415864,0.7002573823521803,0.31439817467281883,15.3125,0.47871355387816905,1.0,0.0,16.0,0.0
raw,10,16,0.06397668870832043,0.013099536649321938,0.20440857679651306,0.03193951345527519,0.9912487872436648,0.012088102584260232,0.19848296797728046,0.031131588460042357,0.9999999999999989,2.183124970245698e-16,0.19848296797708218,0.031131588460011284,0.20623955692472629,0.03230560992705159,0.9596959091104678,0.012283325842461322,0.9564868210037811,0.013369427737804392,-0.9490089499361534,0.017549176284310117,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.10056429428736413,0.03228812808881609,0.059456967904779674,0.031262668280877405,15.3125,0.47871355387816905,10.0,0.0,16.0,0.0
raw,11,16,0.06397668870832043,0.013099536649321938,0.19480404936657392,0.03130268914549855,0.9912487872436648,0.012088102584260232,0.18756704210205943,0.029172569053252776,0.9999999999999989,2.183124970245698e-16,0.18756704210187208,0.02917256905322366,0.19657417468880134,0.03178434600756161,0.9640207558560623,0.010949288217376053,0.9604114894849838,0.012664257912275345,-0.9435571218539047,0.018510188505295323,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.09679693295251604,0.03219077944619285,0.05315963911920951,0.028822719007233315,15.3125,0.47871355387816905,11.0,0.0,16.0,0.0
raw,12,16,0.06397668870832043,0.013099536649321938,0.18642879103537313,0.02957627699190916,0.9912487872436648,0.012088102584260232,0.17823687944168065,0.02737047437083134,0.9999999999999989,2.183124970245698e-16,0.17823687944150263,0.027370474370804025,0.18814341782528732,0.030175611036785687,0.9675292933688776,0.009827858324316166,0.9637483972964161,0.011577336217425653,-0.9383973609420344,0.019307331229115873,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.09612953595009723,0.03166923775879582,0.050066832510638606,0.02175978957777654,15.3125,0.47871355387816905,12.0,0.0,16.0,0.0
raw,13,16,0.06397668870832043,0.013099536649321938,0.17607678552717188,0.028475047538856588,0.9912487872436648,0.012088102584260232,0.16744982310434445,0.026739743429810788,0.9999999999999989,2.183124970245698e-16,0.1674498231041772,0.026739743429784097,0.17771844740328913,0.02919164774065239,0.9712902312311074,0.008974288680846128,0.9676172606733634,0.010428427928323025,-0.9310295622681657,0.019148628533666914,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.09488039832513412,0.033726874203673644,0.046763984428224555,0.021367422087209736,15.3125,0.47871355387816905,13.0,0.0,16.0,0.0
raw,14,16,0.06397668870832043,0.013099536649321938,0.16089730836215171,0.02965780257949103,0.9912487872436648,0.012088102584260232,0.15141629795957534,0.02731994623303945,0.9999999999999989,2.183124970245698e-16,0.1514162979594241,0.02731994623301218,0.16237666873210582,0.030114908786341005,0.9763733739664742,0.008923744344237032,0.9727835914534549,0.010367388856051658,-0.9160402404671466,0.024963839967245247,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.09224784603976985,0.03504278509446146,0.04006567276052119,0.021432007362882623,15.3125,0.47871355387816905,14.0,0.0,16.0,0.0
raw,15,16,0.06397668870832043,0.013099536649321938,0.15054228141448206,0.027705910708547218,0.9912487872436648,0.012088102584260232,0.13980376929237562,0.025335953346855126,0.9999999999999989,2.183124970245698e-16,0.13980376929223598,0.025335953346829837,0.15193540927172414,0.02821701777312645,0.9798531149679401,0.007400001013969102,0.9761691938231754,0.008729380250934006,-0.9040585148490896,0.025487951266863408,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.0905225448067438,0.03128298501273827,0.03769545513828445,0.01861570096168916,15.3125,0.47871355387816905,15.0,0.0,16.0,0.0
raw,16,16,0.06397668870832043,0.013099536649321938,0.1409507019077067,0.026102929842619655,0.9912487872436648,0.012088102584260232,0.12894128378570544,0.024112961199888282,0.9999999999999989,2.183124970245698e-16,0.12894128378557662,0.024112961199864214,0.14225899714800205,0.026576283922987522,0.9828290501190153,0.006668308041833537,0.9791002225424866,0.007772293065201814,-0.8896894844804897,0.02914078353103865,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.09021649032309685,0.030808850510287755,0.036609116242220546,0.01872701120634451,15.3125,0.47871355387816905,16.0,0.0,16.0,0.0
raw,2,16,0.06397668870832043,0.013099536649321938,0.5104849776150059,0.06870042200603321,0.9912487872436648,0.012088102584260232,0.5215627430994181,0.07249500212018309,0.9999999999999989,2.183124970245698e-16,0.521562743098897,0.07249500212011077,0.5153602530145236,0.07221719470628848,0.7230452500120338,0.07700308108603929,0.729514444102263,0.07560824465715732,-0.9925063298498442,0.002088802739068084,3.0,0.0,1.0,0.0,0.07050380787860568,0.025631682099255506,0.47741487318600473,0.20536497078702443,0.4781474198385508,0.20722344397179612,15.3125,0.47871355387816905,2.0,0.0,16.0,0.0
