episode,r_eff_T_task,r_eff_T_task_strict,rank_tau_task,krr_risk_total,krr_signal_total,E_F_T,F_T_excess_over_krr_risk
0,22,37,0.17399725658582396,3.1353014722498385,5.17802936584225,0.13839507783552377,0.04251691272022833
1,7,22,0.03499644214616782,0.8051650488120844,32.870561983968344,0.050604504334609834,0.07479207663435607
2,27,34,0.04396281785335581,6.881319442042404,178.0207722617431,0.10198952997403049,0.2478368165445215
3,9,34,0.24174049694780578,0.6164030579991747,0.5273949510675793,662.7049772401248,413500.0756711287
4,23,29,0.03472364110386172,5.269190187048446,218.5059971055091,0.07846867375852033,0.23904624966765134
5,15,35,0.16197065353222612,1.9637828115216927,3.7427497475170446,0.15030505215098322,0.04484608638891623
6,14,35,0.15897896133248546,1.456517121583586,2.8814181537474792,0.33010991699470343,0.17105040500036653
7,16,23,0.06145897141929969,2.344621354252078,31.03645751316411,0.07549855904823233,0.08384389854752991
8,29,38,0.09483432934726826,8.300663913766098,46.14787204592287,0.14796866011960147,0.11488355033265946
9,30,36,0.0425325857789052,8.950562512831777,247.3869358053824,0.09486004967951461,0.25182398818399654
10,23,36,0.10441421376241296,2.887835396136332,13.244122662151796,0.15347345626489056,0.13044080149659915
11,27,38,0.1331622636067276,5.355053227013671,15.099809147796687,0.1789585713041534,0.0856367938960206
12,27,37,0.1170898386448948,5.720298130044283,20.86172677623354,0.1237852814885692,0.05022375940644026
13,25,36,0.06500944118786921,3.9443495627599763,46.6651359331272,0.11421550891046006,0.06580315797315256
14,21,22,0.013126762387525132,3.3303745797155226,966.3797909326297,0.04099798079000778,0.6140182853708914
15,2,27,0.12797198336808888,0.44473735641845497,1.3578250382254762,814.453152114271,1719143.9693188693
