bank_index,base_mse,krr_mse,base_mse_ratio,sampling_mode,profile,tau_actual,log10_lambda1,lambda1,gamma,n_ctx_actual,n_tgt_actual
0,0.2925075721486934,0.1352439950700129,2.1628137500468583,train_distribution,minimal_step,8.314896583557129,1.7480287551879883,55.97946649822312,8,67,8
1,0.08758573809854653,0.11689552973935079,0.749265077063613,train_distribution,minimal_smooth,13.268596649169922,1.2537009716033936,17.93498309271718,4,53,8
2,0.2399879986516067,0.1659507940890781,1.4461395015849539,train_distribution,minimal_step,5.645211696624756,-0.4177067279815674,0.38220227871464363,4,23,8
3,0.09733542604509549,0.08815382182738071,1.104154352328522,train_distribution,minimal_step,8.009478569030762,-0.3959054946899414,0.4018782526619225,4,32,8
4,0.03329188266164403,0.043556969589334346,0.7643296348558672,train_distribution,minimal_smooth,7.511602878570557,-0.16734576225280762,0.6802275819005786,8,60,8
5,0.10047434213850714,0.08370742599210415,1.2003038075496977,train_distribution,minimal_smooth,6.564638614654541,0.0076944828033447266,1.0178750820367812,4,26,8
6,0.29099345509571073,0.20517360103319082,1.4182792212563295,train_distribution,minimal_step,13.13355827331543,0.7816178798675537,6.0480849128432475,4,53,8
7,0.17101931508853666,0.043669874182075116,3.916185202995932,train_distribution,minimal_step,12.442838668823242,0.8119583129882812,6.485721754845003,12,149,8
8,0.23822829527142209,0.07310838532574823,3.258563216927181,train_distribution,minimal_smooth,14.494128227233887,1.686915636062622,48.63127277660977,4,58,8
9,0.014431938353270723,0.011828956742661923,1.220051663662018,train_distribution,minimal_smooth,13.135009765625,0.8876750469207764,7.721026569055928,12,158,8
10,0.04453074397531509,0.026877084702568336,1.6568293945607797,train_distribution,minimal_smooth,12.909440994262695,1.1879873275756836,15.416554678113965,12,155,8
11,0.06489959583674587,0.12290553234178829,0.5280445444576606,train_distribution,minimal_step,15.118577003479004,0.16329622268676758,1.4564521557562526,4,60,8
12,0.06778458209068888,0.09569503569922477,0.7083395872669914,train_distribution,minimal_smooth,4.218410491943359,-0.3976106643676758,0.4003034523602618,4,17,8
13,0.17097249993462463,0.16948445551067703,1.008779828329766,train_distribution,minimal_step,3.625089645385742,-0.8206839561462402,0.1511179466418099,8,29,8
14,0.6598206163083944,0.196858816261951,3.35174532102439,train_distribution,minimal_step,11.366401672363281,1.7527506351470947,56.591425693853026,4,45,8
15,0.10649107345196995,0.03262615983512055,3.2639781693626486,train_distribution,minimal_smooth,13.669622421264648,1.0300214290618896,10.715721777030964,12,164,8
16,0.07363862473306426,0.061158648290227206,1.2040590626466035,train_distribution,minimal_smooth,15.894180297851562,1.411921501159668,25.817934886143988,12,191,8
17,0.04420111949755956,0.01544781875950504,2.861317845949132,train_distribution,minimal_smooth,13.852434158325195,1.5739624500274658,37.49405827286872,8,111,8
18,0.11442387419853936,0.12078524258420748,0.94733323169647,train_distribution,minimal_step,1.6460341215133667,-0.49475765228271484,0.3200680675255152,12,20,8
19,0.04578810763931032,0.028691503432655016,1.5958769029578608,train_distribution,minimal_step,2.3335089683532715,0.9012532234191895,7.966237011928127,8,19,8
20,0.08685295634445211,0.08960157157205027,0.9693240288158568,train_distribution,minimal_smooth,14.523662567138672,1.0077917575836182,10.181030947530525,4,58,8
21,0.2849715393657967,0.22635014534506587,1.2589854489881764,train_distribution,minimal_step,3.720348834991455,0.8376214504241943,6.880522991886952,8,30,8
22,0.12709832078765002,0.1265698690194243,1.0041751782815278,train_distribution,minimal_step,1.3193460702896118,-1.3462109565734863,0.04505977755495022,12,16,8
23,0.1357038686371424,0.13166885342108112,1.0306451762221789,train_distribution,minimal_step,13.643658638000488,-0.03197932243347168,0.9290106176471368,4,55,8
24,0.008888911870653453,0.021387313522035066,0.415616101643403,train_distribution,minimal_smooth,4.0384416580200195,-0.5420241355895996,0.2870621044983427,12,48,8
25,0.05437842479861843,0.022550535803937323,2.4114027831269516,train_distribution,minimal_smooth,14.725299835205078,0.717597484588623,5.219122429377364,8,118,8
26,0.05843131637444254,0.10923350520311718,0.5349211880163587,train_distribution,minimal_step,3.917764663696289,-1.1023075580596924,0.07901188845358141,8,31,8
27,0.16229892104800303,0.06017544279334078,2.6970955844127764,train_distribution,minimal_smooth,13.302972793579102,0.9208250045776367,8.333453272501025,8,106,8
28,0.08433296048886832,0.09936947595887408,0.84868074099305,train_distribution,minimal_step,5.371165752410889,-1.0588231086730957,0.08733270084499256,12,64,8
29,0.05500905978557924,0.032748444233999044,1.6797457428059892,train_distribution,minimal_step,5.1374921798706055,0.6128573417663574,4.100693801544818,12,62,8
30,0.1529431839536945,0.15834711177050698,0.9658728993766277,train_distribution,minimal_step,5.976025104522705,0.46042609214782715,2.886862453675317,12,72,8
31,0.13492874312615477,0.07372322582689053,1.8302067172559824,train_distribution,minimal_step,10.205438613891602,1.5900650024414062,38.91033791601058,12,122,8
32,0.19258000145894405,0.16157947508136683,1.1918593086279445,train_distribution,minimal_smooth,4.391905307769775,-1.8345947265625,0.014635422807891157,8,35,8
33,0.06633881361909755,0.10790232824078264,0.6148042836579333,train_distribution,minimal_step,9.857454299926758,0.31818532943725586,2.080584359599708,8,79,8
34,0.13758426863584816,0.03917049848855124,3.5124462017265703,train_distribution,minimal_step,4.7698445320129395,1.5998244285583496,39.79462610179953,12,57,8
35,0.2010607596617053,0.25066019651169824,0.802124798670705,train_distribution,minimal_step,2.7428712844848633,-1.3053779602050781,0.049501919524274046,4,11,8
36,0.2677848017101623,0.11009542452973836,2.432297280781453,train_distribution,minimal_step,13.379270553588867,1.7514927387237549,56.42775067119699,4,54,8
37,0.051297566232626046,0.03643015632976701,1.408107222167227,train_distribution,minimal_step,11.232078552246094,-0.22098112106323242,0.6011998712891095,12,135,8
38,0.05820132742246409,0.055879650766546954,1.0415478018217508,train_distribution,minimal_step,0.8112108707427979,-1.4898366928100586,0.03237153603126884,12,10,8
39,0.5365358194460796,0.08314927224320962,6.452682085740033,train_distribution,minimal_smooth,15.972677230834961,1.7970621585845947,62.67035554697058,4,64,8
40,0.03830509217042209,0.040402038509487814,0.9480980065257527,train_distribution,minimal_step,3.4994027614593506,-1.312577486038208,0.04868806490486429,12,42,8
41,0.08037930009230987,0.10396902277039066,0.7731081619361059,train_distribution,minimal_smooth,14.85368537902832,-0.14207148551940918,0.720988793584579,4,59,8
42,0.16462962140382498,0.16426257268617456,1.0022345243450659,train_distribution,minimal_step,3.174905776977539,-1.054610013961792,0.08818403891123898,8,25,8
43,0.4068586737371326,0.4224728072942934,0.9630410921423304,train_distribution,minimal_step,3.6141133308410645,-1.147953748703003,0.07112892601812625,4,14,8
44,0.05583856277112986,0.027794521507927692,2.0089772999043465,train_distribution,minimal_smooth,15.30404281616211,0.8175020217895508,6.569041745830578,8,122,8
45,0.5297780581992151,0.2835749591350176,1.8682117060518506,train_distribution,minimal_step,14.710921287536621,0.5661184787750244,3.682294156732725,4,59,8
46,0.2839286757171753,0.20109636241480278,1.411903588447382,train_distribution,minimal_step,10.366537094116211,-0.27165651321411133,0.5349873176246717,4,41,8
47,0.1273643354538767,0.07110964966221217,1.7910977772902517,train_distribution,minimal_step,8.24657154083252,0.6676797866821289,4.652429348478408,8,66,8
48,0.17834672705222823,0.13321656029610704,1.3387729472657763,train_distribution,minimal_smooth,6.962832450866699,-0.04575395584106445,0.9000073251232247,4,28,8
49,0.020214178541938577,0.014213600441005173,1.4221715761491498,train_distribution,minimal_smooth,5.512747287750244,-0.7235805988311768,0.18898154759743802,12,66,8
50,0.18459883907161803,0.18309354100954017,1.0082214700408214,train_distribution,minimal_step,2.0681216716766357,-1.2288968563079834,0.05903412678795651,4,8,8
51,0.04238843462999526,0.010714653239366686,3.95611819468464,train_distribution,minimal_smooth,14.061445236206055,1.055579423904419,11.365261268999566,12,169,8
52,0.09080649527170329,0.09458555486777878,0.9600461233075362,train_distribution,minimal_step,1.7556955814361572,-1.0418953895568848,0.09080392272844814,8,14,8
53,0.052079782389844925,0.055539914639840884,0.9377000797996569,train_distribution,minimal_step,5.696878433227539,1.0141713619232178,10.331689884221726,8,46,8
54,0.30947881000559463,0.2953115927437363,1.0479737931390736,train_distribution,minimal_smooth,2.7941222190856934,-1.948854684829712,0.011249813303650198,4,11,8
55,0.05033196745530377,0.027695419695252393,1.817339040503213,train_distribution,minimal_step,14.50368881225586,0.42557215690612793,2.6642327153783683,12,174,8
56,0.03509392375370152,0.040971295380096175,0.856549040691306,train_distribution,minimal_step,1.564341425895691,-1.7657263278961182,0.017150377037452876,4,6,8
57,0.05353940048192247,0.05913715489051506,0.9053428522397446,train_distribution,minimal_step,1.784062147140503,-0.8995804786682129,0.1260142100607315,8,14,8
58,0.11740193211080102,0.11998840306658864,0.9784439921718748,train_distribution,minimal_smooth,5.717180252075195,-1.5300490856170654,0.02950875688604308,12,69,8
59,0.18977133897749007,0.15239727905157172,1.245240992217918,train_distribution,minimal_smooth,2.029963493347168,-1.5933377742767334,0.025507167008415866,12,24,8
60,0.06029997039767221,0.025475329734455425,2.366994697466718,train_distribution,minimal_smooth,14.390380859375,1.0579943656921387,11.428635077843998,8,115,8
61,0.0382653681012588,0.042145763967331246,0.9079291605894181,train_distribution,minimal_smooth,13.542215347290039,0.5227823257446289,3.3325933681924313,8,108,8
62,0.022875684801880035,0.020833984509983982,1.097998550921339,train_distribution,minimal_step,0.5429482460021973,-1.6168813705444336,0.024161207183594886,8,4,8
63,0.10827463794032824,0.09915615015597676,1.0919608896675368,train_distribution,minimal_step,1.8947868347167969,-1.593679666519165,0.025487094750616127,12,23,8
64,0.16957409449468558,0.12607433963218306,1.3450325814865367,train_distribution,minimal_step,1.474554419517517,-1.9168882369995117,0.01210909713587169,4,6,8
65,0.2982829763346695,0.2882177731631978,1.0349222154518989,train_distribution,minimal_step,2.5441792011260986,-1.4746882915496826,0.03352059419530393,4,10,8
66,0.34457752755077464,0.24683162011567622,1.3960023735585025,train_distribution,minimal_smooth,13.211091995239258,-0.40253543853759766,0.3957897669746884,4,53,8
67,0.12758713995024967,0.12377654545984312,1.0307860788669596,train_distribution,minimal_smooth,5.17918586730957,-1.7993698120117188,0.015871946392695242,12,62,8
