name,n,mse_mean,mse_std,mse_median,mse_ratio_mean,mse_ratio_std,mse_ratio_median,mse_ratio_frac_le_2,mse_repair_factor_mean,mse_repair_factor_std,mse_repair_factor_median,point_err_mean,point_err_std,point_err_median,point_drift_mean,point_drift_std,point_drift_median,E_F_T_mean,E_F_T_std,E_F_T_median,damage_vs_base_mean,damage_vs_base_std,damage_vs_base_median,rank_Q_mean,rank_Q_std,rank_Q_median,r_T_mean,r_T_std,r_T_median,rho_TQ_mean,rho_TQ_std,rho_TQ_median
base,8,0.6059552249803057,0.5681003330024937,0.2852711256807423,25.116261292700454,16.344023774672078,15.368217058649211,0.0,1.0,0.0,1.0,0.03387960322982331,0.016552094129987007,0.0275030347126463,0.0,0.0,0.0,0.035657123262677476,0.015754341199583494,0.03263800686085326,0.0,0.0,0.0,19.25,9.7357955137582,17.0,8.0,0.0,8.0,0.47994185957669216,0.5621405410679388,0.3196008122097139
keep_Q,8,5445812502759563.0,1.297417807720658e+16,181949093798641.9,1.1086185452633629e+17,1.7977922460888243e+17,9181766718964334.0,0.0,0.30480518932701806,0.5351888606761247,9.33595428437168e-12,2505847.2028721673,4556716.844434909,619806.2932468469,2564845.543367792,4682635.571138036,622942.1756957507,56978395.54918235,142471940.66097525,5858639.308235573,56978395.55418448,142471940.66005674,5858639.317449991,19.25,9.7357955137582,17.0,8.0,0.0,8.0,0.47994185957669216,0.5621405410679388,0.3196008122097139
keep_krr_oracle,8,4640078612208330.0,1.1008389002304436e+16,178502844929165.9,1.0959736827615301e+17,1.8156817280686973e+17,1.4714907212579336e+16,0.0,0.015421411216637461,0.03877562074117485,1.2766436818874952e-15,2446247.6641663797,4213682.874547181,809666.7527865914,2500451.3653286807,4331045.238115346,804855.0262922356,,,,,,,19.25,9.7357955137582,17.0,8.0,0.0,8.0,0.47994185957669216,0.5621405410679388,0.3196008122097139
keep_random_A,40,6.4909724917804184e+16,2.0731080878954307e+17,1.1551406406012136e+16,8.132073339128596e+18,2.4626704607638446e+19,5.2956425484269926e+17,0.0,1.1697179452224694e-12,4.771529478573732e-12,2.725525634052215e-17,7715086.414173642,9964217.200126205,5244069.063928992,7725262.39809221,9887753.751687076,5231454.000892853,,,,,,,19.25,9.223020251745226,17.0,8.0,0.0,8.0,0.4799418595766921,0.53253312348949,0.3196008122097139
keep_response_svd,8,1.4301844495704579,1.3255060160084848,1.194276404489191,104.23822376632214,141.9117547917855,35.505676623183504,0.0,0.766690924983122,0.4653692392735811,0.9173886516107927,0.054727441242753874,0.035988397728243915,0.04437454787034669,0.03355289228285434,0.04959835983253668,0.009915443605777365,,,,,,,19.25,9.7357955137582,17.0,8.0,0.0,8.0,0.47994185957669216,0.5621405410679388,0.3196008122097139
remove_Q,8,3396288296294889.5,8018662669776258.0,369187374136684.0,6.0369882676843256e+16,9.766504714482379e+16,2.2554121875756376e+16,0.0,0.001147362214801003,0.002112691709507087,7.594597630070323e-16,2100441.4938346497,3548569.478269969,890137.1002263331,2144650.731324328,3646321.243443769,890064.7615160743,146418098.69175875,229133348.76385,43106217.42014395,146418098.69314823,229133348.76453438,43106217.42084654,19.25,9.7357955137582,17.0,8.0,0.0,8.0,0.47994185957669216,0.5621405410679388,0.3196008122097139
zero_context,8,395.51908761776053,318.0862885322203,298.71938358513927,25407.529909504236,20248.13252441413,20197.895110804406,0.0,0.002227766483749394,0.002791665937376024,0.0011560876532205043,0.9010184813366334,0.08831906655916134,0.9005624974867339,0.9007134854045455,0.0872278349654593,0.9012692343675537,,,,,,,19.25,9.7357955137582,17.0,8.0,0.0,8.0,0.47994185957669216,0.5621405410679388,0.3196008122097139
