selection_rank,bank_index,name,replicate,state_idx,basis_layer,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
1,137,base,base,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,1.257680846952212,49.99702444253677,1.0,0.028773182748558074,0.0,0.03991679062968353,0.03912501030468231,0.0
1,137,keep_Q,keep_Q,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,2164194484108858.5,8.603397657092987e+16,5.811311581223636e-16,1235084.819003247,1241386.0203452455,10524935.827986062,10524935.82785351,10524935.844607087
1,137,remove_Q,remove_Q,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,1376243089651948.5,5.471027054196308e+16,9.138507988950405e-16,984909.2489531236,989934.0871905641,36563341.82891707,36563341.82833884,36563341.83272456
1,137,zero_context,zero_context,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,1042.9770891522508,41461.831231443015,0.001205856638686547,0.8569811548755487,0.8573749056840483,,,
1,137,keep_response_svd,keep_response_svd,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,1.4092241340325202,56.021377478219456,0.8924633183461993,0.03060991643647915,0.008226825094833091,,,
1,137,keep_krr_oracle,keep_krr_oracle,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,38102802.99627186,1514713989.1255357,3.300756763420446e-08,163.88018798785552,164.71930042527586,,,
1,137,keep_random_A,keep_random_A_00,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,7.902935838401005e+16,3.1416815898711726e+18,1.5914096642934124e-17,7463505.694955449,7501583.262435666,,,
1,137,keep_random_A,keep_random_A_01,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,420082718721.5237,16699694526401.07,2.9938885626617246e-12,17207.432307509705,17295.226749043508,,,
1,137,keep_random_A,keep_random_A_02,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,6.814039496754708e+16,2.7088088372916193e+18,1.84571992509172e-17,6930282.908691908,6965640.077494017,,,
1,137,keep_random_A,keep_random_A_03,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,9.709881409599363e+16,3.860002951832492e+18,1.295258710069153e-17,8272858.637788412,8315065.421287476,,,
1,137,keep_random_A,keep_random_A_04,1,8,train_distribution,minimal_step,14.551473617553711,1.8415133953094482,4,58,8,8,16,17,,16,0.33602552292203774,0.33602552292203774,0.0,0.025155113948785217,1.257680846952212,1.1037342366984397e+17,4.387713126426688e+18,1.139477969546607e-17,8820250.054634264,8865249.530360725,,,
2,261,base,base,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,0.16214474284316793,47.29359976178664,1.0,0.025506373814226255,0.0,0.024440659621193017,0.024667783124565176,0.0
2,261,keep_Q,keep_Q,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,0.12628350752780193,36.83376689746365,1.2839740201820968,0.022327379113133546,0.005728510284203469,0.28599211265181784,0.2865698884713104,0.2880936481391276
2,261,remove_Q,remove_Q,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,121.69407074187592,35495.14202021095,0.0013323964089186524,0.7712488695774663,0.771696167827396,0.6291711293145505,0.6281309076300734,0.6349744415128539
2,261,zero_context,zero_context,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,198.81673941188018,57989.91157415181,0.0008155487476698809,0.985531852322048,0.9847547218399549,,,
2,261,keep_response_svd,keep_response_svd,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,0.12796327752815273,37.32371414271776,1.2671193327905739,0.0224849825592476,0.005804085985245417,,,
2,261,keep_krr_oracle,keep_krr_oracle,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,143412004928999.12,4.182972474604187e+16,1.1306218257212363e-15,835638.6193361242,831108.8318560799,,,
2,261,keep_random_A,keep_random_A_00,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,4.368346454730523e+16,1.2741383114139613e+19,3.71181051053265e-18,14584256.236357035,14505198.513812087,,,
2,261,keep_random_A,keep_random_A_01,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,1.6262263533439056e+17,4.74329891481629e+19,9.97061340875211e-19,28139491.537877943,27986954.15961572,,,
2,261,keep_random_A,keep_random_A_02,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,4.484365122633884e+16,1.307978079194927e+19,3.6157792331578144e-18,14776658.329429477,14696557.641641894,,,
2,261,keep_random_A,keep_random_A_03,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,6247913298406829.0,1.8223613402440156e+18,2.5951823448720652e-17,5515606.129486151,5485707.366186739,,,
2,261,keep_random_A,keep_random_A_04,1,8,train_distribution,minimal_smooth,15.558833122253418,1.9410758018493652,8,124,8,8,22,22,,22,0.7699856173439372,0.7699856173439372,0.0,0.0034284711601543457,0.16214474284316793,1.9337970944390906e+17,5.640406478880906e+19,8.384785731110997e-19,30685358.397399943,30519020.48345506,,,
3,87,base,base,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,1.5089063021433233,35.053118724754675,1.0,0.05115747256493374,0.0,0.03884074076486585,0.03909830234908208,0.0
3,87,keep_Q,keep_Q,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,1.4471630448312354,33.61877271802157,1.0426650317893436,0.050628972135509535,0.007712172378339727,0.3450636955586516,0.34487425507775316,0.3570045979477798
3,87,remove_Q,remove_Q,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,248.58591717761945,5774.852723294846,0.006069958907065441,0.7262697641516564,0.7144515838944729,0.8077283624002618,0.80788980325561,0.7952887145638211
3,87,zero_context,zero_context,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,494.4350212456727,11486.127055591644,0.0030517787723487017,1.0243109359498679,1.0214943484370789,,,
3,87,keep_response_svd,keep_response_svd,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,1.450127486429011,33.68763910364924,1.040533550508071,0.050683767435572555,0.007658672675151915,,,
3,87,keep_krr_oracle,keep_krr_oracle,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,119.67558258727706,2780.1609675347117,0.01260830546651325,0.5048812771409957,0.532583862902267,,,
