Experiment 2 Layerwise Sufficiency

checkpoint=model_dx3.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16  3.0    3.0        3.0  1.00     0.002       0.002    0.097
    1   31  3.0    3.0        3.0  1.00     0.001       0.001    0.096
    2   36  3.0    3.0        3.0  1.00     0.001       0.001    0.096
    3   42  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    4   45  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    5   46  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    6   46  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    7   47  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    8   47  3.0    3.0        3.0  1.00     0.000       0.000    0.095

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    5  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    1   12  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    2   15  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    3   18  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    4   21  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    5   21  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    6   22  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    7   24  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    8   24  3.0    3.0        3.0  1.00     0.000       0.000    0.095

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   20  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    1   33  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    2   37  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    3   42  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    4   45  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    5   46  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    6   46  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    7   47  3.0    3.0        3.0  1.00     0.000       0.000    0.095
    8   47  3.0    3.0        3.0  1.00     0.000       0.000    0.095
