Experiment 2 Layerwise Sufficiency

checkpoint=model_rbf_fixed_l3.pt
episodes=16, n_ctx=47, n_tgt=64, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 17.1   27.7        nan  0.00     0.401       0.401    0.400
    1   21 17.1   27.7        nan  0.00     0.246       0.237    0.274
    2   28 17.1   27.7        nan  0.00     0.149       0.128    0.194
    3   32 17.1   27.7       20.0  0.12     0.104       0.077    0.158
    4   34 17.1   27.7       20.0  0.44     0.087       0.057    0.143
    5   37 17.1   27.7       19.1  1.00     0.063       0.029    0.125
    6   39 17.1   27.7       18.6  1.00     0.059       0.022    0.119
    7   40 17.1   27.7       18.0  1.00     0.055       0.017    0.117
    8   40 17.1   27.7       17.8  1.00     0.053       0.015    0.114

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7 17.1   27.7        nan  0.00     0.680       0.680    0.668
    1   11 17.1   27.7        nan  0.00     0.417       0.417    0.415
    2   12 17.1   27.7        nan  0.00     0.375       0.375    0.374
    3   13 17.1   27.7        nan  0.00     0.349       0.349    0.355
    4   13 17.1   27.7        nan  0.00     0.325       0.325    0.333
    5   14 17.1   27.7        nan  0.00     0.286       0.286    0.300
    6   15 17.1   27.7        nan  0.00     0.264       0.264    0.281
    7   17 17.1   27.7        nan  0.00     0.174       0.173    0.209
    8   18 17.1   27.7        nan  0.00     0.151       0.148    0.190

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   23 17.1   27.7        nan  0.00     0.208       0.196    0.246
    1   25 17.1   27.7        nan  0.00     0.176       0.160    0.220
    2   27 17.1   27.7        nan  0.00     0.144       0.125    0.191
    3   30 17.1   27.7       20.0  0.06     0.107       0.081    0.161
    4   32 17.1   27.7       22.2  0.25     0.093       0.065    0.151
    5   35 17.1   27.7       20.8  0.81     0.073       0.041    0.132
    6   37 17.1   27.7       19.4  1.00     0.065       0.031    0.126
    7   39 17.1   27.7       18.2  1.00     0.056       0.019    0.117
    8   39 17.1   27.7       18.1  1.00     0.055       0.018    0.117
