checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx10,0.0,4,8.0,0.0,0.05,0.0,49.97497784214558,28.996909085377958,0.0,0.0,7.7634817217636405,3.3218252652835645,0.20658852644067868,0.09649374392305571,62.107853774109124,26.574602122268516,10.0,0.0,0.0,0.0,4.476832782805379,0.852582850076863,0.95,0.0,7.25,0.5,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.5787743711767552,0.9083623016385193,8.0,0.0,0.9811300314939067,0.01513889256898619,0.8768162498222024,0.049150605134416867,0.3449806575752565,0.07458414556048915,0.3719536808719061,0.050295813581188176,3559.702147062148,1083.6787080621996
dx10,1.0,4,16.0,0.0,0.05,0.0,0.09204772184920798,0.053557343397551666,0.0,0.0,0.018504936142334137,0.003753896038144077,0.09083373741721795,0.05402652166402292,0.12679084752393124,0.05611308419407064,10.0,0.0,1.0,0.0,1.9415970035828436,0.02498721331452438,0.95,0.0,2.0,0.0,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,1.7524887106169116,0.06242546542640363,1.5,0.5773502691896257,0.9966940487051759,0.0014345708041692779,0.9995967197226016,0.0002949291325272646,0.0191435790274902,0.00700510855654092,0.059717239065827404,0.013740245930082683,789.8640436890909,307.0993233023659
dx10,2.0,4,16.0,0.0,0.05,0.0,0.011015560123372035,0.004010888625249745,0.0,0.0,0.003489132232790868,0.0003781282498785398,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,10.457834067035174,1.3233021001311034,0.95,0.0,14.75,0.5,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,6.627601304421246,0.9434063591892404,0.0,0.0,0.9704539989271062,0.008942976312439696,0.8007104240211381,0.029492919043363524,0.4454877615702481,0.033271214183780685,0.47162009720677533,0.028341823525489095,4.811163156120001,0.5851030448966263
dx10,3.0,4,16.0,0.0,0.05,0.0,0.012982338281337708,0.007755532076481833,0.0,0.0,0.0024134841814577638,0.00036735672795223956,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,11.681738786982935,1.329978009886779,0.95,0.0,14.25,0.5,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,7.364129351817215,0.9320584825999617,0.0,0.0,0.9610138318784396,0.009939356863865831,0.8304421127613251,0.01012869990816175,0.41163608704134746,0.012308213187776473,0.44919608643324327,0.01440072972602083,4.308181619517742,0.6246658265663984
dx10,4.0,4,16.0,0.0,0.05,0.0,0.02009829247438442,0.017954128953684072,0.0,0.0,0.0025697639371480693,0.0012731318267236883,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,14.579236447115798,1.6102269411134047,0.95,0.0,15.0,0.0,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,8.620154008048491,1.7226854668192813,0.0,0.0,0.9708791044605499,0.00846395619035506,0.7411031554836225,0.007793821341173045,0.5087764643849144,0.007602964712781272,0.5294387952716542,0.012842840694422052,4.744508538243405,0.5616653737306528
dx10,5.0,4,16.0,0.0,0.05,0.0,0.17835119024376492,0.022839244945422676,0.0,0.0,0.012127657488618562,0.0014909837410616834,0.17835119024376492,0.022839244945422676,0.17835119024376492,0.022839244945422676,10.0,0.0,5.0,0.0,7.632514783430388,1.7249536905517904,0.95,0.0,13.25,0.9574271077563381,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.4253362655359307,0.7822135094871054,1.0,0.0,0.9614005240478976,0.008734858477888833,0.8443848609992144,0.01713348451512098,0.39400613968354214,0.022339826690887504,0.4337793699975609,0.013272164966432376,6.467045719090449,0.7003015760559275
dx10,6.0,4,16.0,0.0,0.05,0.0,0.05291579525729376,0.014272331544106592,0.0,0.0,0.00414610977046472,0.0009721547201426773,0.03222473427116048,0.03749328569867193,0.03222473427116048,0.03749328569867193,10.0,0.0,6.0,0.0,10.448812856098453,1.5008847433818369,0.95,0.0,14.5,0.5773502691896257,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.181361363938285,1.0001850960083498,0.5,0.5773502691896257,0.963710622897157,0.013341080294176052,0.7514159504167859,0.021546764626914974,0.4982276448170369,0.021702949822764987,0.5253052648845571,0.011767001110390658,6.326331696711624,0.5924557779326394
dx10,7.0,4,16.0,0.0,0.05,0.0,0.008728759375606066,0.004864593177837303,0.0,0.0,0.0012972241944564657,0.00044325050760761996,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,13.154580567115284,1.1768965248029597,0.95,0.0,15.25,0.5,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,8.108610326677148,1.06076171724417,0.0,0.0,0.9725946157439782,0.018934094392839863,0.6572446484482471,0.014008159350384266,0.5853621165567765,0.011918839535267817,0.6007213193423875,0.007917506707446943,6.642757753845217,0.4994543821865551
dx10,8.0,4,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,9.81714045938777,1.4327836673852117,0.95,0.0,14.0,0.0,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.503935112927013,1.1054241735488692,0.0,0.0,0.9579416723701081,0.005972901721047496,0.7416833945925311,0.05677278829660923,0.5059240271612993,0.056065249467044435,0.535758755151695,0.05462972255518023,9.99087274017148,1.2613861241411055
dx15,0.0,4,8.0,0.0,0.05,0.0,0.6013230681524246,0.23481242996923726,0.0,0.0,0.2894501039948945,0.07497101454980842,0.09310084381783008,0.031191902595088306,2.3156008319591566,0.5997681163984673,15.0,0.0,0.0,0.0,4.798117299789043,0.38402599887269484,0.95,0.0,7.5,0.5773502691896257,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.8876991002431955,0.5034057697290756,8.0,0.0,0.9764601156951824,0.02718589651756852,0.7582138411717276,0.046072707874241725,0.49002525718221346,0.04706599836793574,0.5078713643741093,0.04726455051800989,4388.113492372813,1751.5862669754279
