Experiment 3: Galerkin-Leverage Surgery

checkpoint=final/linear_baseline_dx5_L8.pt
episodes=32, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
low_task                   2      4.0    0.00105      1.024      0.00146      0.00000
low_task                   2      5.0    0.00089      1.023      0.00129     -0.00001
low_task                   2      6.0    0.00111      1.028      0.00140      0.00001
low_task                   2      7.0    0.00026      1.002      0.00055      0.00000
low_task                   2      8.0    0.00000      1.000      0.00000      0.00000
low_task                   4      0.0    0.00304      0.944      0.00686      0.00212
low_task                   4      1.0    0.00345      0.958      0.00590      0.00144
low_task                   4      2.0    0.00381      0.997      0.00475      0.00092
low_task                   4      3.0    0.00260      1.017      0.00311      0.00012
low_task                   4      4.0    0.00230      1.019      0.00239      0.00002
low_task                   4      5.0    0.00206      1.029      0.00211      0.00003
low_task                   4      6.0    0.00216      1.042      0.00221      0.00006
low_task                   4      7.0    0.00083      1.012      0.00083     -0.00002
low_task                   4      8.0    0.00000      1.000      0.00000      0.00000
random_A                   1      0.0    6.61869    947.654   1128.34404   1128.33457
random_A                   1      1.0 1564.70215 230047.149   1384.22362   1384.21412
random_A                   1      2.0  326.62337  53261.667  21855.14438  21855.13484
random_A                   1      3.0   77.97993  11544.526   7231.50921   7231.49900
random_A                   1      4.0   15.06927   2510.700    945.12294    945.11412
random_A                   1      5.0    1.57856    186.194      4.36471      4.35584
random_A                   1      6.0    0.13608     18.052      0.15441      0.14528
random_A                   1      7.0    0.01116      1.708      0.01158      0.00618
random_A                   1      8.0    0.00000      1.000      0.00000      0.00000
random_A                   2      0.0  227.86446  25853.722  29677.77399  29677.76500
random_A                   2      1.0 2716.50621 481185.928  27807.38455  27807.37572
random_A                   2      2.0 1595.81564 237964.277   1962.83805   1962.82863
random_A                   2      3.0  211.41869  33636.438   2172.25818   2172.24863
random_A                   2      4.0   32.68700   4398.682    297.22190    297.21223
random_A                   2      5.0    4.41000    564.349      9.29871      9.28907
random_A                   2      6.0    0.19252     24.315      0.23315      0.22447
random_A                   2      7.0    0.01591      2.068      0.01683      0.01013
random_A                   2      8.0    0.00000      1.000      0.00000      0.00000
random_A                   4      0.0 1112.49535 179914.506 132046.33528 132046.32581
random_A                   4      1.0 3485.16904 603025.389  13862.15334  13862.14424
random_A                   4      2.0 1418.51485 213629.237   4689.94240   4689.93328
random_A                   4      3.0  233.01672  28784.782   7331.85829   7331.84892
random_A                   4      4.0   38.06703   5395.239    236.48807    236.47861
random_A                   4      5.0    7.49562   1083.936    116.96799    116.95860
random_A                   4      6.0    1.13141    149.150      1.69560      1.68589
random_A                   4      7.0    0.04813      5.132      0.04871      0.04040
random_A                   4      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   1      0.0    0.67583     84.971      1.52234      1.51582
random_Q                   1      1.0    0.59158     64.955      3.28606      3.28010
random_Q                   1      2.0    0.92719    122.741      1.42020      1.41414
random_Q                   1      3.0    0.12297     15.927      0.08299      0.07758
random_Q                   1      4.0    0.02761      4.516      0.02547      0.02063
random_Q                   1      5.0    0.01038      2.104      0.00918      0.00530
random_Q                   1      6.0    0.00879      1.836      0.00672      0.00320
