episode,lambda,basis,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res
0,0.0,raw,galerkin,40,0.08917641542682452,0.0014041479642291715,0.0885828925327476,0.07020214999845753,0.07195545010245304,0.018570890444329434,1.021457853272422,0.9999999999999992,0.07044387575254378,0.01857089044431088,0.9950376603689601,0.9996551220281054,-0.2223053320633815
0,0.0,raw,actLR,40,0.08917641542682452,1.2040223465300355,1.20967017477376,0.07020214999845753,0.843953859517406,0.8289114046267362,1.021457853272422,0.9999999999999992,0.8262248479590454,0.828911404625908,0.3173525006150524,0.31290588328110425,-0.9966392829841423
0,0.0,response,galerkin,40,0.08917641542682452,0.07542640189102486,0.09217382939174215,0.07020214999845753,0.11266194988472117,0.09433839656122521,1.021457853272422,0.9999999999999992,0.11029525058099879,0.09433839656113095,0.9878349576992747,0.9911002669342748,-0.7839462263924855
0,0.0,response,actLR,40,0.08917641542682452,1.1378836529903527,1.1436612169483271,0.07020214999845753,0.8572105184867272,0.841503207618591,1.021457853272422,0.9999999999999992,0.8392030231493758,0.8415032076177501,0.2957382859369483,0.2918723515690378,-0.9967549372022141
0,0.1,raw,galerkin,40,0.08917641542682452,0.0014041479642291715,0.0885828925327476,0.08326794629587198,0.0853315789632912,0.020870972363779914,1.0176935973572818,0.9999999999999992,0.0838480061039924,0.02087097236375906,0.9929695118723848,0.9995644025125912,-0.21997350965307813
0,0.1,raw,actLR,40,0.08917641542682452,1.2040223465300355,1.20967017477376,0.08326794629587198,0.8879762526668876,0.8756988911003327,1.0176935973572818,0.9999999999999992,0.8725379180648152,0.8756988910994578,0.2386775815391179,0.23315145212718003,-0.9956386195696492
0,0.1,response,galerkin,40,0.08917641542682452,0.07542640189102486,0.09217382939174215,0.08326794629587198,0.1542650536165871,0.13800199512279654,1.0176935973572818,0.9999999999999992,0.1515830049604583,0.13800199512265865,0.9770225926071576,0.9809554493421657,-0.8433674719607787
0,0.1,response,actLR,40,0.08917641542682452,1.1378836529903527,1.1436612169483271,0.08326794629587198,0.8832729698457442,0.8707979491638683,1.0176935973572818,0.9999999999999992,0.8679164064100774,0.8707979491629982,0.24672111148421738,0.24171093173351632,-0.9955938993998117
0,0.25,raw,galerkin,40,0.08917641542682452,0.0014041479642291715,0.0885828925327476,0.10787836473082785,0.110335190980791,0.027538127426691976,1.0124752594113184,0.9999999999999992,0.10897569096634914,0.02753812742666446,0.9881242987784068,0.9992416515378328,-0.21301520460931186
0,0.25,raw,actLR,40,0.08917641542682452,1.2040223465300355,1.20967017477376,0.10787836473082785,0.9679986844826783,0.9622312838383867,1.0124752594113184,0.9999999999999992,0.9560714451872571,0.9622312838374253,0.0859273916975497,0.07411095640458032,-0.993770669126251
0,0.25,response,galerkin,40,0.08917641542682452,0.07542640189102486,0.09217382939174215,0.10787836473082785,0.2080554406527361,0.18617671240861958,1.0124752594113184,0.9999999999999992,0.20549187619014006,0.18617671240843356,0.9577730888198561,0.9653382317567875,-0.8559566235433543
0,0.25,response,actLR,40,0.08917641542682452,1.1378836529903527,1.1436612169483271,0.10787836473082785,0.9455021675202719,0.9399005734711826,1.0124752594113184,0.9999999999999992,0.9338521200696593,0.9399005734702435,0.1279202178414025,0.11658691199030746,-0.993469871350356
0,0.5,raw,galerkin,40,0.08917641542682452,0.0014041479642291715,0.0885828925327476,0.14898810562359577,0.15210895575614292,0.039052340883901804,1.002247088886355,0.999999999999999,0.1517679197502152,0.03905234088386279,0.9769664985346922,0.9984749146714906,-0.2074643660692223
0,0.5,raw,actLR,40,0.08917641542682452,1.2040223465300355,1.20967017477376,0.14898810562359577,1.1212477075766456,1.1270958077160378,1.002247088886355,0.999999999999999,1.1187338132569675,1.1270958077149118,-0.25156534492447546,-0.27034495976852946,-0.9912311800707989
0,0.5,response,galerkin,40,0.08917641542682452,0.07542640189102486,0.09217382939174215,0.14898810562359577,0.2902491228427654,0.25745709324886795,1.002247088886355,0.999999999999999,0.28959836956472035,0.25745709324861077,0.9161327843454556,0.9337158451359762,-0.8586707315551885
0,0.5,response,actLR,40,0.08917641542682452,1.1378836529903527,1.1436612169483271,0.14898810562359577,1.0732501479572933,1.0799958623589776,1.002247088886355,0.999999999999999,1.0708438666045539,1.0799958623578987,-0.14670658664459157,-0.16639106271018123,-0.9904443785454294
0,0.75,raw,galerkin,40,0.08917641542682452,0.0014041479642291715,0.0885828925327476,0.19365952225749608,0.19752253897464078,0.05176661842153967,0.9886432472906064,0.9999999999999989,0.19979152188188698,0.051766618421487956,0.9600833477841195,0.9973202172172041,-0.20493375714569645
