episode,probe_kind,basis,rank,TQ_E_model_to_operator,actLR_E_model_to_operator,actLR_model_fit_gain,TQ_E_operator_to_T,actLR_E_operator_to_T,actLR_KRR_cost,TQ_X_use,actLR_X_use,TQ_X_sub,actLR_X_sub
0,isotropic,raw,40,0.26332303308792493,1.453230303219895,-1.18990727013197,0.08134232999489054,1.4670902678901745,1.385747937895284,0.9278702233166504,-1.1968771944637937,0.9933834253510155,-1.1523538541337626
0,isotropic,response,40,0.44362663691556675,1.5132301161655477,-1.069603479249981,0.37523677690737617,1.5214631980738258,1.1462264211664497,0.7952744155857282,-1.3820278885002106,0.8591973612564454,-1.3148502630884074
0,label,raw,40,0.0822363903259856,0.8242139321510918,-0.7419775418251062,0.017652080860013783,0.8073214099173366,0.7896693290573228,0.993517052669143,0.34878511671176027,0.9996884040413122,0.3482321410903868
0,label,response,40,0.12301044159341515,0.8710563134864544,-0.7480458718930393,0.09245403249418302,0.8539156707186694,0.7614616382244863,0.9854946447340691,0.2726609906499411,0.9914522518755816,0.27082802730254296
1,isotropic,raw,40,0.22627263770809644,1.5964908751485662,-1.3702182374404699,0.04672126287816107,1.593681906468808,1.5469606435906469,0.9514542019602216,-1.4166872287279033,0.9978171235950741,-1.53982201900098
1,isotropic,response,40,0.2772140607226898,1.7646568791442192,-1.4874428184215294,0.13596086014884246,1.7727565497199735,1.636795689571131,0.9271351500532945,-1.952623776531635,0.9815146445076238,-2.142665784568786
1,label,raw,40,0.06815900617625463,0.7622051994141356,-0.694046193237881,0.011689554477896694,0.7663697249000948,0.7546801704221981,0.9953340289807556,0.41650202621316124,0.9998633543161085,0.41267744475772705
1,label,response,40,0.08106932497789822,0.802669416914042,-0.7216000919361438,0.03785966497838637,0.8071954181866576,0.7693357532082713,0.9933990164259192,0.3529036202437643,0.9985666457677272,0.34843555685976924
2,isotropic,raw,40,0.3212909229003896,1.560911370449568,-1.2396204475491786,0.17308623243393992,1.5838479706272786,1.4107617381933386,0.8891750580280976,-1.6157551494356563,0.970041156141884,-1.5085743940551337
2,isotropic,response,40,0.4740627219662509,1.6378838744864848,-1.1638211525202338,0.3908753694442527,1.6640557240871099,1.2731803546428573,0.758725062333037,-1.8800950104405114,0.8472164455621244,-1.7690814528615393
2,label,raw,40,0.08668609238447768,0.7373452540145827,-0.6506591616301051,0.030854058969081243,0.7426321615361522,0.711778102567071,0.9924881039298619,0.4565088252391176,0.9990480270451344,0.44849747265324524
2,label,response,40,0.1198470402573447,0.7970852072581861,-0.6772381670008414,0.09098382124146676,0.8022171967346037,0.7112333754931369,0.9856416232614171,0.3648735248686257,0.9917219442723174,0.3564475692645611
3,isotropic,raw,40,0.2756459029687724,1.221248333804724,-0.9456024308359516,0.056852339434284395,1.2062333865984196,1.1493810471641352,0.9300716594254381,-0.37264460428199886,0.9967678115008554,-0.45499898294178487
3,isotropic,response,40,0.39985968148348777,1.344351462732603,-0.9444917812491151,0.2814994919362309,1.3213068186539971,1.0398073267177663,0.8528482706871783,-0.6633199133468559,0.9207580360398022,-0.7458517090180579
3,label,raw,40,0.10340435994460496,0.7477734789760188,-0.6443691190314138,0.016673025168257034,0.7409692789226062,0.7242962537543491,0.9896341461380628,0.4579148670935198,0.9997220102317392,0.4509645276940104
3,label,response,40,0.1275169652919292,0.8132625709158177,-0.6857456056238884,0.07469283352775258,0.8047019660358325,0.73000913250808,0.9842361128345047,0.3588067371539132,0.9944209806196066,0.3524547458593602
