episode,model_key,checkpoint,mse_model_true,mse_krr_true,ratio_model_krr,mse_model_krr,rel_model_krr_norm,rel_model_true_norm,krr_pred_norm,model_pred_norm
0,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0.09965749598648371,0.08938160948182187,1.1149664518711953,0.005304879787054416,0.08917641542682452,0.36032794747852587,5.165564132191776,5.131764149265224
1,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0.04151881783752297,0.043658312446499745,0.9509945646296205,0.004708183957555879,0.11324845987734097,0.3641057292498128,3.8319903146387824,3.745563138878038
2,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0.17696211015545396,0.1869204965297558,0.9467239464949926,0.03969930462041282,0.11983182377595204,0.2334270682695888,10.51596849672014,10.458642104164971
3,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0.059539949587679095,0.06382117162240117,0.9329184669305042,0.0030737881853104714,0.08150591353703797,0.3251474118016237,4.302073685739508,4.280937235199432
