probe_kind,method,operator_kind,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,nominal_rank_mean,nominal_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
isotropic,raw,galerkin_main,4,0.27411094584675616,0.03699827127751115,0.2716331241662958,0.03919451795973801,1.0037309534347674,0.03681424448091626,0.08950054118531899,0.05758789201847598,0.9999999999999992,3.268408087260198e-16,0.08950054118522953,0.05758789201841839,0.2715611146847429,0.046357671908440985,0.9895023791472073,0.01311135898140472,0.9246427856826019,0.025927467877286867,-0.10127421870545027,0.1491201443873251,40.0,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
isotropic,raw_actLR,activation_low_rank,4,0.27411094584675616,0.03699827127751115,1.4579702206556884,0.16915926477100424,1.0037309534347674,0.03681424448091626,1.4627133828961703,0.18039538809212674,0.9999999999999992,3.268408087260198e-16,1.4627133828947083,0.1803953880919464,1.4564213039355713,0.19774741353537592,-1.1639373125329153,0.5042458931211645,-1.1504910442273382,0.5460548981275763,-0.9813932847081805,0.007142765263585311,40.0,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
isotropic,raw_best_rank,best_rank_control,4,0.27411094584675616,0.03699827127751115,0.2741109458467561,0.03699827127751112,1.0037309534347674,0.03681424448091626,2.1517536675231594e-15,5.542861766447311e-16,0.9999999999999992,3.268408087260198e-16,2.151753667521009e-15,5.542861766441771e-16,0.2739004077964856,0.043350674674586205,1.0,0.0,0.9235691058628626,0.024174382643315312,0.004227498346897119,0.010540522542174515,,,0.10094065315428886,0.018479401389000977,0.10094065315428916,0.018479401389001213,1.904553590698361e-15,3.79719177610818e-16,40.0,0.0
isotropic,raw_euclidean,galerkin_control,4,0.27411094584675616,0.03699827127751115,0.2715789988173214,0.039158395659445046,1.0037309534347674,0.03681424448091626,0.08988893739234487,0.05761635316905762,0.9999999999999992,3.268408087260198e-16,0.08988893739225504,0.05761635316900001,0.27150673969497807,0.04632216342591024,0.9894302458201201,0.013165822316979263,0.9246747831818609,0.025902524443954165,-0.101889937142431,0.1485596857408906,40.0,0.0,0.10094065315428886,0.018479401389000977,0.10116511014357998,0.01911861823773962,0.002102549696357924,0.001039321683361034,40.0,0.0
isotropic,raw_poly_y,galerkin_control,4,0.27411094584675616,0.03699827127751115,0.9585842526898574,0.03476241879256218,1.0037309534347674,0.03681424448091626,0.9548424548498625,0.022992264789538124,0.9999999999999992,3.268408087260198e-16,0.9548424548489084,0.02299226478951491,0.9552243230191408,0.02223308549158331,0.08787940323799698,0.04427496586937798,0.08717576014476702,0.042700844519903886,-0.9591482769051914,0.010037155092059739,40.0,0.0,0.10094065315428886,0.018479401389000977,0.5662078501378585,0.13576360393887082,0.5912231479473447,0.12232681696753844,2.75,0.5
isotropic,raw_random,galerkin_control,4,0.27411094584675616,0.03699827127751115,0.55662371499556,0.05504343523528794,1.0037309534347674,0.03681424448091626,0.4996198297673398,0.07479381641366692,0.9999999999999992,3.268408087260198e-16,0.4996198297668406,0.07479381641359222,0.5543404999268388,0.04747006579691107,0.7461844394734706,0.07642229255522802,0.69101655478079,0.05312968674509634,-0.864576479147239,0.04623445843803562,40.0,0.0,0.10094065315428886,0.018479401389000977,0.17049114074708427,0.028499452278309276,0.15826642398954727,0.03690785422146221,40.0,0.0
isotropic,raw_shuffled_Kt,galerkin_control,4,0.27411094584675616,0.03699827127751115,17.02967387148602,8.080258554516995,1.0037309534347674,0.03681424448091626,17.009375032257722,8.09156137722421,0.9999999999999992,3.268408087260198e-16,17.009375032240726,8.09156137721612,17.203028714850475,8.656238236662146,-337.42386312835595,270.0307629798197,-351.14204227135883,293.07747415654063,-0.9997708466435624,0.00024505684761617935,40.0,0.0,0.10094065315428886,0.018479401389000977,5.01301894063188,1.7369789275189793,5.007045988014794,1.7396341355334117,40.0,0.0
isotropic,raw_shuffled_labels,galerkin_control,4,0.27411094584675616,0.03699827127751115,0.27458176889851144,0.039422073647011016,1.0037309534347674,0.03681424448091626,0.10433440959370677,0.06746004669557983,0.9999999999999992,3.268408087260198e-16,0.10433440959360248,0.06746004669551237,0.2744902275817888,0.0464697328928023,0.9857011875496339,0.018390473500613996,0.9230355379057515,0.026065171216743187,-0.17401015209968526,0.12323940614269972,40.0,0.0,0.10094065315428886,0.018479401389000977,0.09765411385056025,0.017799431032544142,0.01698574833081159,0.011241606472607309,40.0,0.0
isotropic,resp,galerkin_main,4,0.27411094584675616,0.03699827127751115,0.3986907752719988,0.08652190576102027,1.0037309534347674,0.03681424448091626,0.29589312460917555,0.11705062703927431,0.9999999999999992,3.268408087260198e-16,0.2958931246088799,0.11705062703915729,0.39930051900398167,0.09704549351269115,0.902171621841499,0.061934450594364455,0.8334957246648095,0.07347195255761242,-0.7041280053102071,0.10280623400253777,40.0,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
isotropic,resp_actLR,activation_low_rank,4,0.27411094584675616,0.03699827127751115,1.5650305831322135,0.179388612309453,1.0037309534347674,0.03681424448091626,1.5698955726337265,0.1950732970422621,0.9999999999999992,3.268408087260198e-16,1.5698955726321577,0.19507329704206716,1.5621209705314454,0.19763508673208305,-1.4931123023841975,0.602288537520326,-1.4695166472048031,0.5942991803647435,-0.9838453670837504,0.005991997388858446,40.0,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
isotropic,resp_best_rank,best_rank_control,4,0.27411094584675616,0.03699827127751115,0.2741109458467561,0.03699827127751112,1.0037309534347674,0.03681424448091626,2.1517536675231594e-15,5.542861766447311e-16,0.9999999999999992,3.268408087260198e-16,2.151753667521009e-15,5.542861766441771e-16,0.2739004077964856,0.043350674674586205,1.0,0.0,0.9235691058628626,0.024174382643315312,0.004227498346897119,0.010540522542174515,,,0.10094065315428886,0.018479401389000977,0.10094065315428916,0.018479401389001213,1.904553590698361e-15,3.79719177610818e-16,40.0,0.0
isotropic,resp_euclidean,galerkin_control,4,0.27411094584675616,0.03699827127751115,0.4137974675559983,0.09610107494225813,1.0037309534347674,0.03681424448091626,0.31629888419555585,0.12574887385818306,0.9999999999999992,3.268408087260198e-16,0.31629888419523977,0.12574887385805733,0.4145885838887533,0.10720050045947146,0.8880954313994192,0.0710796356912429,0.8194973456350473,0.08433959924604473,-0.7236564924032678,0.10768436558572252,40.0,0.0,0.10094065315428886,0.018479401389000977,0.11571558559237671,0.0291439061320463,0.06084637889926291,0.044301690607611785,40.0,0.0
