probe_kind,basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,is_predeclared_rank_mean,is_predeclared_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
isotropic,raw,0,4,0.27411094584675616,0.03699827127751115,1.0037309534347674,0.03681424448091626,1.0037309534347674,0.03681424448091626,0.9999999999999992,3.268408087260198e-16,0.9999999999999992,3.268408087260198e-16,0.9999999999989999,9.064933036736789e-17,0.9999999999990028,3.653842760402404e-14,2.0000667788622195e-12,1.2819751242557092e-16,1.9946266860415562e-12,7.307640541713348e-14,-0.9623821697418085,0.010906786585235551,0.0,0.0,0.10094065315428886,0.018479401389000977,0.9901345249100285,0.00848624267612268,0.9999999999998044,7.242007851868177e-14,0.0,0.0
isotropic,raw,1,4,0.27411094584675616,0.03699827127751115,1.0157845847148905,0.03424190958269298,1.0037309534347674,0.03681424448091626,1.0014005840310363,0.02585576410255795,0.9999999999999992,3.268408087260198e-16,1.0014005840300357,0.02585576410253227,1.012315511265164,0.02548413546023407,-0.0033045200986909773,0.052374535112287936,-0.02526977521816695,0.05218158788937403,-0.962701379466725,0.012000015874345613,0.0,0.0,0.10094065315428886,0.018479401389000977,0.7686581973582921,0.12793487526540206,0.7652134805107331,0.13314874181801986,1.0,0.0
isotropic,raw,10,4,0.27411094584675616,0.03699827127751115,0.8801351555727326,0.05724697831527135,1.0037309534347674,0.03681424448091626,0.859071110444358,0.06441451341189738,0.9999999999999992,3.268408087260198e-16,0.8590711104434996,0.06441451341183292,0.8775873944081196,0.06140729209984307,0.25888490504781014,0.10667669351551913,0.22701222353369097,0.10416225953733292,-0.9510090252401617,0.011081757077775251,0.0,0.0,0.10094065315428886,0.018479401389000977,0.36263341109840574,0.0924300459885074,0.3599521666066468,0.10965510821406028,10.0,0.0
isotropic,raw,11,4,0.27411094584675616,0.03699827127751115,0.8599074315707819,0.05388124481413447,1.0037309534347674,0.03681424448091626,0.8374325151640244,0.06908672237553345,0.9999999999999992,3.268408087260198e-16,0.8374325151631876,0.06908672237546425,0.8575966681951773,0.06161648250848993,0.29512705114101934,0.11125340068994288,0.2616805115129917,0.10203878514605927,-0.9488557989489264,0.010387430038200845,0.0,0.0,0.10094065315428886,0.018479401389000977,0.36799495910342667,0.09500923848054119,0.355085427406025,0.10927669922841345,11.0,0.0
isotropic,raw,12,4,0.27411094584675616,0.03699827127751115,0.8335964460884099,0.06405933735774545,1.0037309534347674,0.03681424448091626,0.8088725283472923,0.08689985374582054,0.9999999999999992,3.268408087260198e-16,0.808872528346484,0.08689985374573354,0.8318456097975115,0.0775145400687321,0.340061544450594,0.1349618583539102,0.30352650351905597,0.12402475564832156,-0.9456064583780593,0.009643037047632258,0.0,0.0,0.10094065315428886,0.018479401389000977,0.3296221705772322,0.05196553908910503,0.3044332255326081,0.04917044424162466,12.0,0.0
isotropic,raw,13,4,0.27411094584675616,0.03699827127751115,0.8050002009278133,0.1029696639370673,1.0037309534347674,0.03681424448091626,0.7755461971725901,0.13286469405680898,0.9999999999999992,3.268408087260198e-16,0.775546197171815,0.13286469405667609,0.8038843614652291,0.1156755924074851,0.3852883258572556,0.19100262717951244,0.3437343013825237,0.17412288627045144,-0.9411784189715117,0.009443359659757266,0.0,0.0,0.10094065315428886,0.018479401389000977,0.30994392345140426,0.03528875625509963,0.282086469255612,0.030728600226032153,13.0,0.0
isotropic,raw,14,4,0.27411094584675616,0.03699827127751115,0.7649126272141279,0.1476546371021097,1.0037309534347674,0.03681424448091626,0.7279885824301756,0.18852636332005127,0.9999999999999992,3.268408087260198e-16,0.7279885824294482,0.18852636331986275,0.7648660092775589,0.16154113460064717,0.443375981602403,0.24664797490378834,0.3954083342257728,0.22560263138141615,-0.9325084321586655,0.017770937843251244,0.0,0.0,0.10094065315428886,0.018479401389000977,0.34643273587075557,0.05383687607912412,0.3094590882268282,0.03642237039745268,14.0,0.0
isotropic,raw,15,4,0.27411094584675616,0.03699827127751115,0.7467676276095957,0.16701467879124057,1.0037309534347674,0.03681424448091626,0.7062515264497563,0.21183154275611427,0.9999999999999992,3.268408087260198e-16,0.7062515264490505,0.21183154275590244,0.7469856380377584,0.17966561709917064,0.46755432950862674,0.26216784016163425,0.41780265608960376,0.24064862693559325,-0.9270809765721904,0.025414352889367605,0.0,0.0,0.10094065315428886,0.018479401389000977,0.22404841660787728,0.09280643740691,0.1758831923350896,0.12258156328758493,15.0,0.0
isotropic,raw,16,4,0.27411094584675616,0.03699827127751115,0.706527562373244,0.21636806591194035,1.0037309534347674,0.03681424448091626,0.6725706903130398,0.24729281831443808,0.9999999999999992,3.268408087260198e-16,0.6725706903123677,0.24729281831419087,0.7076045763511428,0.22749960855582596,0.5017833630404136,0.28162374607057167,0.46047870960712917,0.27653686431739954,-0.9023973387042348,0.06881936463323106,0.0,0.0,0.10094065315428886,0.018479401389000977,0.2144336804308644,0.0973521220644347,0.16627880282704754,0.12903055410455153,16.0,0.0
isotropic,raw,17,4,0.27411094584675616,0.03699827127751115,0.6862185851915725,0.2142410133664275,1.0037309534347674,0.03681424448091626,0.6434501499316924,0.2462999059430346,0.9999999999999992,3.268408087260198e-16,0.6434501499310493,0.24629990594278842,0.687499996694924,0.22591188624233546,0.5404741718031403,0.2725401345850875,0.48906661928530215,0.2678463337765308,-0.8947111334230312,0.07715368021757175,0.0,0.0,0.10094065315428886,0.018479401389000977,0.20554102234940344,0.09056360657759643,0.155327284827934,0.12534815762433588,17.0,0.0
