episode,r_eff_T_task,r_eff_T_task_strict,rank_tau_task,krr_risk_total,krr_signal_total,E_F_T,F_T_excess_over_krr_risk
0,5,5,0.004714203954471295,0.198018780768618,445.5122507683181,0.006922764199025678,0.09718734328283596
1,5,5,0.007973005959583319,0.2539691909451718,199.7592332517572,0.011619092279835182,0.09888675911330355
2,5,5,0.004399801447989131,0.21048390886270418,543.6542007070619,0.00784821359218428,0.1528130359234412
3,5,5,0.004279222847856096,0.22229948419176537,606.9859687535741,0.007492577941894679,0.17525829822499678
4,5,5,0.004864731085035259,0.1923240946674869,406.3366771787313,0.012829028109048133,0.285808929227673
5,5,5,0.006588475128865634,0.16291094196525657,187.65080744080322,0.009390063763354283,0.1027374681536417
6,5,5,0.005366985381791928,0.25303966263665867,439.2358498662085,0.009324900097625382,0.14282681097277947
7,5,5,0.009561884622486461,0.13255092724643003,72.48794309039502,0.005988758584064023,0.027464099605646414
8,5,5,0.003414000005613944,0.1835914378212955,787.5812937522835,0.018086464190032053,1.0836517946601152
9,5,5,0.0038593060054765145,0.23407343970910421,785.7849578599366,0.011633981700026327,0.4510940090540802
10,5,5,0.004034816145041125,0.21042477003794424,646.2779900687146,0.01023678227329218,0.33519927985870995
11,5,5,0.004696750684488294,0.25936028828847846,587.8661718791757,0.007843673185090095,0.12976363748367642
12,5,5,0.004050699325592387,0.18440718286188407,561.9372506483539,0.008395198853661209,0.19054724118612865
13,5,5,0.0034347254672081324,0.17523647322675995,742.6949107148838,0.007306341352737817,0.20878561946673796
14,5,5,0.007846940140956524,0.17335284505003656,140.76681962867752,0.005895074594873061,0.0331635652833515
15,5,5,0.006035509195905674,0.22660474158984023,311.03636330306887,0.005993994187724654,0.06657135392110135
