Experiment 2 Layerwise Sufficiency

checkpoint=final/linear_sweep_dx5.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7  5.0    5.0        5.0  1.00     0.003       0.003    0.225
    1   11  5.0    5.0        5.0  1.00     0.003       0.003    0.227
    2   14  5.0    5.0        5.0  1.00     0.005       0.005    0.226
    3   20  5.0    5.0        5.0  1.00     0.006       0.006    0.228
    4   26  5.0    5.0        5.0  1.00     0.003       0.003    0.226
    5   30  5.0    5.0        5.0  1.00     0.001       0.001    0.225
    6   32  5.0    5.0        5.0  1.00     0.000       0.000    0.225
    7   35  5.0    5.0        5.0  1.00     0.000       0.000    0.225
    8   28  5.0    5.0        5.0  1.00     0.005       0.005    0.227

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    6  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    1    7  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    2    8  5.0    5.0        5.0  1.00     0.001       0.001    0.222
    3   10  5.0    5.0        5.0  1.00     0.002       0.002    0.220
    4   11  5.0    5.0        5.0  1.00     0.001       0.001    0.221
    5   12  5.0    5.0        5.0  1.00     0.001       0.001    0.220
    6   13  5.0    5.0        5.0  1.00     0.001       0.001    0.221
    7   15  5.0    5.0        5.0  1.00     0.001       0.001    0.221
    8   13  5.0    5.0        5.0  1.00     0.002       0.002    0.223

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7  5.0    5.0        5.0  1.00     0.002       0.002    0.225
    1   10  5.0    5.0        5.0  1.00     0.001       0.001    0.225
    2   13  5.0    5.0        5.0  1.00     0.002       0.002    0.224
    3   20  5.0    5.0        5.0  1.00     0.002       0.002    0.225
    4   26  5.0    5.0        5.0  1.00     0.001       0.001    0.224
    5   29  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    6   31  5.0    5.0        5.0  1.00     0.000       0.000    0.223
    7   34  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    8   28  5.0    5.0        5.0  1.00     0.003       0.003    0.224
