checkpoint,episode,basis,rank,selected_rank,r_eff_T_task,kernel_lengthscale,kernel_signal_var,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res
rbf_l3_ntgt128,0,raw,0,17,30,3.0,1.0,0.05295116229421874,0.9999999999999409,1.0052491894058369,0.10466641104784863,1.0589380128474386,0.9999999999999999,1.0589380128474386,0.9999999999999999,0.9999999999990555,0.999999999999,1.8889334540972413e-12,1.999955756559757e-12,-0.9964675136068089
rbf_l3_ntgt128,0,raw,1,17,30,3.0,1.0,0.05295116229421874,0.30630401926165907,0.2910851822407157,0.10466641104784863,0.4854668317935244,0.49527069318192213,1.0589380128474386,0.9999999999999999,0.4584468834843945,0.4952706931814269,0.789826455023446,0.7547069404755888,-0.9774183682641417
rbf_l3_ntgt128,0,raw,2,17,30,3.0,1.0,0.05295116229421874,0.29841592114077686,0.28559518180880494,0.10466641104784863,0.43617167326446143,0.4465702530900116,1.0589380128474386,0.9999999999999999,0.41189537817346145,0.44657025308956505,0.8303421974393412,0.8005750090555218,-0.9721561375645522
rbf_l3_ntgt128,0,raw,3,17,30,3.0,1.0,0.05295116229421874,0.27235310418752573,0.2696838747474393,0.10466641104784863,0.39376602333776284,0.4048320726901069,1.0589380128474386,0.9999999999999999,0.37184992753123586,0.4048320726897021,0.8617276313950146,0.8361109929217597,-0.9660226451688217
rbf_l3_ntgt128,0,raw,4,17,30,3.0,1.0,0.05295116229421874,0.27247382468720094,0.269826894795875,0.10466641104784863,0.35314705827793696,0.36295977867356854,1.0589380128474386,0.9999999999999999,0.3334917190554018,0.3629597786732056,0.8887832733214729,0.8682601990654976,-0.95764190020471
rbf_l3_ntgt128,0,raw,5,17,30,3.0,1.0,0.05295116229421874,0.26844865649021343,0.26686346553806656,0.10466641104784863,0.28707921683611043,0.2874526760116759,1.0589380128474386,0.9999999999999999,0.27110105912988774,0.28745267601138846,0.9265042157386532,0.9173709590538918,-0.9336240069220243
rbf_l3_ntgt128,0,raw,6,17,30,3.0,1.0,0.05295116229421874,0.1412486664556843,0.16074910765249162,0.10466641104784863,0.19882198831539905,0.18523332272130785,1.0589380128474386,0.9999999999999999,0.18775602150742282,0.18523332272112264,0.9647476763877042,0.9656886161536924,-0.8537760404235206
rbf_l3_ntgt128,0,raw,7,17,30,3.0,1.0,0.05295116229421874,0.10538081686496797,0.08978943044353704,0.10466641104784863,0.19180437804460534,0.18090147468439952,1.0589380128474386,0.9999999999999999,0.18112899500951005,0.18090147468421863,0.9671922871668449,0.967274656457075,-0.8438486425369764
rbf_l3_ntgt128,0,raw,8,17,30,3.0,1.0,0.05295116229421874,0.05071561454055593,0.08767098369636259,0.10466641104784863,0.19098753640207053,0.17939258275187767,1.0589380128474386,0.9999999999999999,0.18035761686213617,0.1793925827516983,0.9674711300398109,0.9678183012536751,-0.842088984602411
rbf_l3_ntgt128,0,raw,9,17,30,3.0,1.0,0.05295116229421874,0.04753881420381729,0.08451213298809673,0.10466641104784863,0.17889521788969043,0.164950656242273,1.0589380128474386,0.9999999999999999,0.1689383285131865,0.16495065624210808,0.9714598411591707,0.9727912810052979,-0.8176717399447035
rbf_l3_ntgt128,0,raw,10,17,30,3.0,1.0,0.05295116229421874,0.03352109211130941,0.07367378633446792,0.10466641104784863,0.17145202052678288,0.1544333781045876,1.0589380128474386,0.9999999999999999,0.16190940210522226,0.1544333781044332,0.9737853455099295,0.9761503317272532,-0.7985977459436455
rbf_l3_ntgt128,0,raw,11,17,30,3.0,1.0,0.05295116229421874,0.03353656781808141,0.0741689048569316,0.10466641104784863,0.16549399306200954,0.14714348912912545,1.0589380128474386,0.9999999999999999,0.1562829845128017,0.14714348912897832,0.9755756287517714,0.9783487936069503,-0.7819769604084925
rbf_l3_ntgt128,0,raw,12,17,30,3.0,1.0,0.05295116229421874,0.0322327318108495,0.0742270659179243,0.10466641104784863,0.16126062524835685,0.14096385922707472,1.0589380128474386,0.9999999999999999,0.15228523604944702,0.14096385922693377,0.9768092068813642,0.9801291903918492,-0.7680992442501573
rbf_l3_ntgt128,0,raw,13,17,30,3.0,1.0,0.05295116229421874,0.03203208644502764,0.07407380443884877,0.10466641104784863,0.1537249643343243,0.13235219405592727,1.0589380128474386,0.9999999999999999,0.14516899239533326,0.13235219405579493,0.9789259636469236,0.9824828967286172,-0.7420046506841581
rbf_l3_ntgt128,0,raw,14,17,30,3.0,1.0,0.05295116229421874,0.03007764944588807,0.07281336438255473,0.10466641104784863,0.1461551505938338,0.1230002280296173,1.0589380128474386,0.9999999999999999,0.1380204967811958,0.12300022802949431,0.980950342468272,0.9848709439046924,-0.7102175157121745
rbf_l3_ntgt128,0,raw,15,17,30,3.0,1.0,0.05295116229421874,0.03150793198521842,0.07383037964895962,0.10466641104784863,0.14138364122047695,0.11492631498021821,1.0589380128474386,0.9999999999999999,0.1335145584585909,0.1149263149801033,0.9821738626796075,0.9867919421250941,-0.6844342337552453
rbf_l3_ntgt128,0,raw,16,17,30,3.0,1.0,0.05295116229421874,0.025981035908829823,0.0696639782959153,0.10466641104784863,0.13508169946947626,0.10495296408545207,1.0589380128474386,0.9999999999999999,0.12756336804466942,0.10495296408534713,0.9837275871331002,0.9889848753296998,-0.6456529017198737
rbf_l3_ntgt128,0,raw,17,17,30,3.0,1.0,0.05295116229421874,0.011505465531242674,0.058230076458417726,0.10466641104784863,0.12992474196540282,0.09465762430615443,1.0589380128474386,0.9999999999999999,0.12269343473270744,0.09465762430605978,0.9849463210734909,0.9910399341607329,-0.6051797898250677
rbf_l3_ntgt128,0,raw,18,17,30,3.0,1.0,0.05295116229421874,0.011406138532573095,0.058252877027773334,0.10466641104784863,0.12509505423851297,0.08357661442027174,1.0589380128474386,0.9999999999999999,0.11813255612764303,0.08357661442018817,0.9860446991827493,0.9930149495220592,-0.5585242413161132
rbf_l3_ntgt128,0,raw,19,17,30,3.0,1.0,0.05295116229421874,0.011087780419290953,0.057986516207679896,0.10466641104784863,0.12293279741013337,0.07910782230699896,1.0589380128474386,0.9999999999999999,0.11609064545662713,0.07910782230691986,0.9865229620374637,0.9937419524498567,-0.5355023432499129
rbf_l3_ntgt128,0,raw,20,17,30,3.0,1.0,0.05295116229421874,0.011719258731617643,0.05900159375863357,0.10466641104784863,0.12178307184792818,0.07597926471671493,1.0589380128474386,0.9999999999999999,0.11500491092990774,0.07597926471663896,0.9867738704620039,0.9942271513331189,-0.5213941371780886
rbf_l3_ntgt128,0,raw,21,17,30,3.0,1.0,0.05295116229421874,0.010748340591471338,0.0593271260696701,0.10466641104784863,0.11806636979155997,0.06550865803467011,1.0589380128474386,0.9999999999999999,0.11149507181631255,0.06550865803460461,0.9875688489606753,0.9957086157225052,-0.47036764950513965
rbf_l3_ntgt128,0,raw,22,17,30,3.0,1.0,0.05295116229421874,0.008807123029761972,0.05728877728583023,0.10466641104784863,0.11643846594757139,0.06015812529429309,1.0589380128474386,0.9999999999999999,0.10995777329247386,0.060158125294232936,0.987909288092561,0.9963809999610834,-0.4441190330406129
rbf_l3_ntgt128,0,raw,23,17,30,3.0,1.0,0.05295116229421874,0.010492405547870927,0.057495935329574026,0.10466641104784863,0.11504845814558018,0.05446923765292216,1.0589380128474386,0.9999999999999999,0.10864513007339419,0.054469237652867694,0.9881962357113353,0.9970331021495155,-0.41872677816781284
rbf_l3_ntgt128,0,raw,24,17,30,3.0,1.0,0.05295116229421874,0.007841911096407366,0.05620633226702814,0.10466641104784863,0.11428071708933141,0.05098887281714921,1.0589380128474386,0.9999999999999999,0.10792011968852414,0.05098887281709823,0.9883532477664146,0.9974001348488418,-0.4037114771774644
rbf_l3_ntgt128,0,raw,25,17,30,3.0,1.0,0.05295116229421874,0.0077113412555204945,0.055571327281311915,0.10466641104784863,0.11278093408727384,0.04829046111921145,1.0589380128474386,0.9999999999999999,0.1065038111002402,0.04829046111916317,0.9886569382211243,0.9976680313648986,-0.37608034492714254
rbf_l3_ntgt128,0,raw,26,17,30,3.0,1.0,0.05295116229421874,0.007674680231316206,0.055483232126440685,0.10466641104784863,0.11160360068767272,0.04605047497174299,1.0589380128474386,0.9999999999999999,0.10539200532377722,0.046050474971696946,0.9888925252138329,0.9978793537548811,-0.3522739192462035
rbf_l3_ntgt128,0,raw,27,17,30,3.0,1.0,0.05295116229421874,0.006913261352823449,0.05529429970816097,0.10466641104784863,0.11081505138902721,0.04133713092647973,1.0589380128474386,0.9999999999999999,0.10464734483460997,0.0413371309264384,0.9890489332190663,0.9982912416067705,-0.33113125541259086
rbf_l3_ntgt128,0,raw,28,17,30,3.0,1.0,0.05295116229421874,0.004524045274393801,0.05399790647764671,0.10466641104784863,0.1096621659653431,0.036471818668494214,1.0589380128474386,0.9999999999999999,0.10355862631691037,0.03647181866845775,0.9892756109153545,0.9986698064430152,-0.3001474430858629
rbf_l3_ntgt128,0,raw,29,17,30,3.0,1.0,0.05295116229421874,0.0012605510351109644,0.052979740978555984,0.10466641104784863,0.10878806664810377,0.03109162145460847,1.0589380128474386,0.9999999999999999,0.10273317732307542,0.031091621454577383,0.9894458942771055,0.9990333110753252,-0.27295355288050555
rbf_l3_ntgt128,0,raw,30,17,30,3.0,1.0,0.05295116229421874,0.0010849268169480558,0.05311589117443253,0.10466641104784863,0.10794183415427683,0.027820181514634373,1.0589380128474386,0.9999999999999999,0.1019340441504446,0.027820181514606555,0.9896094506431352,0.9992260375004943,-0.2448157423969981
rbf_l3_ntgt128,0,raw,31,17,30,3.0,1.0,0.05295116229421874,0.0010872734636721056,0.0531151080424564,0.10466641104784863,0.10731047018764475,0.026446783438165894,1.0589380128474386,0.9999999999999999,0.10133782042538088,0.02644678343813945,0.9897306461514332,0.9993005676457761,-0.2219704583334996
rbf_l3_ntgt128,0,raw,32,17,30,3.0,1.0,0.05295116229421874,0.0010668014937911185,0.053152040199755786,0.10466641104784863,0.10740999007087759,0.02454771501894894,1.0589380128474386,0.9999999999999999,0.10143180126469852,0.024547715018924398,0.9897115896921987,0.9993974096873497,-0.22460883538760518
rbf_l3_ntgt128,0,raw,33,17,30,3.0,1.0,0.05295116229421874,0.0008892959993209095,0.05318438066577029,0.10466641104784863,0.10718278242815824,0.02294565858174376,1.0589380128474386,0.9999999999999999,0.10121723946791478,0.022945658581720818,0.9897550704344948,0.9994734967522511,-0.21541906842964784
rbf_l3_ntgt128,0,raw,34,17,30,3.0,1.0,0.05295116229421874,0.0007108167129660993,0.053247060687325286,0.10466641104784863,0.10679463847237193,0.020888162614282776,1.0589380128474386,0.9999999999999999,0.10085069869680559,0.02088816261426189,0.9898291365723662,0.9995636846626001,-0.19866749203628398
rbf_l3_ntgt128,0,raw,35,17,30,3.0,1.0,0.05295116229421874,0.0006633186302703668,0.053172805611340454,0.10466641104784863,0.10597032574221514,0.01657604525447306,1.0589380128474386,0.9999999999999999,0.10007226528507125,0.016576045254456485,0.9899855417207143,0.9997252347237222,-0.15638942708669104
