basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,r_eff_T_task_mean,r_eff_T_task_std,rank_mean,rank_std,selected_rank_mean,selected_rank_std
raw,0,16,0.09827633265290016,0.01813060463772658,0.9690290793380552,0.03634324276416095,0.9690290793380552,0.03634324276416095,0.9999999999999998,9.064933036736789e-17,0.9999999999999998,9.064933036736789e-17,0.9999999999989999,9.064933036736789e-17,0.9999999999989667,3.703340795878608e-14,2.000039023286604e-12,1.1102230246251565e-16,2.066527504673843e-12,7.40668034363221e-14,-0.9959838082750561,0.001693607059334621,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.9585144077121601,0.030249658524580097,0.9999999999998981,4.179965360046763e-14,30.5625,1.5041608956491324,0.0,0.0,17.1875,1.6007810593582121
raw,1,16,0.09827633265290016,0.01813060463772658,0.5578862787235837,0.05876299785931935,0.9690290793380552,0.03634324276416095,0.5992016152024371,0.06654209084159038,0.9999999999999998,9.064933036736789e-17,0.599201615201838,0.06654209084152385,0.5771655907861731,0.0708324047646333,0.6368063151017945,0.08379684018577283,0.6621762280955032,0.08652956990470623,-0.9875271446054489,0.006507416219181145,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.5550990643162546,0.252567098329593,0.5962057523151374,0.2820294641437965,30.5625,1.5041608956491324,1.0,0.0,17.1875,1.6007810593582121
raw,10,16,0.09827633265290016,0.01813060463772658,0.20780485140491373,0.020797833662734373,0.9690290793380552,0.03634324276416095,0.2066852986440789,0.021535880029969038,0.9999999999999998,9.064933036736789e-17,0.20668529864387225,0.021535880029947507,0.21515149482896367,0.026823627107635025,0.9568463803288706,0.008675074142411768,0.9530352964873536,0.011818526000155956,-0.8853915679285653,0.03744794496500379,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.13275082482178407,0.04422517508387184,0.06419823265410622,0.024291986910030906,30.5625,1.5041608956491324,10.0,0.0,17.1875,1.6007810593582121
raw,11,16,0.09827633265290016,0.01813060463772658,0.19705037507607526,0.02055488747561469,0.9690290793380552,0.03634324276416095,0.1946964335737869,0.021554282647866674,0.9999999999999998,9.064933036736789e-17,0.19469643357359223,0.021554282647845126,0.20401560119345583,0.026157214303248143,0.9616577483470395,0.008274921849682653,0.9577361971008234,0.010954578310126981,-0.871605810249966,0.041047480978068256,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.13014489356285236,0.044205415875848655,0.05957441288357726,0.022604053370900996,30.5625,1.5041608956491324,11.0,0.0,17.1875,1.6007810593582121
raw,12,16,0.09827633265290016,0.01813060463772658,0.18592790532013348,0.02037760224549639,0.9690290793380552,0.03634324276416095,0.18129389357306536,0.02104371782395287,0.9999999999999998,9.064933036736789e-17,0.18129389357288409,0.021043717823931832,0.1925059351600152,0.02558925755391257,0.9667173634720714,0.007541527587097263,0.9623275804573926,0.010162529767885078,-0.8544470266439433,0.04517899203448274,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.12497333317774331,0.04484356070776534,0.05212908753508001,0.022438281540272314,30.5625,1.5041608956491324,12.0,0.0,17.1875,1.6007810593582121
raw,13,16,0.09827633265290016,0.01813060463772658,0.17602917148660252,0.02048474873324223,0.9690290793380552,0.03634324276416095,0.16914036726512355,0.02059875006696634,0.9999999999999998,9.064933036736789e-17,0.16914036726495446,0.020598750066945747,0.1822693553959529,0.025462544914664403,0.9709937469386759,0.006983200534487916,0.9661700622146083,0.00969622442245045,-0.8358020675691209,0.04991653559082165,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.12131623851581844,0.04396135986128815,0.048043647464330916,0.02090548726921276,30.5625,1.5041608956491324,13.0,0.0,17.1875,1.6007810593582121
raw,14,16,0.09827633265290016,0.01813060463772658,0.16639664592345024,0.021120344647564588,0.9690290793380552,0.03634324276416095,0.1570246089850525,0.02049219231293536,0.9999999999999998,9.064933036736789e-17,0.1570246089848955,0.020492192312914874,0.17232679925668126,0.025964609288190034,0.9749495878489631,0.006507544384517799,0.9696714483809271,0.009539879135226829,-0.8140859353738716,0.0524280928336854,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.11533098665975511,0.040257094553644776,0.040684189584280495,0.01777885193523904,30.5625,1.5041608956491324,14.0,0.0,17.1875,1.6007810593582121
raw,15,16,0.09827633265290016,0.01813060463772658,0.15921753292649443,0.019435136143322818,0.9690290793380552,0.03634324276416095,0.14718651745890612,0.01835337403114377,0.9999999999999998,9.064933036736789e-17,0.14718651745875894,0.018353374031125417,0.16486475804987766,0.023960793257718244,0.9780203356361814,0.005425530341278803,0.9722813744154624,0.008414705615349332,-0.7938609440378481,0.058510510886822575,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.11449078945358149,0.03968658939183915,0.03880013327102054,0.017505716180656404,30.5625,1.5041608956491324,15.0,0.0,17.1875,1.6007810593582121
raw,16,16,0.09827633265290016,0.01813060463772658,0.15163119610254167,0.01911146218218454,0.9690290793380552,0.03634324276416095,0.13611909163050995,0.01684357078455417,0.9999999999999998,9.064933036736789e-17,0.13611909163037386,0.01684357078453733,0.15703430107925853,0.02359266257415343,0.9812056186342465,0.0046275696719844045,0.9748184029151694,0.007996732400138408,-0.7687309417975416,0.06323450924057149,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.11283958266534169,0.0396014037622564,0.03596242331172869,0.01734069004771129,30.5625,1.5041608956491324,16.0,0.0,17.1875,1.6007810593582121
raw,17,16,0.09827633265290016,0.01813060463772658,0.14534701955942095,0.01796487267444333,0.9690290793380552,0.03634324276416095,0.1260599274620058,0.015458185887993461,0.9999999999999998,9.064933036736789e-17,0.12605992746187977,0.015458185887978006,0.1505160595248591,0.022230621591468547,0.9838848738967926,0.0038983276673234305,0.9768816028222874,0.0072136292380254475,-0.7425519131655545,0.07208221551419113,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.10805623233111952,0.03915514051180254,0.028589696561127018,0.01395103166687851,30.5625,1.5041608956491324,17.0,0.0,17.1875,1.6007810593582121
raw,18,16,0.09827633265290016,0.01813060463772658,0.13820549000846372,0.01769795540474595,0.9690290793380552,0.03634324276416095,0.11346182757144269,0.01452962266937836,0.9999999999999998,9.064933036736789e-17,0.11346182757132924,0.014529622669363838,0.14310957521530177,0.021707158912059182,0.986928498120192,0.0033264685256003384,0.9790778987804145,0.006817360610860634,-0.7074272664812259,0.07690889871800798,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.10488532570389172,0.036698378810139404,0.02365269374764232,0.011620977223823534,30.5625,1.5041608956491324,18.0,0.0,17.1875,1.6007810593582121
raw,19,16,0.09827633265290016,0.01813060463772658,0.13229049254193678,0.01664318432792037,0.9690290793380552,0.03634324276416095,0.10245076025177768,0.013095258795282455,0.9999999999999998,9.064933036736789e-17,0.10245076025167524,0.013095258795269363,0.1369341605234623,0.020180891805019308,0.9893430737836209,0.0027455660515749033,0.9808672215623166,0.006064012385988552,-0.6739735834381748,0.07786483454363635,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.10334944920664554,0.036609972778296584,0.02190313919953841,0.011248796682279572,30.5625,1.5041608956491324,19.0,0.0,17.1875,1.6007810593582121
raw,2,16,0.09827633265290016,0.01813060463772658,0.5104203299219751,0.057542577492274094,0.9690290793380552,0.03634324276416095,0.549245660162246,0.06320947420853638,0.9999999999999998,9.064933036736789e-17,0.5492456601616968,0.06320947420847318,0.5280973851849401,0.06827589409100529,0.6945834820156872,0.07087228084904318,0.7167429039040232,0.07464549234907306,-0.9847249418941857,0.007786515370180776,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.46734339873320335,0.24743669610930136,0.5009876644463107,0.2742980968170227,30.5625,1.5041608956491324,2.0,0.0,17.1875,1.6007810593582121
raw,20,16,0.09827633265290016,0.01813060463772658,0.12734273190358847,0.016035957277536185,0.9690290793380552,0.03634324276416095,0.091766552030773,0.012053221032489861,0.9999999999999998,9.064933036736789e-17,0.09176655203068124,0.01205322103247781,0.13180792973021588,0.019445527250018826,0.9914426997997211,0.0022128217291944854,0.9822721741633302,0.005659090362928341,-0.6373989181835962,0.08798943862587984,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.10332374792587642,0.03740293727644896,0.021528500786474794,0.012223676339985608,30.5625,1.5041608956491324,20.0,0.0,17.1875,1.6007810593582121
raw,21,16,0.09827633265290016,0.01813060463772658,0.12293055097077646,0.016743762465788892,0.9690290793380552,0.03634324276416095,0.08324744413493321,0.012256159487762826,0.9999999999999998,9.064933036736789e-17,0.08324744413484997,0.012256159487750573,0.12722685931372849,0.019866026572562395,0.9929290379399627,0.002054501668790551,0.9834433334456194,0.005647992959964208,-0.602325342113862,0.08671209270512968,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.10070103934814338,0.03451337182867718,0.01776866762877733,0.01138066371095395,30.5625,1.5041608956491324,21.0,0.0,17.1875,1.6007810593582121
raw,22,16,0.09827633265290016,0.01813060463772658,0.11910746016289558,0.01596701261578295,0.9690290793380552,0.03634324276416095,0.07520233920627399,0.010524997164513406,0.9999999999999998,9.064933036736789e-17,0.07520233920619879,0.010524997164502881,0.12324933663321128,0.01888324687512732,0.994240756085435,0.00159926058698516,0.9844753100702105,0.005216474527021393,-0.5659179794720339,0.09260079063023868,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.09884148944965479,0.03435041130247867,0.01514965342580853,0.009796391906178228,30.5625,1.5041608956491324,22.0,0.0,17.1875,1.6007810593582121
raw,23,16,0.09827633265290016,0.01813060463772658,0.11613967290178855,0.015888356650992193,0.9690290793380552,0.03634324276416095,0.06794151142071536,0.00783378680177806,0.9999999999999998,9.064933036736789e-17,0.06794151142064744,0.007833786801770225,0.12017555238695171,0.018713518828425514,0.995326418323701,0.0010636020089641633,0.985229528058233,0.005075916226219476,-0.5338383462707185,0.08906606785734149,3.0,0.0,1.0,0.0,0.09083869286883522,0.029727982810593336,0.09665892169768406,0.03260827630979442,0.01242317913923804,0.006371348932558973,30.5625,1.5041608956491324,23.0,0.0,17.1875,1.6007810593582121
