RBF final-state basis diagnostic

checkpoint=model_rbf_fixed_l3.pt, episodes=16, ell=3.0, sigma2=0.1, rank_tau=0.01

basis      rank     rT    E(TQ,T)    E(F,TQ)     E(F,T)
raw           0  30.56    1.00000    0.96903    0.09828
raw          10  30.56    0.20669    0.20780    0.09828
raw          15  30.56    0.14719    0.15922    0.09828
raw          16  30.56    0.13612    0.15163    0.09828
raw           5  30.56    0.34270    0.32270    0.09828
response      0  30.56    1.00000    0.96903    0.09828
response     10  30.56    0.19799    0.19914    0.09828
response     15  30.56    0.16110    0.17059    0.09828
response     16  30.56    0.15622    0.16729    0.09828
response      5  30.56    0.34489    0.32477    0.09828
