probe_kind,basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,is_predeclared_rank_mean,is_predeclared_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
isotropic,raw,0,1,0.26993775220687416,0.0,1.0457543404010246,0.0,1.0457543404010246,0.0,0.9999999999999898,0.0,0.9999999999999898,0.0,0.9999999999989999,0.0,0.9999999999990437,0.0,2.000177801164682e-12,0.0,1.9126922268242197e-12,0.0,-0.9661617802256185,0.0,0.0,0.0,0.07301471096269083,0.0,1.0245177093322557,0.0,0.9999999999993247,0.0,0.0,0.0
isotropic,raw,1,1,0.26993775220687416,0.0,1.0655174707761825,0.0,1.0457543404010246,0.0,0.9920096473233659,0.0,0.9999999999999898,0.0,0.992009647322384,0.0,1.0188984445109357,0.0,0.015916859619319434,0.0,-0.03815404022680435,0.0,-0.9680876255795667,0.0,0.0,0.0,0.07301471096269083,0.0,1.1749042189409602,0.0,1.1258696951355385,0.0,1.0,0.0
isotropic,raw,10,1,0.26993775220687416,0.0,0.9874783936444816,0.0,1.0457543404010246,0.0,0.9675922314639218,0.0,0.9999999999999898,0.0,0.967592231462964,0.0,0.9442737701331082,0.0,0.06376527361252182,0.0,0.10834704703860598,0.0,-0.9620760235841077,0.0,0.0,0.0,0.07301471096269083,0.0,0.32860807708916845,0.0,0.26054634025108575,0.0,10.0,0.0
isotropic,raw,11,1,0.26993775220687416,0.0,0.9828517861707017,0.0,1.0457543404010246,0.0,0.963944818370409,0.0,0.9999999999999898,0.0,0.9639448183694548,0.0,0.9398495881861307,0.0,0.07081038713867882,0.0,0.11668275158636043,0.0,-0.9617332819718531,0.0,0.0,0.0,0.07301471096269083,0.0,0.33089756633766765,0.0,0.26212095836321275,0.0,11.0,0.0
isotropic,raw,12,1,0.26993775220687416,0.0,0.9835514583631487,0.0,1.0457543404010246,0.0,0.965209001600587,0.0,0.9999999999999898,0.0,0.9652090015996315,0.0,0.9405186479886252,0.0,0.06837158323104253,0.0,0.11542467278564861,0.0,-0.9617995131050417,0.0,0.0,0.0,0.07301471096269083,0.0,0.33256487507160787,0.0,0.2626215462887233,0.0,12.0,0.0
isotropic,raw,13,1,0.26993775220687416,0.0,0.9611172402572892,0.0,1.0457543404010246,0.0,0.9391921791638557,0.0,0.9999999999999898,0.0,0.939192179162926,0.0,0.9190659824445978,0.0,0.11791805059919436,0.0,0.15531771991314625,0.0,-0.959904850379647,0.0,0.0,0.0,0.07301471096269083,0.0,0.31746889375410253,0.0,0.2495508786561986,0.0,13.0,0.0
isotropic,raw,14,1,0.26993775220687416,0.0,0.9554874957876622,0.0,1.0457543404010246,0.0,0.9311062177718525,0.0,0.9999999999999898,0.0,0.9311062177709308,0.0,0.9136825532278827,0.0,0.13304121122831192,0.0,0.1651841919269773,0.0,-0.9593822836521689,0.0,0.0,0.0,0.07301471096269083,0.0,0.3761484923629895,0.0,0.3252441992675697,0.0,14.0,0.0
isotropic,raw,15,1,0.26993775220687416,0.0,0.939610624789377,0.0,1.0457543404010246,0.0,0.8992473165340681,0.0,0.9999999999999898,0.0,0.8992473165331779,0.0,0.8985003346274973,0.0,0.19135426370787856,0.0,0.19269714867427534,0.0,-0.9578449376738511,0.0,0.0,0.0,0.07301471096269083,0.0,0.343240680522331,0.0,0.28944850301252983,0.0,15.0,0.0
isotropic,raw,16,1,0.26993775220687416,0.0,0.9607857490651972,0.0,1.0457543404010246,0.0,0.9182281341823313,0.0,0.9999999999999898,0.0,0.9182281341814224,0.0,0.9187489948125269,0.0,0.15685709359770383,0.0,0.15590028453097138,0.0,-0.9597293199251895,0.0,0.0,0.0,0.07301471096269083,0.0,0.34283143933417554,0.0,0.28854321813043027,0.0,16.0,0.0
isotropic,raw,17,1,0.26993775220687416,0.0,0.9631144628320872,0.0,1.0457543404010246,0.0,0.9219421732426631,0.0,0.9999999999999898,0.0,0.9219421732417505,0.0,0.9209758215890668,0.0,0.15002262919827802,0.0,0.1518035360483435,0.0,-0.9599232121541742,0.0,0.0,0.0,0.07301471096269083,0.0,0.34488677237146126,0.0,0.2912157149149893,0.0,17.0,0.0
