probe_kind,method,operator_kind,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,nominal_rank_mean,nominal_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
isotropic,raw,galerkin_main,1,0.26993775220687416,0.0,0.993868013109522,0.0,1.0457543404010246,0.0,0.9722913020763306,0.0,0.9999999999999898,0.0,0.9722913020753682,0.0,0.9503838279336658,0.0,0.05464962390858519,0.0,0.0967705796021523,0.0,-0.962538214840483,0.0,9.0,0.0,0.07301471096269083,0.0,0.3268098960963894,0.0,0.2579938785997683,0.0,9.0,0.0
isotropic,raw_actLR,activation_low_rank,1,0.26993775220687416,0.0,1.4027614208143941,0.0,1.0457543404010246,0.0,1.3255992819757711,0.0,0.9999999999999898,0.0,1.3255992819744589,0.0,1.341387137131196,0.0,-0.757213456371201,0.0,-0.7993194516610262,0.0,-0.9820079561093817,0.0,9.0,0.0,0.07301471096269083,0.0,0.7358534243875757,0.0,0.8033405262715012,0.0,9.0,0.0
isotropic,raw_best_rank,best_rank_control,1,0.26993775220687416,0.0,0.26993775220687427,0.0,1.0457543404010246,0.0,4.115719622116039e-16,0.0,0.9999999999999898,0.0,4.115719622111965e-16,0.0,0.258127307511916,0.0,1.0,0.0,0.9333702931166488,0.0,-0.0015069693143860386,0.0,,,0.07301471096269083,0.0,0.07301471096269092,0.0,2.1533817983008877e-16,0.0,9.0,0.0
isotropic,raw_euclidean,galerkin_control,1,0.26993775220687416,0.0,0.9374657224271289,0.0,1.0457543404010246,0.0,0.9284847943572784,0.0,0.9999999999999898,0.0,0.9284847943563593,0.0,0.896449277051754,0.0,0.13791598664902915,0.0,0.19637869367338756,0.0,-0.9581894316225832,0.0,9.0,0.0,0.07301471096269083,0.0,0.10515450463142631,0.0,0.06602639841886564,0.0,9.0,0.0
isotropic,raw_poly_y,galerkin_control,1,0.26993775220687416,0.0,1.005760292203987,0.0,1.0457543404010246,0.0,0.968515849703034,0.0,0.9999999999999898,0.0,0.9685158497020753,0.0,0.9617557903870019,0.0,0.06197704887586719,0.0,0.07502579965707334,0.0,-0.9633099146287897,0.0,9.0,0.0,0.07301471096269083,0.0,0.6689392532204741,0.0,0.6237637263587913,0.0,2.0,0.0
isotropic,raw_random,galerkin_control,1,0.26993775220687416,0.0,1.2268208921463273,0.0,1.0457543404010246,0.0,1.2624086250968956,0.0,0.9999999999999898,0.0,1.2624086250956459,0.0,1.1731444420060397,0.0,-0.593675536715879,0.0,-0.3762678818096623,0.0,-0.9768846047408586,0.0,9.0,0.0,0.07301471096269083,0.0,0.7446148917730729,0.0,0.8108741219463264,0.0,9.0,0.0
isotropic,raw_shuffled_Kt,galerkin_control,1,0.26993775220687416,0.0,3.266511787055738,0.0,1.0457543404010246,0.0,3.1868728058956983,0.0,0.9999999999999898,0.0,3.1868728058925435,0.0,3.123593812481788,0.0,-9.156158280937413,0.0,-8.756838305374512,0.0,-0.9968047889625109,0.0,9.0,0.0,0.07301471096269083,0.0,6.760505626976156,0.0,6.816221363391449,0.0,9.0,0.0
isotropic,raw_shuffled_labels,galerkin_control,1,0.26993775220687416,0.0,1.0279724592464565,0.0,1.0457543404010246,0.0,1.006215975765371,0.0,0.9999999999999898,0.0,1.006215975764375,0.0,0.9829961201511895,0.0,-0.012470589883453176,0.0,0.033718627767708176,0.0,-0.9650059535651255,0.0,9.0,0.0,0.07301471096269083,0.0,0.5929298953472114,0.0,0.5360469657124151,0.0,9.0,0.0
isotropic,resp,galerkin_main,1,0.26993775220687416,0.0,1.0248533817052397,0.0,1.0457543404010246,0.0,0.9798142720994721,0.0,0.9999999999999898,0.0,0.9798142720985022,0.0,0.9800135099714241,0.0,0.03996399219208224,0.0,0.03957352027348937,0.0,-0.9647280077325996,0.0,9.0,0.0,0.07301471096269083,0.0,0.6027960386382227,0.0,0.5558274276235227,0.0,9.0,0.0
isotropic,resp_actLR,activation_low_rank,1,0.26993775220687416,0.0,1.0543880666363308,0.0,1.0457543404010246,0.0,0.9874755624030129,0.0,0.9999999999999898,0.0,0.9874755624020355,0.0,1.0082559793450028,0.0,0.024892013658783685,0.0,-0.016580119884950673,0.0,-0.9671579621307685,0.0,9.0,0.0,0.07301471096269083,0.0,0.8821794346440874,0.0,0.840048191350795,0.0,9.0,0.0
