Experiment 2: Native Budget and Closure

episodes=16, n_build=8, n_eval=32, eps=0.001
n_ctx=47, n_tgt=16, sigma2=0.1, smax=1, tau_sv=0.001

name   probe L   H   B_nat    dim    E(TQ,T)    E(F,TQ)    E(F,T)     MSE/KRR   maxClos 
H1     task    8   1     45.0    4.6    0.19797    0.20615    0.01519     1.775  0.66255
H2     task    8   2     45.0    4.8    0.10904    0.11584    0.00911     1.354  0.68800
L2     task    2   4      6.0    6.0    0.01951    0.20155    0.19970    29.935  0.67627
L4     task    4   4     15.0    5.2    0.00001    0.02694    0.02694     3.842  0.68486
L6     task    6   4     28.0    5.0    0.00000    0.01302    0.01302     6.012  0.67144
H8     task    8   8     45.0    4.8    0.07190    0.07994    0.00966     1.625  0.67561
L8     task    8   4     45.0    4.8    0.09779    0.10529    0.00957     1.358  0.65398
L12    task   12   4     91.0    3.9    0.43205    0.43261    0.00954     1.217  0.68201
