basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,r_eff_T_task_mean,r_eff_T_task_std,rank_mean,rank_std,selected_rank_mean,selected_rank_std
raw,0,8,0.027059906851403737,0.0037849065599472207,0.9950674496682326,0.004662465561602726,0.9950674496682326,0.004662465561602726,0.9999999999999998,5.93439168722175e-17,0.9999999999999998,5.93439168722175e-17,0.9999999999989999,5.93439168722175e-17,0.999999999998995,4.6742517812208445e-15,2.0001222900134508e-12,1.0278667914282462e-16,2.0099477637813834e-12,9.348503562441689e-15,-0.9996473142607498,8.867549093446321e-05,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.9926888975802375,0.006558097154490516,0.9999999999998899,4.224009377044761e-14,47.125,0.8345229603962802,0.0,0.0,28.0,0.7559289460184544
raw,1,8,0.027059906851403737,0.0037849065599472207,0.5475985741898757,0.05557358631774159,0.9950674496682326,0.004662465561602726,0.5522778792383167,0.056525025939012874,0.9999999999999998,5.93439168722175e-17,0.5522778792377645,0.05652502593895641,0.5503503482114374,0.056238054299152726,0.6921934503669125,0.06332831767586229,0.6943471153161145,0.06279069566764528,-0.9988169114211765,0.0002913884346595698,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.7535575705538116,0.1670368009802007,0.7543640856520204,0.16857245933190482,47.125,0.8345229603962802,1.0,0.0,28.0,0.7559289460184544
raw,10,8,0.027059906851403737,0.0037849065599472207,0.23042157843225103,0.028105998242504916,0.9950674496682326,0.004662465561602726,0.23505648650187472,0.029336514029115596,0.9999999999999998,5.93439168722175e-17,0.23505648650163968,0.02933651402908628,0.2316043608175971,0.02857571850471164,0.943995395980048,0.014015279650820691,0.9456449198232193,0.013492374336026961,-0.993355472084587,0.0014142443273914905,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.1740038436599842,0.06636587620073728,0.15782270484443822,0.05788903881233868,47.125,0.8345229603962802,10.0,0.0,28.0,0.7559289460184544
raw,100,8,0.027059906851403737,0.0037849065599472207,0.02760922093531161,0.0036332509884843354,0.9950674496682326,0.004662465561602726,0.00430943171546236,0.0006014639011548384,0.9999999999999998,5.93439168722175e-17,0.004309431715458051,0.0006014639011542371,0.027756966261105562,0.003750335195795413,0.9999811122593184,5.291581709997321e-06,0.9992172439366591,0.00021165091054466416,-0.20270991023321255,0.06580194670710987,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.0344788505456723,0.014110438437743277,7.147455257406745e-05,2.3557799985880567e-05,47.125,0.8345229603962802,100.0,0.0,28.0,0.7559289460184544
raw,101,8,0.027059906851403737,0.0037849065599472207,0.027590793199530513,0.003677397253754696,0.9950674496682326,0.004662465561602726,0.004129545714168618,0.0004799074562427331,0.9999999999999998,5.93439168722175e-17,0.004129545714164489,0.0004799074562422533,0.027738658639091925,0.0037951508210191404,0.9999827453299239,3.93460407814844e-06,0.9992179640433689,0.00021405421686231284,-0.20023984281825707,0.07227789740124246,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.03447692365946227,0.014108760988444668,6.754884553124055e-05,2.0787599078319605e-05,47.125,0.8345229603962802,101.0,0.0,28.0,0.7559289460184544
raw,102,8,0.027059906851403737,0.0037849065599472207,0.027549416953537263,0.003671447308382825,0.9950674496682326,0.004662465561602726,0.003928257672996352,0.00046228364645574274,0.9999999999999998,5.93439168722175e-17,0.003928257672992425,0.0004622836464552806,0.027697147741943297,0.0037897843691910276,0.999984381798756,3.5998670902235204e-06,0.9992203008495917,0.00021363464808651136,-0.19227965034031713,0.07209124916125172,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.0344763233731387,0.014109294937199226,6.338264982728523e-05,2.254837674002758e-05,47.125,0.8345229603962802,102.0,0.0,28.0,0.7559289460184544
raw,103,8,0.027059906851403737,0.0037849065599472207,0.027527792708565826,0.003701661239890633,0.9950674496682326,0.004662465561602726,0.003733652139713433,0.0004859652335643041,0.9999999999999998,5.93439168722175e-17,0.0037336521397097,0.00048596523356381834,0.02767559397127598,0.0038208219409913875,0.9999858531997674,3.6229885644878896e-06,0.9992212876530704,0.0002154138127493568,-0.18860235174246986,0.06968483000914272,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.034474943625215415,0.014109359719277731,5.896675232140939e-05,1.7940125690667805e-05,47.125,0.8345229603962802,103.0,0.0,28.0,0.7559289460184544
raw,104,8,0.027059906851403737,0.0037849065599472207,0.027474213871153973,0.0036787510500665235,0.9950674496682326,0.004662465561602726,0.003603479531381352,0.00043599480403011835,0.9999999999999998,5.93439168722175e-17,0.003603479531377749,0.00043599480402968255,0.02762174418612661,0.0037980895802639794,0.9999868486052315,3.119799854269278e-06,0.9992244169492139,0.00021389329075725388,-0.1767133570539024,0.07232069790383007,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.03447241360398068,0.014109352593153228,5.1391215091484964e-05,1.3611365543425765e-05,47.125,0.8345229603962802,104.0,0.0,28.0,0.7559289460184544
raw,105,8,0.027059906851403737,0.0037849065599472207,0.027454877312753957,0.003694718625077292,0.9950674496682326,0.004662465561602726,0.003404314833593547,0.00043436756326730314,0.9999999999999998,5.93439168722175e-17,0.0034043148335901434,0.00043436756326686876,0.027602381075456907,0.003814027874611197,0.9999882455497313,2.967853402688665e-06,0.9992253801014155,0.00021437847501898504,-0.1738313257099245,0.06566913318624011,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.03447219323121238,0.014109192032569917,4.691462086130298e-05,1.3655809140648644e-05,47.125,0.8345229603962802,105.0,0.0,28.0,0.7559289460184544
raw,106,8,0.027059906851403737,0.0037849065599472207,0.027440038000202616,0.003698331662846991,0.9950674496682326,0.004662465561602726,0.003274433264610529,0.0004031758284103004,0.9999999999999998,5.93439168722175e-17,0.0032744332646072547,0.0004031758284098973,0.02758738838310274,0.00381710787500565,0.9999891358548907,2.636240449937911e-06,0.9992261869787366,0.00021458395399979473,-0.1731096055448848,0.057351057133604146,3.0,0.0,1.0,0.0,0.0344614786322531,0.014103981622308671,0.03447239840678555,0.014108827356318302,4.6329837005993815e-05,1.3640551881168943e-05,47.125,0.8345229603962802,106.0,0.0,28.0,0.7559289460184544
