control,k_remove,state_idx,n,agg_leverage_iso_mean,agg_leverage_iso_std,agg_leverage_task_mean,agg_leverage_task_std,base_E_iso_F_T_mean,base_E_iso_F_T_std,base_E_iso_F_TQ_mean,base_E_iso_F_TQ_std,base_E_iso_TQ_T_mean,base_E_iso_TQ_T_std,base_E_task_F_T_mean,base_E_task_F_T_std,base_E_task_F_TQ_mean,base_E_task_F_TQ_std,base_E_task_TQ_T_mean,base_E_task_TQ_T_std,base_pointwise_F_T_mean,base_pointwise_F_T_std,d_model_mean,d_model_std,d_x_mean,d_x_std,delta_E_iso_F_T_mean,delta_E_iso_F_T_std,delta_E_task_F_T_mean,delta_E_task_F_T_std,eps_mean,eps_std,k_remove_mean,k_remove_std,krr_err_inflation_mean,krr_err_inflation_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_ctx_mean,n_ctx_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,n_tgt_mean,n_tgt_std,pred_drift_mean,pred_drift_std,rank_Q_mean,rank_Q_std,sigma2_mean,sigma2_std,state_idx_mean,state_idx_std,surg_E_iso_F_T_mean,surg_E_iso_F_T_std,surg_E_iso_F_TQ_mean,surg_E_iso_F_TQ_std,surg_E_iso_damage_mean,surg_E_iso_damage_std,surg_E_task_F_T_mean,surg_E_task_F_T_std,surg_E_task_F_TQ_mean,surg_E_task_F_TQ_std,surg_E_task_damage_mean,surg_E_task_damage_std,surg_pointwise_F_T_mean,surg_pointwise_F_T_std
high_iso_low_task,1,0,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,9.208025151418752,25.99884998896874,5.68958788812498,16.07922155677741,0.001,0.0,1.0,0.0,1.1612417466166423,0.45848055318832426,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.05061166843124695,0.039646800566455476,39.5,1.4142135623730951,0.1,0.0,0.0,0.0,114.79480869075773,323.6146066536659,114.79538024004137,323.6120620239147,25.072784273475875,70.34254756168507,65.0536927298275,183.6189192414591,65.05372213100655,183.6174446932401,15.353136772290528,43.226990052038666,15.055298510287184,42.1869299401751
high_iso_low_task,1,1,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,11.182140509665738,31.57917900184031,7.163520994320568,20.24697891532638,0.001,0.0,1.0,0.0,1.1501932939353536,0.46408101245851197,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.054328347019943046,0.044667972731735596,39.5,1.4142135623730951,0.1,0.0,1.0,0.0,116.76892404900471,329.1949456783362,116.76950671272289,329.1924709040016,32.03203335385787,90.03000548681634,66.52762583602309,187.78667989943014,66.52770228399055,187.78533430623148,20.344163350758357,57.345372746736935,13.45673535602611,37.664185863331184
high_iso_low_task,1,2,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,8.026644768651458,22.65096557918418,5.7309453472394525,16.19325976322183,0.001,0.0,1.0,0.0,1.1613042276671084,0.4472063467218247,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.047242535616691436,0.03655994709348897,39.5,1.4142135623730951,0.1,0.0,2.0,0.0,113.61342830799045,320.2667183474086,113.61398831467527,320.264152722223,26.67672724472831,74.89008061532009,65.09505018894198,183.73295952460072,65.09511704012615,183.73151654063838,17.804918407129794,50.168401397836014,14.835823390375,41.56267992651078
high_iso_low_task,1,3,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,6.302834233966924,17.784193215788374,4.0207887849578094,11.358827849297045,0.001,0.0,1.0,0.0,1.1629645467832446,0.4545839337277233,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.04776412002276808,0.03822110726373362,39.5,1.4142135623730951,0.1,0.0,3.0,0.0,111.8896177733059,315.3999414664753,111.89014390337198,315.39732221084114,20.68124985457663,57.97201393350538,63.384893626660336,178.89852526629718,63.385003345016976,178.8972098882025,13.249668850114672,37.298929511461495,15.458081385994458,43.326081014561225
high_iso_low_task,1,4,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,5.864360534386801,16.560944313525027,3.968986179270792,11.218615269750657,0.001,0.0,1.0,0.0,1.148024530782101,0.4507692919787796,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.04403096971678046,0.03876531885146209,39.5,1.4142135623730951,0.1,0.0,4.0,0.0,111.4511440737258,314.1767065080647,111.45154214303575,314.17412024686524,21.222947924557296,59.57048389609186,63.33309102097331,178.75831739615893,63.333233476239165,178.7570095931061,13.884016760035415,39.11981636618845,15.593885422985052,43.71810797053818
high_iso_low_task,1,5,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,6.170220483066685,17.437298617423043,4.520171555384065,12.781904640451806,0.001,0.0,1.0,0.0,1.1123734942643275,0.4299579076267324,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.03986924363490149,0.04563288448812123,39.5,1.4142135623730951,0.1,0.0,5.0,0.0,111.75700402240567,315.0530832606905,111.75712696574385,315.05062545142965,26.94069679022498,75.82788743510369,63.88427639708659,180.32161305262522,63.884455734833786,180.32036877824171,17.349816646919884,48.95590996922859,12.936172600584923,36.20649388655289
high_iso_low_task,1,6,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,0.18511070530791224,0.52460440550874,0.2485384056768827,0.7021864460263094,0.001,0.0,1.0,0.0,1.1046280609833536,0.32563077803797774,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.01904236276499148,0.02058935254072081,39.5,1.4142135623730951,0.1,0.0,6.0,0.0,105.77189424464689,298.14028219032144,105.7718980373647,298.1379461159318,6.471027101744063,18.065664581193698,59.61264324737941,168.2418876516985,59.61278690313589,168.24076261389249,5.653738597843009,15.918799874874281,14.425325741714644,40.41805788495923
high_iso_low_task,1,7,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,0.20088313903391442,0.5832563904727355,0.06908346316413741,0.1999863877834315,0.001,0.0,1.0,0.0,1.0323879462561592,0.11769693470391282,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.01093695927180324,0.008839847395140123,39.5,1.4142135623730951,0.1,0.0,7.0,0.0,105.7876666783729,298.1989981542154,105.7878593816363,298.1966378471914,3.14189742968594,8.778451703104297,59.43318830486666,167.73966132932136,59.43322918055788,167.738518154712,1.965960355076226,5.5237544034568975,14.471405463618751,40.563352859376835
high_iso_low_task,1,8,8,0.17658844443580152,0.06513700004997257,0.05757497043445978,0.03077403247044841,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,1.0,0.0,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.0,0.0,39.5,1.4142135623730951,0.1,0.0,8.0,0.0,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.0,0.0,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.0,0.0,14.597515315614155,40.92618510458162
high_iso_low_task,16,0,8,0.4570487805967779,0.17276561968848017,0.17824697221545466,0.10815495805503056,105.58678353933898,297.6158204133392,105.58694091148094,297.6134821651223,0.08100343930531667,0.05023760125823451,59.36410484170253,167.5397206192931,59.36414866768843,167.53861318557188,0.02906581804811869,0.03317363880419533,14.597515315614155,40.92618510458162,128.0,0.0,40.0,0.0,361.75185768612073,1022.7222339070731,228.57228595404138,646.2831247031701,0.001,0.0,16.0,0.0,1.9847612572020288,1.4908081577785937,0.09053822499164589,0.08781144699092404,6.063127940079737,16.784256994333912,414.0860789303085,1167.9293912696562,47.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,0.6257992662656325,1.420861770468951,39.5,1.4142135623730951,0.1,0.0,0.0,0.0,467.3386412254597,1320.3380326956988,467.3405068886581,1320.3338251209614,454.92540201388,1285.2727572267095,287.9363907957439,813.8228305989998,287.9366586189921,813.8215487985864,281.7429804759606,796.3169119068515,71.46978795962353,201.6534931513438
