Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=8, n_causal=40, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4, 8, 16]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_variance_low_task     1      1.0    0.09580      1.154     23.22812      8.29076
high_variance_low_task     1      2.0    0.12168      1.152     29.08813     12.34129
high_variance_low_task     1      3.0    0.11367      1.146     29.04652     11.40287
high_variance_low_task     1      4.0    0.09110      1.109     29.64029     14.93567
high_variance_low_task     1      5.0    0.08534      1.066     30.63896      7.03947
high_variance_low_task     1      6.0    0.01831      0.988      5.37462      3.97678
high_variance_low_task     1      7.0    0.01178      0.988      2.66561      1.55272
high_variance_low_task     1      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task    16      0.0    0.69187      2.038    174.81494    109.04403
high_variance_low_task    16      1.0    0.73050      2.097    160.60277     96.48176
high_variance_low_task    16      2.0    0.80675      2.175    189.98545    137.51395
high_variance_low_task    16      3.0    0.78819      2.130    295.34656    243.21106
high_variance_low_task    16      4.0    0.69160      2.023    231.94989    156.68115
high_variance_low_task    16      5.0    0.26418      1.585     64.16347     29.45078
high_variance_low_task    16      6.0    0.04222      1.246     10.10061      3.59067
high_variance_low_task    16      7.0    0.02213      1.055      9.36146      2.67123
high_variance_low_task    16      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     2      0.0    0.23917      1.585     40.21247     22.25943
high_variance_low_task     2      1.0    0.25282      1.601     43.61499     17.23839
high_variance_low_task     2      2.0    0.28903      1.604     52.18010     28.89679
high_variance_low_task     2      3.0    0.29083      1.621     52.99388     21.90507
high_variance_low_task     2      4.0    0.24077      1.551     48.45827     22.88098
high_variance_low_task     2      5.0    0.13644      1.318     32.60780      2.84772
high_variance_low_task     2      6.0    0.03183      1.147      4.96707      2.96104
high_variance_low_task     2      7.0    0.01655      1.033      2.60471      1.34274
high_variance_low_task     2      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     4      0.0    0.33613      1.779     67.97955     31.69547
high_variance_low_task     4      1.0    0.33799      1.778     75.69126     41.94594
high_variance_low_task     4      2.0    0.36476      1.750     82.22307     56.50476
high_variance_low_task     4      3.0    0.37649      1.820     93.53764     53.24993
high_variance_low_task     4      4.0    0.23960      1.677     60.54760     34.48846
high_variance_low_task     4      5.0    0.14769      1.445     41.80704      2.05149
high_variance_low_task     4      6.0    0.04249      1.221      9.92882      4.47989
high_variance_low_task     4      7.0    0.01997      1.029      4.42706      2.29427
high_variance_low_task     4      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     8      0.0    0.51420      1.862    152.26818    115.84571
high_variance_low_task     8      1.0    0.53888      1.893    173.43196    141.56536
high_variance_low_task     8      2.0    0.62443      1.971    125.32987     68.47018
high_variance_low_task     8      3.0    0.63817      1.978    160.12133    100.22556
