episode,state_idx,rank_Q,name,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
0,1,12,base,0.006626626291914789,0.0,0.009304017322327919,0.009128204539922023,0.0
0,1,12,keep_Q,0.006392097682776292,0.0006645762227286351,0.017291170028192547,0.017346293569754413,0.014781694670841764
0,1,12,remove_Q,1.4345958944415151,1.4334356123393082,2.5600601919474872,2.5600260079802655,2.560119810887184
1,1,12,base,0.0049100927731578255,0.0,0.006236277890004187,0.006201859582056834,0.0
1,1,12,keep_Q,0.004676847523247713,0.0005286298203896787,0.012730840115652595,0.012710516871467521,0.011641217911787264
1,1,12,remove_Q,4.084359232599022,4.07702808281091,2.1791421455997018,2.1790425643765876,2.1786768734004056
2,1,12,base,0.006939855223644351,0.0,0.011174117229804652,0.011230336538089908,0.0
2,1,12,keep_Q,0.006501318539483434,0.001158712067728856,0.04373156978066196,0.0437782846159064,0.03962043318055321
2,1,12,remove_Q,1.5968348059547477,1.5967339567948835,45.70326311934885,45.70327921240561,45.70283898351696
3,1,12,base,0.008553291834476135,0.0,0.007467321480751565,0.007223306211146541,0.0
3,1,12,keep_Q,0.008453686454692435,0.0008124559033246036,0.01539070152277705,0.015291693973003239,0.013423597900460809
3,1,12,remove_Q,1.5379543286982102,1.534512781590345,2.3090938475791836,2.3092475234975867,2.308606307493261
4,1,11,base,0.012873641346120967,0.0,0.00981648313807235,0.009758105131947794,0.0
4,1,11,keep_Q,0.011915815571763938,0.0015601712382680296,0.023261542773231513,0.02308803340739456,0.023252277116915267
4,1,11,remove_Q,1.9145266669687035,1.9241178510337174,63.11050801693056,63.11051349905415,63.11036732862103
5,1,12,base,0.00919511294488232,0.0,0.009146688703509525,0.009097293669690474,0.0
5,1,12,keep_Q,0.009111634133186499,0.0004157996799433465,0.008884098082316248,0.008884048422820673,0.005827897657180347
5,1,12,remove_Q,2.2073364620630906,2.2112457327356485,2.7882323635729054,2.788275881290201,2.78860287891037
6,1,11,base,0.006573423321773072,0.0,0.009827866880770565,0.009756206048873348,0.0
6,1,11,keep_Q,0.005830879451726277,0.0012675025291366679,0.019337902907441633,0.01932969023014927,0.01779873598456468
6,1,11,remove_Q,7.6109051828488195,7.601404625150856,728.6352124185884,728.6351948846061,728.6357693184252
7,1,12,base,0.007003443039960759,0.0,0.006905221226692195,0.006835711052817991,0.0
7,1,12,keep_Q,0.006898178216868181,0.001117234119038449,0.006260959761255812,0.006401784269313242,0.004413641021244765
7,1,12,remove_Q,11.714206610947254,11.698194909226073,4.407444862468476,4.407477415154737,4.407556038001156
