exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,1.0,8.0,15.0,16.0,2.3962130180304966,3.4296668441700535,14.774581996192145,0.8345407270781888,0.9794087214574966,0.4273681474889448,0.4067668532732314,"[3.3982998362160233, 2.164532149443336, 1.3692702090506297, 0.6483449893913649, 0.49737468031313314, 0.47451191426694544, 0.34328318826292875, 0.2854450743287419]",0.11515467924267003,0.05834986259689082,0.05505637545168853,0.6194915890165055,"[0, 3, 4, 5, 6, 7, 8, 10]","[0.08615708918027495, 0.03957538785597608, 0.028850429848926305, 0.09049101106330926, 0.11515467924267003, 0.07359689430044315, 0.07199000113365904, 0.07053117394077785, 0.05505637545168853, 0.044278598245281194, 0.056514364703682735, 0.03835353977094319, 0.04560748114848638, 0.03938894731364737, 0.04261106075350164, 0.035440767596985244]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,2.0,0.0,11.0,11.0,1.7552427315223587,2.6357733460039414,4.533628206165831,0.9999999999999515,0.9999999999999515,1.0355299069949204e-12,1.0355299069949204e-12,"[0.9386934337720647, 0.4216204501582191, 0.20708971576400115, 0.16617673505556146, 0.128950638529921, 0.11787105733543254, 0.10163770558151194, 0.0899275715365303]",0.01894107104332741,0.013395273547201388,0.0,0.0,[],"[0.014334926707483438, 0.010295859032371953, 0.011806978314210532, 0.01894107104332741, 0.015339780931445793, 0.014838736895159969, 0.015935918167800066, 0.017227100840056023, 0.007299619886794186, 0.015358784000933415, 0.0059692331996325084]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,3.0,16.0,0.0,16.0,1.7052547827828956e-35,3.4772859348301526,1.3405363070631767e-12,0.0,0.0,0.0,0.0,"[1.8052212134581556e-12, 2.6749830553368027e-13, 2.555029204822962e-13, 2.32515449910691e-13, 2.0984882393765565e-13, 2.0410046437901079e-13, 1.984622098713764e-13, 1.9138464525987956e-13]",44.817630190878695,3.2938727679666,0.07384457566991723,52.701964287465586,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[44.817630190878695, 0.12163153865619274, 0.07384457566991723, 0.45237712883874026, 3.480377848739808, 0.274441615239339, 0.07828134420313385, 1.1182954778991419, 0.07943550352043353, 0.1190422233988214, 0.24384852681918806, 0.18630065151888045, 0.3655910135809521, 0.1874711280023608, 0.39430627067103313, 0.7090892498289536]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,4.0,13.0,0.0,16.0,1.4904965284157546e-35,3.870027683120179,1.3215006726416519e-12,0.0,0.0,0.0,0.0,"[1.7222540661155961e-12, 2.5612808282086394e-13, 2.4651822252723936e-13, 2.28900807031517e-13, 2.178772319958683e-13, 2.1361257086510002e-13, 2.0563381547827986e-13, 2.003035135602431e-13]",7.894903089243664,0.73878694267355,0.05534866440163662,11.705325893977516,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14]","[7.894903089243664, 0.06289680201696946, 0.4782879454834651, 0.11903270653073621, 0.23188281284136616, 1.6152414320783524, 0.5665760346402475, 0.10317632639097742, 0.22059588745132788, 0.11692851473294569, 0.05534866440163662, 0.034653097060199485, 0.1789535589549833, 0.042403144397179036, 0.06150211921084378, 0.03820894734190679]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,5.0,12.0,0.0,16.0,1.9864173838783872e-35,3.2291836504374105,1.4245661527336248e-12,0.0,0.0,0.0,0.0,"[1.8949275556080556e-12, 2.571773674235699e-13, 2.3480284089759963e-13, 2.3140809964595305e-13, 2.2070580690365487e-13, 2.1568735292454805e-13, 2.0928981190330478e-13, 1.9622465722332022e-13]",1.965389817193436,0.26832524179762934,0.06560825201796235,4.175744353351052,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13]","[1.965389817193436, 0.11573474899254668, 0.08775754785482201, 0.271301238099868, 0.28077687627456577, 0.020466984964514504, 0.3945970833194031, 0.2736855784789574, 0.06560825201796235, 0.04214561217316489, 0.2337109847655559, 0.12465399961526885, 0.22745866562468803, 0.13506956111397808, 0.03265776570690225, 0.022189152566435937]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,6.0,15.0,0.0,16.0,1.5859987153513457e-35,3.483514823974591,1.3620222886716098e-12,0.0,0.0,0.0,0.0,"[1.7721436302235032e-12, 2.9756855178426527e-13, 2.448241621277202e-13, 2.2548856008604507e-13, 2.108220236082812e-13, 2.014001921542158e-13, 1.9313399932018498e-13, 1.847536987285162e-13]",1.0469527408214943,0.25864731072330005,0.06500509314436152,4.118767988227035,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15]","[1.0469527408214943, 0.327812753338823, 0.3769821184464348, 0.42835547416227227, 0.08098476447086977, 0.1351665443875065, 0.320981234859402, 0.06500509314436152, 0.17657651943366398, 0.2369398712546912, 0.0195889833457657, 0.12350770411377202, 0.3247674073658281, 0.06740293306101032, 0.08902229436052682, 0.3183105350063791]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,7.0,0.0,5.0,5.0,3.998983623847732,4.392948448397218,4.3809262251657595,0.9999999999999479,0.9999999999999479,3.2400959113964787e-13,3.2400959113964787e-13,"[2.004582286757508, 1.7356544556702296, 1.4843802731137832, 1.160368330409342, 0.9137278138973626, 1.455988652299303e-12, 2.594005396590029e-13, 2.316200823409056e-13]",0.0035689208490966196,0.002615289727113492,0.0,0.0,[],"[0.0027591163210331938, 0.0025685534014347083, 0.0035689208490966196, 0.0025350852681515104, 0.0016447727958514289]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,8.0,0.0,15.0,16.0,11.179901139527145,16.505213091339645,15.642858643527077,0.6463814708530674,0.966148696305469,0.6127800458723256,0.5946583297549346,"[7.246119032026128, 5.447437830930651, 5.1197037592005215, 4.3450843684037075, 3.9650529167753543, 3.7210328481901107, 3.5083664382692237, 3.23209306448998]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,10.0,1.0,16.0,1.067737994493259,1.2152286863319934,332.088444006725,0.9989783034267341,0.9651588587482445,0.18928085151540233,0.03196398869455925,"[298.4184995782644, 31.482146849424755, 30.399528564129298, 21.898234669513045, 18.07314668160659, 12.29861213822072, 5.465816176816007, 4.952729181530584]",0.5278563919772253,0.11549618506619773,0.06177705536711824,1.647118045921222,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 14]","[0.5278563919772253, 0.18025620543342494, 0.12016213759270235, 0.16471266623165287, 0.22826330290517352, 0.14831606007331627, 0.06235746400015124, 0.07015199478540973, 0.04189736787186578, 0.025760433532801105, 0.08326476755504782, 0.03711549590094318, 0.04231322701737803, 0.026485260278669865, 0.06177705536711824, 0.027249130536283327]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,1.0,4.0,16.0,16.0,5.124530604690446,6.146503617243476,12.327123531524313,0.7157733819731075,0.9999999999999909,0.5331290819556611,0.5331290819556611,"[3.882917493673141, 3.5971824857273385, 2.6878427506826754, 2.387162852426676, 2.0194312570376276, 1.9629039704344624, 1.432416082204697, 0.30027995141843045]",0.08364289790361402,0.04431112061269697,0.051243132650469085,0.2542446008079976,"[0, 3, 7, 15]","[0.08364289790361402, 0.021241978757353137, 0.0492123446015083, 0.062274354815512765, 0.025851609889668226, 0.028623479311163998, 0.03628654465357125, 0.051243132650469085, 0.04240312750764013, 0.04517619429776451, 0.04410435720360801, 0.0496351820932415, 0.04217971439382769, 0.027833607090531162, 0.04218518919527592, 0.05708421543840175]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,2.0,0.0,15.0,16.0,3.2483186618409023,4.2516151511399345,7.122857238649529,0.8121096277421335,0.9547944919370447,0.4739221461197278,0.43346323057192143,"[2.864999359543788, 2.0627473776282526, 1.686079127214039, 1.058957856364338, 0.8733180304556701, 0.3231149204006396, 0.27427595730214993, 0.24775650916946745]",0.023741435263745087,0.014615012628446826,0.0,0.0,[],"[0.017874497019449983, 0.021429952312815477, 0.01878924475258943, 0.01590968150685423, 0.011412779001156377, 0.013328781372918489, 0.018652355344564296, 0.019497682298048054, 0.011985735364630483, 0.013952316224244601, 0.011479986624179738, 0.023741435263745087, 0.011170666536552343, 0.007025444034298632, 0.012319278037444363, 0.005270366361657644]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,3.0,0.0,9.0,9.0,3.1917780281550425,3.9898907522728075,4.327286144494549,0.9999999999999467,0.9999999999999467,1.2258092964925054e-12,1.2258092964925054e-12,"[1.15712775521046, 1.0266872310346222, 0.6411973316735406, 0.43177799810256184, 0.2882289381448949, 0.19285412123999235, 0.14331977180223154, 0.12036209392026685]",0.010803849629998913,0.007302583002037068,0.0,0.0,[],"[0.009429851975541732, 0.010272579003716465, 0.004298455859152145, 0.006772659834543258, 0.006536447681161974, 0.010803849629998913, 0.004059100437835126, 0.002921686866701865, 0.010628615729682135]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,4.0,0.0,5.0,5.0,2.363003776253238,2.8172645395967915,3.5115796337110465,0.9999999999999188,0.9999999999999188,1.263487448769194e-12,1.263487448769194e-12,"[1.0779954768371411, 0.8193229854830478, 0.4250042791713247, 0.22075740470013566, 0.1429625923044797, 2.0352737663485158e-12, 1.8869370848065102e-13, 1.6673329082979477e-13]",0.005564200294186749,0.004338073289454554,0.0,0.0,[],"[0.004436978264134015, 0.004610949964744243, 0.0028126871683461685, 0.004265550755861593, 0.005564200294186749]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,5.0,0.0,12.0,12.0,3.4352760667631608,4.568928139489539,5.826321763697796,0.9999999999999705,0.9999999999999705,4.962251199812529e-13,4.962251199812529e-13,"[1.7671690585019881, 1.3867136001850304, 0.9206679874428124, 0.7855075744631452, 0.5210163113217509, 0.2974864789788675, 0.2845784825872523, 0.23823756096956533]",0.005031689755447169,0.00395060980540997,0.0,0.0,[],"[0.004607428798191228, 0.0037111693980366013, 0.0027001960649135764, 0.004154535756904531, 0.003997498993288748, 0.004689409033651753, 0.0037312226726197353, 0.004889655688717477, 0.002512604882083803, 0.00283623410433921, 0.004545672516725806, 0.005031689755447169]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,6.0,0.0,16.0,16.0,5.325660951928868,7.44060498499513,8.452086800677893,0.7674757480086922,0.9999999999999817,0.4822076855373562,0.4822076855373562,"[3.2267376804283465, 2.577442959460005, 2.1471226430226458, 1.8862764512931325, 1.3254355141226208, 1.1902854346021805, 0.9587935860471651, 0.8656458040091749]",0.007890463278455492,0.0035490726159035924,0.0,0.0,[],"[0.004309625869258611, 0.0027936199702883247, 0.0024840443292448253, 0.0021650292257112155, 0.004293502571657231, 0.003467782790662978, 0.0029813562354055836, 0.005571947350844888, 0.007890463278455492, 0.003655692934148925, 0.003385480449415711, 0.0024135048238699826, 0.004344222022572825, 0.0022783884325340204, 0.0015045213515754625, 0.0032459802188114003]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,7.0,0.0,15.0,16.0,11.64010489252157,14.670030214489412,10.664597807765096,0.5802609035826088,0.9609770277699995,0.6651184868457898,0.6478727470864802,"[3.6254899966453884, 3.299524476275311, 2.9540426069624113, 2.7798806552020228, 2.6241700765651332, 2.5190365207436027, 2.2268795550765677, 2.133177531283661]",0.005583285740617604,0.0018918458335538688,0.0,0.0,[],"[0.001175633100795507, 0.0023241813870954146, 0.001758356400498266, 0.0010045774042233462, 0.0014379949265554376, 0.0020972044894281973, 0.0019383831235738904, 0.0011034747144309657, 0.001475660475903216, 0.000806789712026627, 0.002616229781625744, 0.0008360277194058182, 0.001730072476342731, 0.0016628115919954532, 0.002718850292343686, 0.005583285740617604]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,2,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,8.0,0.0,15.0,16.0,13.606436496518555,17.864638829311875,13.076625601777486,0.5301963681669097,0.975990398990049,0.6946462661597566,0.685422228872893,"[4.999343752884875, 4.521790371941366, 3.9403628234515367, 3.7057087992433724, 3.3391667749912255, 3.200679690802608, 3.005474924846804, 2.7037944008208705]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,3,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,16.0,3.0,16.0,1.1223461219180695,1.3513424018554927,247.39847801421723,0.996611737311558,0.9659888394501107,0.19309113001909078,0.05820878532010456,"[264.64516890389496, 41.81050823238786, 38.063300974494524, 19.564208980832127, 16.543322737964708, 12.810869616404677, 7.271255050476029, 5.946676787901224]",0.6796434021456328,0.1853188168149118,0.05720363615750614,2.965101069038589,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.6796434021456328, 0.22328878483580186, 0.29459786390787446, 0.23066850517843124, 0.21539094249833748, 0.35936544992191594, 0.13925575392352763, 0.1011635836951072, 0.05912628504165814, 0.14679084182344773, 0.10960695117824353, 0.10025977842467139, 0.08887593080844201, 0.08965239825136918, 0.07021096124662203, 0.05720363615750614]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,3,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,1.0,11.0,13.0,16.0,1.1809923106478082,1.6000857080981965,14.720199142277849,0.8476362302578037,0.9508667104830772,0.44046671389388437,0.3903380198522708,"[3.8141238777531314, 0.5456027863060751, 0.49886513877785793, 0.3940102543398411, 0.36907297791732735, 0.3041552699226503, 0.25683039038066824, 0.23042602453266428]",0.13546863702248801,0.06094411092626767,0.050089185708762765,0.8152829333830812,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.12296865486325935, 0.13546863702248801, 0.08443437914046796, 0.057089673792285626, 0.08459469806566972, 0.050089185708762765, 0.05264569726595123, 0.05139506112481886, 0.06936196029703964, 0.05508118438732761, 0.05215380171501038, 0.040612480023057125, 0.0384648511984328, 0.0286629793934149, 0.03281629181004676, 0.019266239012250046]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,3,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,2.0,0.0,4.0,4.0,1.9378672687923768,2.5569271122307637,2.2263896864538224,0.9999999999997983,0.9999999999997983,1.9044441259048494e-12,1.9044441259048494e-12,"[0.19612713423417144, 0.08832314975362317, 0.07190292391534353, 0.06281309190870513, 1.9963117243023424e-12, 2.1159922751542038e-13, 1.8290972702165046e-13, 1.6629013362478676e-13]",0.013814760120422835,0.009765034977166954,0.0,0.0,[],"[0.00961121313854296, 0.006385008875953819, 0.013814760120422835, 0.0092491577737482]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,3,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,3.0,16.0,0.0,16.0,1.5305332609308163e-35,2.3156836549157824,1.7867306325091357e-12,0.0,0.0,0.0,0.0,"[1.8435721840065703e-12, 2.2099287548934447e-13, 1.8850578289094744e-13, 1.8447723376182067e-13, 1.6825941501463466e-13, 1.6584756692268674e-13, 1.5479036869844523e-13, 1.4293920996338544e-13]",29.422912919781833,6.197046134660114,0.15287149997722607,99.15273815456182,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[29.422912919781833, 0.58945618816296, 6.236395187517587, 6.827342348035902, 13.964054153049323, 14.709456129362017, 0.5240059582705745, 0.20916948160968382, 0.15287149997722607, 0.9009359803042669, 22.65873274900719, 0.22049688378586557, 0.5993010026113239, 1.3762815846056735, 0.6014939782371613, 0.1598321102432334]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,3,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,4.0,16.0,0.0,16.0,1.2878456750846336e-35,2.336101885833505,1.7692542873870785e-12,0.0,0.0,0.0,0.0,"[1.764581614804331e-12, 2.294629113564578e-13, 1.7744000053524253e-13, 1.692179165014316e-13, 1.5708542052481854e-13, 1.4837250079890532e-13, 1.4675112673725594e-13, 1.4202465367371692e-13]",11.968121310865342,1.7977794792505644,0.16461729658091823,28.76447166800903,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[7.931134130618485, 0.2585550878444903, 0.9023886209227937, 3.925713673586252, 0.4870019950792966, 0.16461729658091823, 0.286689371426335, 11.968121310865342, 0.4601105434064852, 0.2723298050296248, 0.392478191336881, 0.19863371801285556, 0.21697579409262419, 0.5768512566742151, 0.16981128580099522, 0.5530595867314376]"
