exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,0,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,420,5,0.10638297872340426,0.3125,16,8.222222222222221,5.444444444444445,131,14.555555555555555,306.88023257140577,2.795130988483349,401.6198827933529,0.048131789444319895,0.3093051173353471,0.3156810249368242,0.9000314307447717,0.9043303443903582,0.09345480898862717,0.028077671875907644,0.09948379519474733,0.02308566033057692,0.9999999999999994,0.8886019341373594,0.9999999999999998,0.8886166060193953,"[14, 7, 0, 12, 15, 13, 13, 0, 0]","[16, 16, 12, 16, 16, 16, 16, 7, 16]",0.12449030094177016,0.09697496777358752,1.2837364507552518,0.1258923318193244
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,1,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,444,6,0.1276595744680851,0.375,16,8.666666666666666,5.444444444444445,128,14.222222222222221,44.817630190878695,0.5356960127323629,76.24676194011387,0.07552578760277434,0.2639171144693974,0.26110336505231047,0.9291705767462257,0.9303477566902859,0.09723902882751768,0.033594695358491924,0.06663497196197575,0.017285129943004296,0.9999999999999919,0.8884160032689102,0.9999999999999936,0.8887036419043777,"[14, 8, 0, 16, 13, 12, 15, 0, 0]","[16, 16, 11, 16, 16, 16, 16, 5, 16]",0.07139215946815836,0.085111156970649,0.8388108211568348,0.0512818877365442
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,2,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,122,4,0.0851063829787234,0.26666666666666666,15,1.5555555555555556,11.555555555555555,122,13.555555555555555,0.5278563919772253,0.02171716698374451,1.9013626467292197,0.054771058111884485,0.4526502817151458,0.46031455405793165,0.7883824025301474,0.7951077224636078,0.13128551285190063,0.04223580608893902,0.12641117352274908,0.0355895835913495,0.9999999999999973,0.888550442948718,0.999999999999997,0.8886035756881404,"[10, 4, 0, 0, 0, 0, 0, 0, 0]","[16, 16, 16, 9, 5, 12, 16, 16, 16]",0.09411354531926368,0.10027775861404642,0.938528609135473,0.09984502277703797
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,3,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,506,5,0.10638297872340426,0.3333333333333333,15,9.666666666666666,4.0,118,13.11111111111111,29.422912919781833,1.04045326439648,149.35598981847517,0.07110367093875349,0.3798578424690962,0.40609946087146986,0.8288842094171681,0.8557080195150113,0.14520307319720288,0.03642874010329457,0.12518485745551622,0.025555017364008104,0.9999999999999931,0.8884359883667046,0.9999999999999937,0.8885215125841075,"[16, 11, 0, 16, 16, 14, 14, 0, 0]","[16, 16, 4, 16, 16, 16, 16, 2, 16]",0.03219588045468666,0.021261080707092584,1.5143106269262354,0.0870777164681601
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,4,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,402,5,0.10638297872340426,0.3333333333333333,15,7.666666666666667,5.333333333333333,131,14.555555555555555,8.961457523135005,0.17186229446238582,23.586968174433373,0.08630180642773227,0.4475219685825165,0.4509145530036923,0.7924087972886797,0.7997240876364285,0.09360218251429468,0.02793913218205277,0.09179201644282087,0.019907069706757638,0.9999999999999969,0.8886105714051233,0.9999999999999976,0.8887350792928648,"[15, 6, 0, 13, 12, 12, 11, 0, 0]","[16, 16, 11, 16, 16, 16, 16, 8, 16]",0.0791820485491958,0.07128842384306419,1.1107280015547658,0.07528529563516537
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,5,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,470,5,0.10638297872340426,0.3333333333333333,15,9.0,4.222222222222222,120,13.333333333333334,2.714029528999828,0.1335241248777832,18.510281533162896,0.07549703757368992,0.449270275212726,0.4715319355467313,0.776377624149423,0.7981562198106837,0.14114352779699377,0.0395077220107046,0.08884601537277599,0.018597988000069947,0.9999999999999943,0.8883503552117555,0.9999999999999967,0.8887213329184149,"[16, 10, 0, 13, 15, 12, 15, 0, 0]","[16, 16, 5, 16, 16, 16, 16, 3, 16]",0.01146486580761781,0.014476070417295284,0.7919874300915366,0.09256413342899922
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,6,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,427,4,0.0851063829787234,0.25,16,8.666666666666666,6.666666666666667,139,15.444444444444445,3.9029251682898223,0.20689214845744772,28.77648184197527,0.05281728624798143,0.3260379992282653,0.313565826073625,0.9003943642520609,0.8936992230594418,0.14387076015117878,0.035934641751851515,0.15031718510996978,0.02995541778291153,0.9999999999999969,0.8885870218293888,0.9999999999999972,0.8886855078039088,"[12, 6, 0, 15, 16, 14, 15, 0, 0]","[16, 16, 16, 16, 16, 16, 16, 11, 16]",0.13108643322490784,0.1290194443472768,1.0160207547636573,0.04544713576578632
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,7,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,479,4,0.0851063829787234,0.26666666666666666,15,9.222222222222221,4.777777777777778,123,13.666666666666666,126.41285679655252,2.940353502519636,422.81023565498595,0.03849645403386552,0.25189522081349575,0.24727354409676525,0.939073662553412,0.936548797731447,0.11647443697824969,0.027747795012656565,0.11872547050986916,0.022872984511439452,0.9999999999999992,0.8886644014237437,0.9999999999999992,0.8886463500695557,"[16, 9, 0, 16, 14, 13, 15, 0, 0]","[16, 16, 6, 16, 16, 16, 16, 5, 16]",0.04854978443989166,0.05529479080715544,0.878017327332199,0.07277811868436262
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,8,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,131,5,0.10638297872340426,0.3125,16,1.6666666666666667,10.555555555555555,115,12.777777777777779,0.6443760098231925,0.026311674421463677,2.3720905058398967,0.08180951911033184,0.38595533152771183,0.3693302846527881,0.8553902282553123,0.8510384820656312,0.08831804886248058,0.03683107946484513,0.10209288429933132,0.031012149693743805,0.999999999999997,0.8885899733306126,0.9999999999999964,0.888630835991351,"[11, 4, 0, 0, 0, 0, 0, 0, 0]","[16, 16, 16, 6, 3, 10, 16, 16, 16]",0.07152151502115198,0.09447299293034206,0.7570577876567016,0.10143813225782589
rbf,rbf_l3,model_rbf_fixed_l3.pt,rbf,3.0,5,128,8,4,9,task,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.001,16,16,16,399,5,0.10638297872340426,0.3125,16,8.0,6.444444444444445,139,15.444444444444445,16.28147740491632,0.3879136895315839,54.796711344605484,0.04655954928248157,0.21587132875905282,0.20967564904967984,0.9548648587115923,0.953399569419894,0.12212256933095104,0.03491450113495828,0.09427158961501438,0.0233106556189106,0.9999999999999931,0.888491040729089,0.9999999999999946,0.888619075161191,"[13, 4, 0, 15, 13, 14, 13, 0, 0]","[16, 16, 16, 16, 16, 16, 16, 11, 16]",0.06542564193888945,0.06563810781299097,0.9967630713135903,0.06284561082911926
