checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx5,0.0,1,3.0,0.0,5.0,0.0,0.0,0.0,1.6439678735648104,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.3736476932672101,0.0,3.0,0.0,1.0,0.0,0.8365927500002173,0.0,0.4042366262472794,0.0,0.4042366262472794,0.0,2365.783065655123,0.0
dx5,1.0,1,33.0,0.0,5.0,0.0,1.0,0.0,2.025063999353608,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.8926232711135709,0.0,2.0,0.0,0.9977116730311375,0.0,0.9999960093145027,0.0,0.0019976700171261143,0.0,0.04787805888260885,0.0,635.2969746824507,0.0
dx5,2.0,1,39.0,0.0,5.0,0.0,2.0,0.0,5.056807389702975,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.794363476473629,0.0,8.0,0.0,0.9562899721592923,0.0,0.999999999999996,0.0,2.365150864936621e-12,0.0,0.20906943306161166,0.0,15.800912888824914,0.0
dx5,3.0,1,29.0,0.0,5.0,0.0,3.0,0.0,10.710644461009226,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,6.77802240273309,0.0,27.0,0.0,0.9576189230332623,0.0,0.9999999999997562,0.0,2.5652620051329462e-11,0.0,0.20586664850454497,0.0,2.0251781921281924,0.0
dx5,4.0,1,7.0,0.0,5.0,0.0,4.0,0.0,1.7740286166243637,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.3576339094805898,0.0,1.0,0.0,0.9631719236515001,0.0,0.9999999999999818,0.0,3.7311432485787475e-12,0.0,0.19190642602185515,0.0,7.425273371291085,0.0
dx5,5.0,1,42.0,0.0,5.0,0.0,5.0,0.0,2.5379388237296823,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.5790389095663548,0.0,9.0,0.0,0.9523175818052511,0.0,0.9999999999999897,0.0,1.25792452454355e-12,0.0,0.21836304219061098,0.0,9.793689635824334,0.0
dx5,6.0,1,42.0,0.0,5.0,0.0,6.0,0.0,3.173975144688299,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.8820851449352083,0.0,17.0,0.0,0.9514859271098277,0.0,0.9999999999999851,0.0,1.4042819009703112e-12,0.0,0.2202591039892732,0.0,8.180207731075772,0.0
dx5,7.0,1,42.0,0.0,5.0,0.0,7.0,0.0,5.757514026718918,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.9679498464621217,0.0,35.0,0.0,0.9564179265273914,0.0,0.9999999999999727,0.0,1.4069781822549296e-12,0.0,0.20876319951701539,0.0,6.0568922340433415,0.0
dx5,8.0,1,42.0,0.0,5.0,0.0,8.0,0.0,4.4244099878446645,0.0,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.671054187890991,0.0,27.0,0.0,0.9524625048273433,0.0,0.9999999999999869,0.0,1.6058184325595497e-12,0.0,0.2180309500338052,0.0,8.725281776897363,0.0
