checkpoint,probe_kind,n,B_nat_mean,B_nat_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,E_TQ_T_mean,E_TQ_T_std,E_pointwise_F_T_mean,E_pointwise_F_T_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,d_model_mean,d_model_std,d_x_mean,d_x_std,dim_R_nat_mean,dim_R_nat_std,dim_over_nctx_mean,dim_over_nctx_std,dim_over_rT_mean,dim_over_rT_std,gamma_mean,gamma_std,max_build_closure_mean,max_build_closure_std,max_build_refinement_mean,max_build_refinement_std,max_val_closure_mean,max_val_closure_std,max_val_refinement_mean,max_val_refinement_std,mean_build_closure_mean,mean_build_closure_std,mean_build_refinement_mean,mean_build_refinement_std,mean_candidate_rank_mean,mean_candidate_rank_std,mean_s_mean,mean_s_std,mean_val_closure_mean,mean_val_closure_std,mean_val_refinement_mean,mean_val_refinement_std,min_explainable_frac_mean,min_explainable_frac_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_build_mean,n_build_std,n_eval_mean,n_eval_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,n_val_mean,n_val_std,r_eff_T_task_mean,r_eff_T_task_std,sum_candidate_rank_mean,sum_candidate_rank_std,sweep_val_mean,sweep_val_std,tau_sv_mean,tau_sv_std
H1,task,4,482.0,43.305119019964984,0.016874637225051795,0.001979539225334989,0.01687463722505126,0.0019795392252840546,2.0668974508363984e-13,3.334282382477252e-14,0.019597569423787542,0.007194869501499939,1.0,0.0,0.9997098393066867,6.942090122680157e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,1.0,0.0,0.95,0.0,0.04897590722518698,0.01426062688814987,0.9999999112756485,8.163013075920703e-08,0.08143312991423274,0.07712354463990653,0.9999983558270428,2.6946311957675857e-06,0.017506622213876867,0.008478774322858105,0.8886580483089944,0.00013169083827251974,26.972222222222225,1.0976030750175885,13.916666666666666,1.724610053139824,0.02186327213912069,0.01509595235665479,0.8886213168551608,0.000172702702015205,0.001,0.0,0.025354257644690334,0.011747244330979385,0.03402596343192649,0.02192192412539859,1.289726248365668,0.2975847404027243,8.0,0.0,16.0,0.0,1.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,242.75,9.878427675158296,1.0,0.0,0.001,0.0
H2,task,4,557.25,32.30454044454639,0.008940991981201234,0.001776215945379799,0.008940991981213373,0.0017762159453705666,2.6365490865147717e-13,9.239479668052291e-14,0.009370855313065328,0.0008293611112274186,1.0,0.0,0.9999178485823261,3.283249211311785e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,1.0,0.0,0.95,0.0,0.03854974941173692,0.027148674983481343,0.9999999168512897,6.891762263349224e-08,0.04241155375739561,0.03130653453276128,0.9999997958481129,1.4323476041116724e-07,0.017452721298207657,0.010786247299155373,0.8885652673661993,0.0004258619343583301,27.0,2.39168656162414,15.027777777777777,1.8798804795209587,0.017591196275397132,0.009624473473480477,0.8885670131988537,0.0003948145839318475,0.001,0.0,0.013060367450473141,0.008280249166789742,0.016207798477140867,0.011368041959649883,1.1880185012236046,0.1249830376687264,8.0,0.0,16.0,0.0,2.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,243.0,21.525179054617254,2.0,0.0,0.001,0.0
H8,task,4,477.5,28.19574435974337,0.011797415070542131,0.004381578956564539,0.011797415070508178,0.004381578956578772,2.813005556518604e-13,2.085792925570562e-13,0.010445461914026715,0.003009784009030416,1.0,0.0,0.999846690644141,0.0001201014225269979,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,1.0,0.0,0.95,0.0,0.03780402787636326,0.02084616485817128,0.999999982855869,3.276180639484055e-08,0.03599603469682631,0.018470144073284414,0.9999998998005044,1.5920752923945676e-07,0.018791163910450062,0.008284485285651356,0.8885768535105821,0.0002815450375394177,26.694444444444443,2.609534591051249,12.416666666666668,1.5697107279837659,0.018361749853197273,0.008043258805054024,0.8886061766330821,0.00021909562366664032,0.001,0.0,0.009200746685101752,0.0028894157943980367,0.010949279511997784,0.007819653564861312,1.10190481225823,0.427035569211239,8.0,0.0,16.0,0.0,8.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,240.25,23.485811319461234,8.0,0.0,0.001,0.0
L12,task,4,1062.25,130.9462357865497,0.008685148082868398,0.0013287357030026497,0.008685148082903478,0.001328735703010324,6.246643533262982e-13,3.394415259265116e-13,0.00868682188017774,0.0014565949751548257,1.0,0.0,0.99992317108324,2.4485277788662634e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,1.0,0.0,0.95,0.0,0.04656371643960606,0.0359429535960412,0.9999999284497685,1.391246359965701e-07,0.07426853525704423,0.09497444632924538,0.9999998703731715,2.1224585395720496e-07,0.017323892459132774,0.006817897692991177,0.9228681784088402,0.00021130839276073794,30.788461538461537,0.8101306296399791,14.288461538461538,2.3787147840101883,0.018003768915009703,0.007141433671566278,0.9229236966931498,0.00010495869315763651,0.001,0.0,0.014124302191119395,0.00728230184946587,0.01676368707161002,0.007990771942064599,1.2026499172707152,0.04159618737913218,8.0,0.0,16.0,0.0,4.0,0.0,12.0,0.0,16.0,0.0,5.0,0.0,400.25,10.53169818531972,12.0,0.0,0.001,0.0
L2,task,4,68.5,5.196152422706632,0.33110651349558656,0.37371326116673464,0.3311065134952129,0.37371326116654535,7.1159820730914586e-12,8.610565739707067e-12,0.0941545393862643,0.017244589382331817,1.0,0.0,0.8922909901330148,0.17513669438366342,128.0,0.0,5.0,0.0,41.75,4.031128874149275,0.8882978723404256,0.0857686994499846,8.350000000000001,0.806225774829855,0.95,0.0,0.0037786327303549736,0.0032260246363880907,0.9999632108621245,9.505902705044369e-06,0.004212251920790174,0.002783566061808329,0.9999614234961369,9.587311620553353e-06,0.0018080724001120134,0.001068980050387934,0.6666217067613265,3.013299661612693e-05,21.0,0.5443310539518184,12.5,1.2322818340454913,0.002575483562311762,0.0007910858588435135,0.6666221644059438,2.6025188492075768e-05,0.001,0.0,0.011845302051377283,0.009630350810887957,0.3397997797642479,0.1918204178280217,43.35607710547109,34.239188079609896,8.0,0.0,16.0,0.0,4.0,0.0,2.0,0.0,16.0,0.0,5.0,0.0,63.0,1.632993161855452,2.0,0.0,0.001,0.0
L4,task,4,174.5,5.916079783099616,0.01916522820445381,0.002229856151499645,0.01916522820446183,0.0022298561515118097,8.758224714392074e-14,5.233746040812365e-14,0.020490910108953368,0.0018865969422016129,1.0,0.0,0.9996292324324092,8.471127754042797e-05,128.0,0.0,5.0,0.0,36.25,20.838665984174707,0.7712765957446808,0.44337587200371714,7.25,4.167733196834941,0.95,0.0,0.0046683993962426335,0.005329946052094073,0.9999999403257677,1.1642444137150536e-07,0.006594852950427542,0.0030822756378154612,0.9999997196718772,3.455748240374362e-07,0.0012842266060071844,0.001192351042750923,0.7999967615086871,3.242240550765638e-07,18.8,8.529165648917054,9.35,0.10000000000000053,0.0024344799357259818,0.0005362609397679843,0.7999941056472335,1.058507738130616e-06,0.001,0.0,0.008460086689986226,0.005151014550916764,0.01211038491928848,0.007494966628703637,1.6509002419605703,0.8070154275447565,8.0,0.0,16.0,0.0,4.0,0.0,4.0,0.0,16.0,0.0,5.0,0.0,94.0,42.64582824458527,4.0,0.0,0.001,0.0
L6,task,4,325.25,26.961392150010848,0.011292823559036366,0.0019411786532013372,0.011292823559031035,0.001941178653204026,1.2762333146000449e-13,3.4118965682442585e-14,0.009826726505776404,0.002868520519503384,1.0,0.0,0.9998694455081534,4.6117829574431155e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,1.0,0.0,0.95,0.0,0.03390851411000231,0.01095915367114611,0.9999999842906622,3.1418667538011804e-08,0.03408552334730516,0.010671760152132908,0.9999999276309015,1.4473819058095455e-07,0.011753861677350205,0.0016349941535527682,0.8570301860955165,3.646300411326156e-05,26.035714285714285,3.4569755961112665,13.321428571428571,2.0046714152182648,0.012306028698347345,0.0015040981474544073,0.8570292674296826,3.063963033574976e-05,0.001,0.0,0.02459444663338592,0.02139659667421111,0.0237181342373812,0.01999899976444384,0.9800855115034157,0.09316411745257704,8.0,0.0,16.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0,5.0,0.0,182.25,24.198829172778865,6.0,0.0,0.001,0.0
L8,task,4,457.75,88.26994581018691,0.01103330446453373,0.0021616219941439745,0.011033304464592072,0.002161621994190397,2.594941715009858e-13,1.2905979577431969e-13,0.010578435263770808,0.00491088323426233,1.0,0.0,0.999874712565476,5.161925997708339e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,1.0,0.0,0.95,0.0,0.027855384374530053,0.007796576819089598,0.9999999343286392,9.03821526527443e-08,0.03034363077058279,0.00783669258880787,0.9999997907268847,2.0888618919111695e-07,0.015052250140750846,0.004338873547647961,0.8887127393131942,9.833244238186482e-05,27.138888888888886,2.577801724026707,11.11111111111111,3.6884872605995174,0.016493331361547098,0.00440838411274105,0.8886830597015019,0.00010210087641173302,0.001,0.0,0.017719276401021798,0.009023207178315246,0.017679740877453283,0.007842966933894772,1.1091388268699387,0.3861954778388071,8.0,0.0,16.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,244.25,23.200215516240362,8.0,0.0,0.001,0.0
