Experiment 2: Native Budget and Closure

episodes=16, n_build=8, n_eval=32, eps=0.001
n_ctx=47, n_tgt=16, sigma2=0.1, smax=2, tau_sv=0.001

name   probe L   H   B_nat    dim    E(TQ,T)    E(F,TQ)    E(F,T)     MSE/KRR   maxClos 
H1     task    8   1     90.0    5.0    0.00000    0.01519    0.01519     1.775  0.44008
H2     task    8   2     90.0    5.0    0.00000    0.00911    0.00911     1.354  0.43304
L2     task    2   4     12.0   10.6    0.00000    0.19970    0.19970    29.935  0.42166
L4     task    4   4     30.0    5.8    0.00000    0.02694    0.02694     3.842  0.42853
L6     task    6   4     56.0    5.0    0.00000    0.01302    0.01302     6.012  0.42004
H8     task    8   8     90.0    5.0    0.00000    0.00966    0.00966     1.625  0.39805
L8     task    8   4     90.0    5.0    0.00000    0.00957    0.00957     1.358  0.42920
L12    task   12   4    182.0    4.8    0.11108    0.11773    0.00954     1.217  0.44209
