Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=1, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
low_task                   2      2.0    0.84116      4.545      0.29659      0.12512
low_task                   2      3.0    0.70644      3.283      0.23259      0.04326
low_task                   2      4.0    0.63646      3.016      0.31116      0.13920
low_task                   2      5.0    0.50972      2.255      0.30388      0.12659
low_task                   2      6.0    0.24944      1.140      0.29983      0.17946
low_task                   2      7.0    0.29975      2.010      0.25793      0.16701
low_task                   2      8.0    0.00000      1.000      0.00000      0.00000
low_task                   4      0.0    0.68876      3.356      0.29665      0.09405
low_task                   4      1.0    0.70252      3.535      0.29561      0.10702
low_task                   4      2.0    0.81856      4.420      0.33202      0.15770
low_task                   4      3.0    0.69024      3.205      0.27247      0.07990
low_task                   4      4.0    0.62566      2.963      0.30867      0.13442
low_task                   4      5.0    0.50322      2.235      0.30240      0.12536
low_task                   4      6.0    0.26317      1.124      0.29345      0.17332
low_task                   4      7.0    0.29050      1.957      0.25790      0.16798
low_task                   4      8.0    0.00000      1.000      0.00000      0.00000
random_A                   1      0.0    0.06339      1.161      0.12313      0.03785
random_A                   1      1.0    0.07917      1.161      0.12600      0.03763
random_A                   1      2.0    0.10564      1.326      0.13757      0.05390
random_A                   1      3.0    0.08448      1.128      0.10333      0.02707
random_A                   1      4.0    0.08437      1.257      0.09819      0.03948
random_A                   1      5.0    0.04625      1.072      0.05987      0.01037
random_A                   1      6.0    0.03993      1.037      0.04946     -0.00083
random_A                   1      7.0    0.03001      0.990      0.03125     -0.00279
random_A                   1      8.0    0.00000      1.000      0.00000      0.00000
random_A                   2      0.0    0.32040      2.213      0.25372      0.14109
random_A                   2      1.0    1.07058      5.922      1.01686      0.87017
random_A                   2      2.0   10.59616     57.637    105.74766    105.58835
random_A                   2      3.0    0.30831      1.730      0.41375      0.23426
random_A                   2      4.0    1.59352      8.719      7.37842      7.18705
random_A                   2      5.0    2.76738     15.128     12.38404     12.19551
random_A                   2      6.0    0.14624      1.443      0.18191      0.04497
random_A                   2      7.0    0.13656      1.067      0.16232      0.09298
random_A                   2      8.0    0.00000      1.000      0.00000      0.00000
random_A                   4      0.0    0.40196      1.981      0.26020      0.10091
random_A                   4      1.0    0.54113      2.944      0.74768      0.57465
random_A                   4      2.0    0.43709      2.260      0.81413      0.67788
random_A                   4      3.0    0.40635      2.137      0.32068      0.17519
random_A                   4      4.0    0.24210      1.420      0.20286      0.09207
random_A                   4      5.0    0.20886      1.112      0.14572      0.01561
random_A                   4      6.0    0.11438      1.062      0.07882     -0.00827
random_A                   4      7.0    0.07166      1.022      0.06447      0.00557
random_A                   4      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   1      0.0    0.15330      1.014      0.15930      0.05254
random_Q                   1      1.0    0.13687      0.921      0.14089      0.03910
random_Q                   1      2.0    0.10737      0.852      0.10875      0.01439
random_Q                   1      3.0    0.08150      0.965      0.11538      0.02828
random_Q                   1      4.0    0.04007      0.932      0.04245     -0.00346
random_Q                   1      5.0    0.02079      0.940      0.02745     -0.00170
random_Q                   1      6.0    0.02075      0.938      0.01722     -0.00164
random_Q                   1      7.0    0.01136      0.958      0.01156     -0.00130
random_Q                   1      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   2      0.0    0.47840      2.573      0.26158      0.08651
random_Q                   2      1.0    0.47727      2.582      0.25907      0.08285
random_Q                   2      2.0    0.45215      2.387      0.26250      0.08348
random_Q                   2      3.0    0.42352      2.212      0.21864      0.04702
random_Q                   2      4.0    0.36054      1.873      0.17578      0.02927
random_Q                   2      5.0    0.44319      2.216      0.27782      0.09824
random_Q                   2      6.0    0.24226      1.302      0.18071      0.04519
random_Q                   2      7.0    0.11580      1.002      0.11296      0.02955
random_Q                   2      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   4      0.0    1.01801      5.360      0.41929      0.25083
random_Q                   4      1.0    0.94305      4.922      0.46582      0.30216
random_Q                   4      2.0    0.83312      4.385      0.46267      0.30829
random_Q                   4      3.0    0.69477      3.328      0.56481      0.39391
random_Q                   4      4.0    0.59908      3.190      0.44760      0.25687
random_Q                   4      5.0    0.39238      2.593      0.67957      0.54270
random_Q                   4      6.0    0.28875      1.968      0.24015      0.05588
random_Q                   4      7.0    0.10639      1.228      0.13886      0.02322
random_Q                   4      8.0    0.00000      1.000      0.00000      0.00000
