checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx10,0.0,4,8.0,0.0,10.0,0.0,0.0,0.0,4.2723762039866475,0.43397330182408744,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.363887940374868,0.6324617642590473,5.25,0.5,0.8476895096023175,0.037773526325664865,0.9104759698006316,0.038100814901985795,0.2947695159539811,0.059272958012055114,0.47379838596408524,0.0633997366644858,3429.8375556690194,1041.056474676308
dx10,1.0,4,26.0,3.559026084010437,10.0,0.0,1.0,0.0,2.426677045594681,0.282184620030659,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.037457397561118,0.2636079989608663,4.25,0.5,0.9454848076834961,0.06562275311180596,0.9999289383334556,4.740612241946183e-05,0.00801502254791435,0.0030157542120871393,0.17862012973397315,0.17387818422691284,1035.0987742421814,322.41673666721636
dx10,2.0,4,32.25,0.9574271077563381,10.0,0.0,2.0,0.0,10.210325128823206,3.22215199946112,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,6.460094346434909,2.6555036971410035,16.75,0.9574271077563381,0.8131985982647902,0.010708724686296165,0.9999999999999756,7.839725986788216e-15,6.364318358675479e-12,1.849050355813311e-12,0.43207195133341497,0.01239519294567978,6.645606025820813,1.3220669532156426
dx10,3.0,4,11.5,0.5773502691896257,10.0,0.0,3.0,0.0,9.026217579261468,0.6505254462264277,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,7.504777654951338,0.703261359428793,8.25,0.5,0.829595847464852,0.020856815970319156,0.9999999999996521,7.367613203798447e-14,1.4880969996431635e-11,4.808994250554666e-12,0.41217990971498275,0.02612468978185429,1.7190372610284883,0.19867329763890132
dx10,4.0,4,11.5,0.5773502691896257,10.0,0.0,4.0,0.0,4.088455530100303,1.8718425984412184,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.9626640098640866,1.453255414813741,4.75,3.304037933599835,0.8478225077417708,0.016027493154157073,0.9999999999998654,1.100272467936453e-13,4.494494370952766e-12,9.276989097103283e-13,0.3896902213368156,0.020624375628795773,3.675032172421224,2.1439995920882864
dx10,5.0,4,37.0,0.0,10.0,0.0,5.0,0.0,6.589024969372583,0.7853155783152796,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.9488159485379475,0.342738148732305,13.5,1.7320508075688772,0.8064386724733904,0.0038090096993395055,0.9999999999999725,5.525149190006904e-15,1.098700060007419e-12,3.4959687833284676e-13,0.4399401476557952,0.004319568987619232,6.091295051772045,0.6170705391746508
dx10,6.0,4,37.0,0.0,10.0,0.0,6.0,0.0,9.60925575841675,0.465957105638389,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,4.574999491633481,0.255940290996802,19.75,1.5,0.8034397057981919,0.00111985291599666,0.9999999999999722,4.0448295986654295e-15,1.0382855773985169e-12,3.3786218912406613e-13,0.44334985841025304,0.0012634605331285048,6.054939744685202,0.4520436324283601
dx10,7.0,4,37.0,0.0,10.0,0.0,7.0,0.0,12.493795742045693,0.874713168711538,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,7.2416110649242835,0.5554793855568685,23.75,1.707825127659933,0.8130775135883723,0.010476403854908152,0.9999999999999756,2.6906211672440984e-15,9.956345953491997e-13,3.448605931644166e-13,0.4322183779162512,0.01209739382665314,6.416382495054517,0.3519910861098961
dx10,8.0,4,37.0,0.0,10.0,0.0,8.0,0.0,10.161314886670215,1.6850897890115588,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,5.72688677055258,1.111225115091418,19.25,1.5,0.8024212440191313,0.0023403577915942267,0.9999999999999888,1.6579165288486218e-15,9.73867445940578e-13,2.7996798464889686e-13,0.4444924396048323,0.0026399785357521153,9.492188019230852,0.7937275874566142
dx15,0.0,4,8.0,0.0,15.0,0.0,0.0,0.0,5.01630258151021,0.1794667437162622,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.968496440081138,0.3088328099723875,5.25,0.5,0.8394092834302115,0.02232979986235014,0.7380346068030896,0.08807659690091627,0.5052030745365285,0.09476459729771902,0.6151800127462511,0.057657409472658835,4650.027461851501,1593.3828399123452
dx15,1.0,4,18.25,2.0615528128088303,15.0,0.0,1.0,0.0,2.936238193324102,0.3698399374451635,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.3540013180934034,0.4899393078565149,6.5,0.5773502691896257,0.8435222452352432,0.02313112265085467,0.999937075652497,3.342302306611685e-05,0.007733745291904035,0.0020374923354728705,0.39482221543451634,0.029364358463954996,1807.487078099331,618.6496485998214
dx15,2.0,4,30.0,0.816496580927726,15.0,0.0,2.0,0.0,8.486247969582212,2.824265759643238,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,5.237099819360741,2.0182874863611384,3.75,2.8722813232690143,0.8204079091820622,0.02513435502898208,0.9999999999999964,2.826166425630795e-15,2.273472401057275e-12,8.918424350968432e-13,0.4229423783700292,0.03080769160750672,19.26648844163182,5.481477325422106
dx15,3.0,4,19.75,3.095695936834452,15.0,0.0,3.0,0.0,12.78858951403931,1.3406733177072858,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,9.655389846380263,1.8423998547646496,13.25,1.2583057392117916,0.8249695564490541,0.025497983891396278,0.9999999999998959,4.2531251562566983e-14,7.1303719381566295e-12,2.7838536501672805e-12,0.4175256736309093,0.030610573552226458,3.33851260978871,0.9963383501089085
dx15,4.0,4,15.0,2.8284271247461903,15.0,0.0,4.0,0.0,2.9780240734170214,1.0367309419528525,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.784421055012449,0.4342851378757832,3.0,1.632993161855452,0.8192017028641677,0.02805336808787746,0.9999999999999621,1.7078800553786474e-14,3.2848074141550557e-12,1.028221783099023e-12,0.42415666325031576,0.03443684376076725,5.410202590060654,1.1115334897531866
dx15,5.0,4,32.0,0.0,15.0,0.0,5.0,0.0,6.375888335592008,0.8723131527242883,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.8216176661699643,0.3504503198742598,11.5,2.886751345948129,0.808575718463322,0.0019041390525390948,0.9999999999999813,6.842973790381891e-15,1.4727757610874127e-12,4.345520917805655e-13,0.43751652977526,0.0021810425866364514,7.628580673438745,1.4263281360420632
dx15,6.0,4,32.0,0.0,15.0,0.0,6.0,0.0,7.553620189798114,0.9635207067842915,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.387141437312284,0.4993667983545163,14.0,3.1622776601683795,0.8118127174408698,0.006776200252870866,0.9999999999999827,6.171482040823094e-15,1.429666773320434e-12,5.084501430791051e-13,0.43375344129731125,0.0077661420583268045,7.853978405783528,1.4108474868145287
dx15,7.0,4,32.25,0.5,15.0,0.0,7.0,0.0,7.413693965563459,4.172072322895212,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.5690293229784005,1.686237756964904,13.0,8.16496580927726,0.8495702232433163,0.08132686263552953,0.9999999999999878,8.998972291411641e-15,1.270009053411659e-12,8.465978395755233e-13,0.3700604323187688,0.13408978677844907,15.353336112139928,14.542694739773738
dx15,8.0,4,33.5,0.5773502691896257,15.0,0.0,8.0,0.0,1.5513213501638212,0.44507758278146964,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.3769425233377812,0.3846381974035905,1.5,0.5773502691896257,0.9859097350344221,0.009120362888197413,0.9999999999999998,1.6958936828758672e-16,1.7028100348214816e-13,5.660794763060833e-14,0.11375459357152314,0.03916048019717959,73.17933770636287,32.4317721242479
dx3,0.0,4,5.25,2.217355782608345,3.0,0.0,0.0,0.0,2.10214045741734,0.5361054182359253,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.8277360364321484,0.6433719668875747,2.5,0.5773502691896257,0.957340736380803,0.06297128459134795,0.9999883076505636,8.437787671472166e-06,0.003165659931944503,0.0014926248163068343,0.14100166472355832,0.17431406166633429,3398.598044367146,2493.824604869343
dx3,1.0,4,30.0,16.165807537309522,3.0,0.0,1.0,0.0,4.498685246295792,4.03913245267293,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.218953867936157,2.5612889625311417,12.25,14.361406616345072,0.9041898346832523,0.11023480866737073,0.9998912922405159,0.00018645950975235874,0.006655440264134979,0.009267353046529944,0.22962418128268758,0.2399765124966608,245.233520162273,345.0315331904198
dx3,2.0,4,29.75,15.4137384606504,3.0,0.0,2.0,0.0,7.056420113640298,2.958793663181498,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,4.863076334616399,2.4479158205149347,13.25,4.7871355387816905,0.8237645043556495,0.02197194130444723,0.999999999999932,7.686993731271853e-14,5.679783554696423e-11,8.474435696822665e-11,0.41915646968469233,0.02691590770648714,6.071680019800646,3.5321427193882102
dx3,3.0,4,16.0,14.047538337136986,3.0,0.0,3.0,0.0,7.349727260492857,4.601514928130102,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,5.660011150207081,3.0525505261934787,13.25,10.996211468804457,0.9120095823705103,0.10194625781243634,0.9999999999995552,5.478419148496538e-13,6.299734125202296e-11,7.164645851448865e-11,0.2096614183925431,0.2423014851149202,2.5107942859088266,1.502441589511353
dx3,4.0,4,5.25,2.8722813232690143,3.0,0.0,4.0,0.0,2.198102631239707,0.821124464258823,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.0301079879393185,0.7363748437895945,4.25,1.5,0.9326205840149655,0.08626898273012035,0.9999999999995153,3.496474345177214e-13,1.6591022440774253e-11,9.147694336224014e-12,0.1808146870021358,0.21505182305317147,1.720958124096431,0.682439699997022
dx3,5.0,4,34.5,21.047565179849187,3.0,0.0,5.0,0.0,4.000834226171446,1.691996157297661,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.6859090073345477,1.2709119585956823,3.5,3.415650255319866,0.6212036217790363,0.4148197014222206,0.7499999999999115,0.499999999999941,1.9898637451879377e-12,2.7306805321610784e-12,0.3100409112907001,0.20871355664932248,6.417419708652767,6.503213772691796
dx3,6.0,4,43.75,0.5,3.0,0.0,6.0,0.0,4.013406536298052,1.0736035952634675,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.1517102587247905,0.47494234769201726,4.25,2.362907813126304,0.8100313210741104,0.017351410633064737,0.9996399223208788,0.0007201553582281695,0.009487856438198435,0.018975712874526023,0.4358180900603124,0.02063802225601312,12.030532557944369,1.1112085979893518
dx3,7.0,4,44.0,0.0,3.0,0.0,7.0,0.0,6.647135415988656,1.5727489469958926,0.8,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.6665430994485115,1.0033078494445071,17.0,2.160246899469287,0.8051413408648669,0.00515344544373478,0.9999999999999901,1.3955287025942437e-15,1.0855106086120411e-12,3.6072305058613465e-13,0.4413986548308558,0.00587499204357787,10.037538433560197,0.7657497615599826
