exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,gamma,min_explainable_frac,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,sum_candidate_rank,mean_candidate_rank,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,0,task,0.8,0.001,0.001,8,16,16,408,3,0.06382978723404255,1.0,3,9.11111111111111,257,28.555555555555557,0.005731029125457709,2.3910302716116237e-13,0.005731029125448111,0.9999672099837678,1.0,0.016745867877072725,0.008475398611087741,0.01622950360366451,0.008155757095270043,0.9999994237007974,0.888835614647011,0.9999999942666888,0.8888384919579723,"[3, 16, 19, 6, 3, 4, 4, 14, 13]","[3, 44, 25, 6, 3, 44, 44, 44, 44]",0.014883903564457915,0.01650283107858338,0.9019000130088931,0.004753614882735176
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,1,task,0.8,0.001,0.001,8,16,16,409,3,0.06382978723404255,1.0,3,8.777777777777779,243,27.0,0.006218838860541572,4.677398258032054e-14,0.006218838860540978,0.9999612419855938,1.0,0.041060174853329336,0.01771306134207913,0.03315558849257698,0.014073604735705354,0.999999999999997,0.8886410828363774,0.9999999999999978,0.8887243298803882,"[3, 31, 8, 2, 3, 0, 1, 17, 14]","[6, 44, 10, 2, 3, 47, 43, 44, 44]",0.0019225857825818172,0.0024362826635629707,0.7891472575559474,0.007305611424720733
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,2,task,0.8,0.001,0.001,8,16,16,384,3,0.06382978723404255,1.0,3,10.333333333333334,273,30.333333333333332,0.00498028709378378,8.317081213197933e-14,0.004980287093780581,0.9999751590602837,1.0,0.36520202728388196,0.05495204135175063,0.17768261856914272,0.03416288458974956,0.999990496853353,0.8887386306959868,0.99999955366968,0.8887327748750803,"[2, 1, 15, 20, 6, 8, 6, 18, 17]","[4, 16, 42, 26, 9, 44, 44, 44, 44]",0.01906015090790114,0.017243523224904467,1.1053513054903394,0.0054086651848543
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,3,task,0.8,0.001,0.001,8,16,16,360,3,0.06382978723404255,1.0,3,9.88888888888889,237,26.333333333333332,0.0071977581033117015,1.013842285785967e-13,0.007197758103284767,0.9999482357175024,1.0,0.19309999968843636,0.04100263980887355,0.1949154513523786,0.03748624240201624,0.9999837552984694,0.8885923167625681,0.9999991034316736,0.8886921485537808,"[2, 1, 11, 25, 5, 2, 6, 19, 18]","[8, 16, 42, 30, 6, 3, 44, 44, 44]",0.005264468888637075,0.006806994134923132,0.7733911304003972,0.00959775700554823
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,0,task,0.8,0.001,0.001,8,16,16,227,5,0.10638297872340426,1.0,5,5.222222222222222,273,30.333333333333332,0.01201410086559681,2.923165780673795e-13,0.012014100865622601,0.9998546415860791,1.0,0.33087832284186663,0.04699943921835816,0.2329302186694154,0.03542975643771582,0.9999954555751874,0.8888236954183787,0.9999959898451324,0.8888320678612808,"[4, 1, 8, 15, 1, 1, 1, 9, 7]","[5, 11, 38, 32, 19, 42, 42, 42, 42]",0.007963216506779294,0.009346638379402642,0.8519872261590841,0.011578431727539326
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,1,task,0.8,0.001,0.001,8,16,16,292,5,0.10638297872340426,1.0,5,7.888888888888889,275,30.555555555555557,0.01032261238059301,3.3137461512669973e-13,0.010322612380589798,0.9998924792987459,1.0,0.30902538243522887,0.04283390882565496,0.09828309165363358,0.019905219461036773,0.9999964436027964,0.8888399494875535,0.9999974945997562,0.8888335159803007,"[4, 1, 10, 14, 1, 6, 7, 16, 12]","[5, 18, 38, 28, 18, 42, 42, 42, 42]",0.016858384935091397,0.016377206997479368,1.0293809523007242,0.007668807696538315
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,2,task,0.8,0.001,0.001,8,16,16,252,5,0.10638297872340426,1.0,5,6.0,272,30.22222222222222,0.005737271573156158,1.851796681071401e-13,0.005737271573171572,0.9999671250302895,1.0,0.344496547888947,0.05073519788869908,0.14206133240685825,0.027135167523611323,0.9999931587387566,0.8887884110792417,0.9999972764021579,0.8888022331390124,"[4, 1, 7, 19, 1, 1, 1, 13, 7]","[5, 15, 38, 30, 16, 42, 42, 42, 42]",0.007419675841272566,0.0037061001577739622,2.002017086804565,0.014328417401741393
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,3,task,0.8,0.001,0.001,8,16,16,407,5,0.10638297872340426,1.0,5,12.11111111111111,260,28.88888888888889,0.006274440128520615,2.329881663217537e-13,0.0062744401285450505,0.9999605487387905,1.0,0.24945320280513286,0.04382323211750319,0.22010675992906448,0.037493637522969026,0.9999897964912751,0.8887076106825474,0.9999997267868673,0.8887668187610029,"[3, 2, 14, 19, 4, 4, 13, 27, 23]","[6, 15, 39, 23, 9, 42, 42, 42, 42]",0.005768602916561557,0.006003941346143602,0.9608026767727826,0.014506358234450822
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,0,task,0.8,0.001,0.001,8,16,16,278,8,0.1702127659574468,1.0,8,6.555555555555555,258,28.666666666666668,0.014848989388426834,1.0275459552148728e-11,0.014848989389197712,0.9997749420838852,1.0,0.3554521548376912,0.05157513307684469,0.1057122043730803,0.02213300352454371,0.9999936945594721,0.8887906246267571,0.999997312704893,0.888814104953291,"[5, 2, 12, 12, 1, 4, 4, 9, 10]","[8, 22, 35, 22, 15, 39, 39, 39, 39]",0.017011616328460377,0.007442037654094978,2.2858815178259335,0.010170203737376319
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,1,task,0.8,0.001,0.001,8,16,16,292,8,0.1702127659574468,1.0,8,5.222222222222222,249,27.666666666666668,0.013002546001173319,6.644131370874267e-13,0.013002546001107647,0.999830356562501,1.0,0.3101231606916891,0.06061270343387282,0.08444523474743351,0.032722292494242494,0.999994516053604,0.8883917666085561,0.9999995380531358,0.8884795155374533,"[6, 2, 19, 10, 3, 1, 1, 2, 3]","[8, 32, 33, 12, 8, 39, 39, 39, 39]",0.04195703131113793,0.03545306511505075,1.1834528601400411,0.008401976222376885
