exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,gamma,min_explainable_frac,ell,s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,0.0,3.0,3.0,2.7774008554978096,2.8734130900859163,7011.159187980721,0.9999986282127878,1.0,0.0011712332014334988,0.0011712332014334988,"[3054.949589785156, 2859.019574857992, 2114.2233311660607, 2.0422389138897157, 1.6233331790101542, 1.546200462444437, 1.4235380345012447, 1.2260446048376916]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,1.0,16.0,44.0,5.479163773806252,8.248484303161035,10.239149920886613,0.9999999999999906,0.805735942823467,0.4407539644478805,2.914294712491898e-11,"[3.647892119418235, 3.1498430999847544, 2.783731669364093, 1.7223410159932317, 1.3529530723337815, 1.134545241302045, 1.1232711942249038, 1.0546336812015593]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,2.0,19.0,25.0,8.123372302240057,11.177676591300541,3.708650475085847,0.9999999999999273,0.8212136325236385,0.4228313700239006,3.4208511118372264e-11,"[0.450141768796295, 0.39694025043127795, 0.38049842486188673, 0.29714134303802786, 0.271538899217071, 0.23108406586023614, 0.2151431693204556, 0.18096248324680445]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,3.0,6.0,6.0,4.772956604627557,5.289965167304512,1.5642321092197173,0.9999999999995912,0.9999999999995912,5.344341503311448e-11,5.344341503311448e-11,"[0.05944641871167942, 0.05100743701593061, 0.042528603610258, 0.03934285622006258, 0.031074872869283093, 0.027964229370087797, 1.569330613171763e-11, 1.3480563283606197e-11]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,4.0,3.0,3.0,2.232010032673965,2.556519109105486,1.2149836800066145,0.9999999999993225,0.9999999999993225,3.020013382232391e-11,3.020013382232391e-11,"[1.2107486688238767, 0.7129425943347064, 0.6572057580521216, 1.2423329303966462e-11, 8.221486953350106e-12, 7.037517220201149e-12, 3.201804261723455e-12, 3.03584200344395e-12]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,5.0,4.0,44.0,3.0374099665764684,5.820616467062417,12.917251782017978,0.999999999999994,0.8263474756031659,0.4167163596462564,1.4462427635737207e-12,"[6.212518207692122, 3.115871621149465, 2.5013147561679614, 1.6922581725828487, 1.4465064458631474, 1.3548273921223075, 1.2798681236467064, 1.1164518521238407]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,6.0,4.0,44.0,2.6887210205045564,5.20944445475227,13.456105916702692,0.9999999999999946,0.8359707907528421,0.4050051965680842,1.215214284085346e-12,"[6.779961211717277, 3.118958130846413, 2.4819647919999337, 1.6841758912074418, 1.4476946809205091, 1.336805060461177, 1.2982894395198579, 1.1259893967237211]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,7.0,14.0,44.0,4.8777097503036595,8.524223888960954,11.153316686896146,0.999999999999992,0.8128107972789721,0.432653675265818,1.3095248271969023e-12,"[4.804439738282427, 3.1066277897915726, 2.4751175209739977, 1.7868094531792347, 1.6311423540674184, 1.5122344142572515, 1.4140237114079897, 1.2541768984658386]"
2b,dx3,model_dx3.pt,0,3,8,4,0.8,0.001,8.0,13.0,44.0,4.505262442798979,8.158158302505038,11.815689678253843,0.9999999999999929,0.8041423766774308,0.4425580451449979,1.2741380142727839e-12,"[5.2460072295238795, 3.121004536011671, 2.518702010383168, 1.8730009824859695, 1.756757305702479, 1.5614963091016258, 1.3912868182657854, 1.322597476477888]"
2b,dx3,model_dx3.pt,1,3,8,4,0.8,0.001,0.0,3.0,6.0,1.6295366459139946,2.0189445744100736,1730.8014464998105,0.9999807686532542,0.9999986796173942,0.004533398720480897,0.004385355942874033,"[1500.7962317405081, 655.0995492796915, 514.6668371670033, 2.0714025121557054, 1.929696393637446, 1.5141055102329397, 1.3946463982568815, 1.1640668975076613]"
