episode,state_idx,rank_Q,name,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
0,1,12,base,0.006626619622305213,0.0,0.009300789675349612,0.009124415460498638,0.0
0,1,12,keep_Q,0.006378849503195007,0.0006813871217169222,0.017006922587816345,0.016911689607219487,0.013194735335674003
0,1,12,remove_Q,1.4352472899223694,1.4340874216893487,2.3493862247575135,2.3494358862407663,2.349230272986173
1,1,12,base,0.004910115178877458,0.0,0.006243392555526481,0.006209151533517146,0.0
1,1,12,keep_Q,0.004666412485084467,0.0005417971428899422,0.008634382179721322,0.00866311313432066,0.007033431026347598
1,1,12,remove_Q,4.085375269236657,4.078042520549406,1.9251678011724267,1.925075533569895,1.9248867154282605
2,1,12,base,0.006939875645155924,0.0,0.011151330013556858,0.011207112054229994,0.0
2,1,12,keep_Q,0.006507964200606053,0.001159920557701009,0.04509560434581412,0.045100870737918006,0.04369444840737903
2,1,12,remove_Q,1.6006953548668803,1.6005971302917648,46.18053366314526,46.180558012762816,46.179578633683796
3,1,12,base,0.008553237648998043,0.0,0.007459293163710671,0.007215865112228602,0.0
3,1,12,keep_Q,0.008478019722263483,0.0008152388184932061,0.01743689080751512,0.01754359741866764,0.014582394237610114
3,1,12,remove_Q,1.5392900805464358,1.5358428139768485,2.1180859480368386,2.1182254886213543,2.1184237891116284
4,1,11,base,0.012873612211981548,0.0,0.009827551162719316,0.009769001902784633,0.0
4,1,11,keep_Q,0.011943209286248596,0.0015626155365422465,0.02606589101002139,0.025919461449542814,0.024436216968315213
4,1,11,remove_Q,1.8987169042244247,1.908227620353275,63.53105795655054,63.53105351162199,63.530904669882524
5,1,12,base,0.009195120885348839,0.0,0.009154893739931861,0.009104618782117789,0.0
5,1,12,keep_Q,0.009110472803962022,0.00041578980558381473,0.00875801411237886,0.008660465001588515,0.005982875753356945
5,1,12,remove_Q,2.207578666776059,2.2114858283904106,2.8748493777679647,2.8749373812649055,2.8754867454136526
6,1,11,base,0.00657343306657145,0.0,0.009820838125079685,0.009749159362217374,0.0
6,1,11,keep_Q,0.005832557708921107,0.0012682168930730642,0.01957967735696778,0.019601023319374845,0.019482251603967722
6,1,11,remove_Q,7.396261280525632,7.38709459153091,1040.0739173069396,1040.0739039396124,1040.074599984
7,1,12,base,0.007003482848975099,0.0,0.0069001674891931855,0.006830795018596529,0.0
7,1,12,keep_Q,0.006897708542858244,0.0011186635892292387,0.006712633552584992,0.006762854928243456,0.0043159692584656476
7,1,12,remove_Q,11.714021361147672,11.698010606011396,4.3839926420839275,4.384042944500033,4.384151509892335
