name,n,point_err_mean,point_err_std,point_drift_mean,point_drift_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,damage_vs_base_mean,damage_vs_base_std,mse_ratio_mean,mse_ratio_std,rank_Q_mean,rank_Q_std,candidate_dim_mean,candidate_dim_std,r_T_mean,r_T_std,rho_TQ_mean,rho_TQ_std,reach_alpha_mean,reach_alpha_std
base,1,468.2770151932226,0.0,0.0,0.0,465.33511299835095,0.0,465.3428909313697,0.0,0.0,0.0,16735.715998804928,0.0,4.0,0.0,41.0,0.0,2.0,0.0,0.04688699478833173,0.0,1.0,0.0
keep_Q,1,1.3961964449733957,0.0,1.0014237852067973,0.0,0.3851093619366174,0.0,0.34836767822385467,0.0,465.35028078225326,0.0,16735.715998804928,0.0,4.0,0.0,41.0,0.0,2.0,0.0,0.04688699478833173,0.0,1.0,0.0
remove_Q,1,726.1860233222064,0.0,1.1991542518451115,0.0,962.7343289935886,0.0,962.7421088493002,0.0,996.6116868579896,0.0,16735.715998804928,0.0,4.0,0.0,41.0,0.0,2.0,0.0,0.04688699478833173,0.0,1.0,0.0
