step,elapsed_sec,train_loss,lr,n_tgt,eval_mse,krr_mse,mse_over_krr,pred_to_krr_mse
1,1.1115410327911377,1.2179677486419678,0.0003,128.0,0.727598212659359,0.03759669978171587,20.702260971069336,0.6941629648208618
1,1.1115410327911377,1.2179677486419678,0.0003,256.0,0.8798414245247841,0.03728517866693437,26.131500720977783,0.8369336873292923
500,57.79689812660217,0.050554580986499786,0.00029326316315815787,128.0,0.047980180475860834,0.03497596690431237,1.4313431233167648,0.013774420600384474
500,57.79689812660217,0.050554580986499786,0.00029326316315815787,256.0,0.06075519137084484,0.03659255197271705,1.6817814111709595,0.02591636497527361
1000,117.93442034721375,0.04870164394378662,0.00028651282564128207,128.0,0.046607051976025105,0.03796107787638903,1.2356489598751068,0.00961556751281023
1000,117.93442034721375,0.04870164394378662,0.00028651282564128207,256.0,0.055845264345407486,0.03917527524754405,1.4938429147005081,0.015749199083074927
1500,180.27696824073792,0.04105383902788162,0.0002797624881244062,128.0,0.04364194627851248,0.036496014799922705,1.195918694138527,0.00621427409350872
1500,180.27696824073792,0.04105383902788162,0.0002797624881244062,256.0,0.04779438488185406,0.0385297667235136,1.253406599164009,0.008696957433130592
2000,243.37444138526917,0.03739742562174797,0.00027301215060753035,128.0,0.04556830320507288,0.03970764856785536,1.1621579676866531,0.005814640084281564
2000,243.37444138526917,0.03739742562174797,0.00027301215060753035,256.0,0.050978712271898985,0.03616824559867382,1.446148857474327,0.01557956903707236
2500,309.0846540927887,0.04809156060218811,0.00026626181309065454,128.0,0.04445372149348259,0.03737458726391196,1.209230050444603,0.0070286529953591526
2500,309.0846540927887,0.04809156060218811,0.00026626181309065454,256.0,0.04632999701425433,0.03709260141476989,1.285393938422203,0.00928246381226927
3000,380.23153614997864,0.036935076117515564,0.0002595114755737787,128.0,0.04294882481917739,0.037174846045672894,1.1699201613664627,0.0055146816885098815
3000,380.23153614997864,0.036935076117515564,0.0002595114755737787,256.0,0.04427294386550784,0.03692554426379502,1.2104200571775436,0.007575976836960763
3500,463.52179312705994,0.042597271502017975,0.0002527611380569028,128.0,0.04295634292066097,0.03937287861481309,1.097183033823967,0.00414639909286052
3500,463.52179312705994,0.042597271502017975,0.0002527611380569028,256.0,0.04249358596280217,0.03572714887559414,1.204528123140335,0.007585946470499039
4000,557.2579073905945,0.04453619569540024,0.00024601080054002697,128.0,0.040073522832244635,0.03777685575187206,1.06597600877285,0.003407060314202681
4000,557.2579073905945,0.04453619569540024,0.00024601080054002697,256.0,0.04202390508726239,0.037304593715816736,1.1420479118824005,0.0040106772794388235
4500,643.6933870315552,0.04212559387087822,0.00023926046302315113,128.0,0.04202769370749593,0.037624710239470005,1.1324637085199356,0.004229380167089403
4500,643.6933870315552,0.04212559387087822,0.00023926046302315113,256.0,0.043181682005524635,0.03605708992108703,1.1999304294586182,0.006866137380711734
5000,729.1091849803925,0.05343128740787506,0.0002325101255062753,128.0,0.04145517945289612,0.03654096182435751,1.150857836008072,0.005011113156797364
