Experiment 2 Layerwise Sufficiency

checkpoint=model_dx15.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 14.9   14.8       15.0  0.69     0.128       0.126    0.535
    1   46 14.9   14.8       14.9  1.00     0.002       0.001    0.437
    2   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    3   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    4   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    5   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    6   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    7   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    8   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   17 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    1   30 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    2   41 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    3   45 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    4   46 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    5   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    6   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    7   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    8   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   25 14.9   14.8       14.9  1.00     0.002       0.000    0.438
    1   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    2   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    3   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    4   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    5   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    6   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    7   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    8   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437
