probe_kind,basis,n,TQ_E_model_to_operator_mean,TQ_E_model_to_operator_std,TQ_E_operator_to_T_mean,TQ_E_operator_to_T_std,TQ_X_sub_mean,TQ_X_sub_std,TQ_X_use_mean,TQ_X_use_std,TQ_rho_operator_to_T_mean,TQ_rho_operator_to_T_std,actLR_E_model_to_operator_mean,actLR_E_model_to_operator_std,actLR_E_operator_to_T_mean,actLR_E_operator_to_T_std,actLR_KRR_cost_mean,actLR_KRR_cost_std,actLR_X_sub_mean,actLR_X_sub_std,actLR_X_use_mean,actLR_X_use_std,actLR_model_fit_gain_mean,actLR_model_fit_gain_std,actLR_rho_KRR_cost_mean,actLR_rho_KRR_cost_std,actLR_rho_operator_to_T_mean,actLR_rho_operator_to_T_std,rank_mean,rank_std
isotropic,raw,4,0.2831669591247687,0.09506057141753552,0.06663313446141965,0.01531087203658162,0.9953842082899651,0.001808582975971157,0.9225992300878949,0.04513147121964726,0.004394332135989904,0.0018164303047094694,0.19689678492944948,0.05914414763913469,0.20541082843924297,0.10633197748063002,0.1387776939778233,0.11259291223383004,0.9493265244837981,0.04338938158699228,0.9628412291171431,0.0195521484308759,0.08627017419531922,0.06462424064474843,0.1216417078338362,0.08575389613368455,0.1260360399698261,0.08602402745467971,6.0,0.0
isotropic,response,4,0.3007326952859543,0.07966959167124449,0.08109860709177744,0.03732369269368686,0.992378222400569,0.007408298126682646,0.9147044993496194,0.03845790181001546,0.006980850869730476,0.005790568180584295,0.218463778338573,0.05181107865591811,0.21763492854198022,0.08773881235750207,0.1365363214502028,0.11557840761169103,0.9468614634832034,0.03859859433136554,0.9548179370197666,0.019514258304917848,0.08226891694738128,0.06556378055038906,0.11718931342404247,0.07543362634897686,0.12417016429377295,0.07452599435668897,6.0,0.0
label,raw,4,0.012516695633712991,0.0057590293444759,0.002001182523411347,0.0005800331210447798,0.9999957429396918,2.264965561668731e-06,0.9998196476836321,0.00014288903978102339,0.004394332135989904,0.0018164303047094694,0.006435876676078369,0.0021391015986394687,0.010570343442014464,0.0049027346322784195,0.008569160918603116,0.00486397724915732,0.9998702402343622,0.00010356706233796292,0.999955404057858,2.7179258399523667e-05,0.006080818957634622,0.0036334683616734034,0.1216417078338362,0.08575389613368455,0.1260360399698261,0.08602402745467971,6.0,0.0
label,response,4,0.012794168772316594,0.005595560327318174,0.002322938837622737,0.000244855360893678,0.9999945589895458,1.0869046048349584e-06,0.9998140064421661,0.00014168542606222783,0.006980850869730476,0.005790568180584295,0.007092703040256738,0.0018944299309356049,0.010491850292962901,0.004664150860578871,0.008168911455340166,0.004755978178765908,0.9998736053499926,9.824881499855267e-05,0.999947276506771,2.5909669218922373e-05,0.005701465732059855,0.0038133933025127184,0.11718931342404247,0.07543362634897686,0.12417016429377295,0.07452599435668897,6.0,0.0
