probe_kind,eps,n,additivity_defect_mean,additivity_defect_std,eps_mean,eps_std
isotropic,0.00030000000000000003,4,0.01191339014862466,0.008166032932007456,0.00030000000000000003,0.0
isotropic,0.0009,4,0.0038195614044986897,0.0028747719334995367,0.0009,0.0
isotropic,0.003,4,0.0017926708470409245,0.0006854324871041371,0.003,0.0
isotropic,0.009000000000000001,4,0.0037510828614496913,0.0008439412131915319,0.009000000000000001,0.0
isotropic,0.03,4,0.01255851527417131,0.0028916543109088733,0.03,0.0
label,0.00030000000000000003,4,0.0012134106729278175,0.0006258856240686578,0.00030000000000000003,0.0
label,0.0009,4,0.00038981028091589643,0.00022065351356277265,0.0009,0.0
label,0.003,4,0.00014103496475979983,5.104373103698669e-05,0.003,0.0
label,0.009000000000000001,4,0.00024944507702279753,5.68938245829959e-05,0.009000000000000001,0.0
label,0.03,4,0.0008133944421113559,0.00018971111645102288,0.03,0.0
