basis,operator_kind,lambda,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,lambda_mean,lambda_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std,rho_operator_to_T_mean,rho_operator_to_T_std
raw,actLR,0.0,4,0.013268037897785563,0.007640063828155564,0.008247361399151276,0.004293048049280515,1.0017646696768976,0.007388300264930928,0.012503499328084705,0.006970403796105732,0.9999999999999991,4.796711693331816e-16,0.012503499328072213,0.00697040379609877,0.008246168535954591,0.004340965526178653,0.9998072226077424,0.00017066345108767623,0.9999178677182021,8.463916864397354e-05,-0.2502646404384916,0.18500646942962276,0.0,0.0,0.010451135401294463,0.008485950681648823,0.012827231731190571,0.006162231028675706,0.015692386088638394,0.004134870248413927,8.5,1.0,0.1603957538945934,0.09108197254853077
raw,actLR,0.1,4,0.017968552880971038,0.013917156652001113,0.011281176470238206,0.0067859810886114645,1.0010299839999286,0.007404348050364366,0.016262658586568165,0.01111050248549935,0.9999999999999991,5.362886707379033e-16,0.016262658586551917,0.011110502485488259,0.011295777093981633,0.006875620301443823,0.9996429434865872,0.0004458541331283838,0.9998369498039459,0.00019342981775407055,-0.24508962771631454,0.23547163253868314,0.1,0.0,0.010451135401294463,0.008485950681648823,0.012827231731190571,0.006162231028675706,0.015692386088638394,0.004134870248413927,8.5,1.0,0.1603957538945934,0.09108197254853077
raw,actLR,0.25,4,0.023632920996980725,0.020484611092658863,0.014889620590853114,0.009461352133500621,1.0005798632200567,0.007539654142911073,0.020832622911983942,0.015610839754829468,0.9999999999999989,6.214604987563197e-16,0.020832622911963142,0.01561083975481389,0.014922249650692413,0.009597755961984224,0.9993832280842201,0.0008504610477109456,0.999708238775733,0.00036049903386893177,-0.23940723662581584,0.28200668005647567,0.25,0.0,0.010451135401294463,0.008485950681648823,0.012827231731190571,0.006162231028675706,0.015692386088638394,0.004134870248413927,8.5,1.0,0.1603957538945934,0.09108197254853077
raw,actLR,0.5,4,0.03512893138699366,0.03195397824805551,0.02207911187905008,0.014297527927859523,0.9999057975597541,0.007862080739075194,0.030321697857493866,0.023529591717856034,0.9999999999999982,8.996689157468666e-16,0.030321697857463605,0.023529591717832567,0.022153648095354923,0.014528347185807446,0.9986653633742347,0.0018895486703853351,0.9993509112221037,0.0008054606113141504,-0.2315571502132472,0.32164234111857726,0.5,0.0,0.010451135401294463,0.008485950681648823,0.012827231731190571,0.006162231028675706,0.015692386088638394,0.004134870248413927,8.5,1.0,0.1603957538945934,0.09108197254853077
raw,actLR,0.75,4,0.056283371448455626,0.05059864042938463,0.035048504064981945,0.022350699328387742,0.9992473347821496,0.008640200014015205,0.04812725216791665,0.03633488653219712,0.9999999999999967,1.787884259778666e-15,0.048127252167868714,0.03633488653216098,0.0352059245396075,0.02273594602216023,0.9966935996142916,0.0045084746023518404,0.9983728504461695,0.0019609009516585655,-0.22020836831176757,0.3457937767014255,0.75,0.0,0.010451135401294463,0.008485950681648823,0.012827231731190571,0.006162231028675706,0.015692386088638394,0.004134870248413927,8.5,1.0,0.1603957538945934,0.09108197254853077
raw,actLR,0.9,4,0.09177105529964383,0.07743218442073661,0.056986261993905045,0.033918579172864664,0.9991104655014207,0.010429940851244107,0.07838570107328725,0.054873354494279235,0.999999999999992,4.5478507955696394e-15,0.07838570107320961,0.054873354494225,0.057244171116868546,0.03440218672182641,0.9915973680921748,0.01040925891843471,0.9958354720347101,0.00456626491305973,-0.20999651587437085,0.35462893004845053,0.9,0.0,0.010451135401294463,0.008485950681648823,0.012827231731190571,0.006162231028675706,0.015692386088638394,0.004134870248413927,8.5,1.0,0.1603957538945934,0.09108197254853077
raw,actLR,1.0,4,0.2884657922838241,0.11505437159833691,0.19851767649739444,0.07593838923456693,1.0294991020768043,0.04826960969060692,0.259225304307222,0.07289164605312687,0.9999999999999,4.532566231534966e-14,0.25922530430698676,0.07289164605305334,0.19433334530628846,0.08072207990844203,0.9288173475587074,0.034975389785730795,0.9573475102635082,0.03229019934444893,-0.19186672134184732,0.36110023692079507,1.0,0.0,0.010451135401294463,0.008485950681648823,0.012827231731190571,0.006162231028675706,0.015692386088638394,0.004134870248413927,8.5,1.0,0.1603957538945934,0.09108197254853077
raw,galerkin,0.0,4,0.013268037897785563,0.007640063828155564,0.013114373342697827,0.007666051744484184,1.0017646696768976,0.007388300264930928,0.0014441631331567049,0.0005081357450067049,0.9999999999999991,4.796711693331816e-16,0.0014441631331552618,0.0005081357450061977,0.013091929364672017,0.0076686228163546375,0.9999977207413934,1.5536424746766418e-06,0.9997844955535857,0.00020345439327976327,0.018011289911412577,0.20861234423373326,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010230922317081151,0.008614074521498007,0.0003085208778563172,0.0002859585557367685,8.5,1.0,0.002793389892862365,0.0013166144336187319
raw,galerkin,0.1,4,0.017968552880971038,0.013917156652001113,0.01755548102818115,0.013771641594826715,1.0010299839999286,0.007404348050364366,0.002262161542131004,0.0006210430656410589,0.9999999999999991,5.362886707379033e-16,0.002262161542128744,0.0006210430656404396,0.01758316149326408,0.013916688150621172,0.9999945933542902,2.6647967096355734e-06,0.9995455767750905,0.0006388126423665688,0.08645909256726488,0.12754873134787267,0.1,0.0,0.010451135401294463,0.008485950681648823,0.010230922317081151,0.008614074521498007,0.0003085208778563172,0.0002859585557367685,8.5,1.0,0.002793389892862365,0.0013166144336187319
raw,galerkin,0.25,4,0.023632920996980725,0.020484611092658863,0.0229572335852134,0.020295684862498938,1.0005798632200567,0.007539654142911073,0.0033378079813302887,0.0009186442137315507,0.9999999999999989,6.214604987563197e-16,0.0033378079813269545,0.0009186442137306347,0.02302778994279731,0.020543013521743637,0.9999882261074863,5.8378542727987146e-06,0.9991532093369344,0.0013146349778570315,0.088699963872954,0.10543997638556019,0.25,0.0,0.010451135401294463,0.008485950681648823,0.010230922317081151,0.008614074521498007,0.0003085208778563172,0.0002859585557367685,8.5,1.0,0.002793389892862365,0.0013166144336187319
raw,galerkin,0.5,4,0.03512893138699366,0.03195397824805551,0.034023801746705426,0.03168290219494465,0.9999057975597541,0.007862080739075194,0.005409260021957346,0.001520470526334699,0.9999999999999982,8.996689157468666e-16,0.005409260021951946,0.0015204705263331846,0.03417778067713766,0.03211926961069873,0.9999690060330488,1.572039996109423e-05,0.9980581436977419,0.0031068979376409752,0.07729725239881874,0.0991531338489878,0.5,0.0,0.010451135401294463,0.008485950681648823,0.010230922317081151,0.008614074521498007,0.0003085208778563172,0.0002859585557367685,8.5,1.0,0.002793389892862365,0.0013166144336187319
raw,galerkin,0.75,4,0.056283371448455626,0.05059864042938463,0.05452066057011771,0.050157999383886445,0.9992473347821496,0.008640200014015205,0.009122216122358681,0.0026529575038170185,0.9999999999999967,1.787884259778666e-15,0.009122216122349593,0.0026529575038143887,0.05481972725676532,0.05088942130521616,0.9999115065353793,4.693302218252059e-05,0.9950524976029091,0.007757451130111832,0.061112753697790664,0.09518624158609348,0.75,0.0,0.010451135401294463,0.008485950681648823,0.010230922317081151,0.008614074521498007,0.0003085208778563172,0.0002859585557367685,8.5,1.0,0.002793389892862365,0.0013166144336187319
raw,galerkin,0.9,4,0.09177105529964383,0.07743218442073661,0.08895597045285242,0.0766952903585875,0.9991104655014207,0.010429940851244107,0.015450281431457723,0.004802394577268305,0.999999999999992,4.5478507955696394e-15,0.015450281431442413,0.004802394577263611,0.08938794118922265,0.0775726283217872,0.9997439915584324,0.00015082814619538532,0.9874966614713895,0.018259202282287303,0.048957386578266024,0.09457839652362122,0.9,0.0,0.010451135401294463,0.008485950681648823,0.010230922317081151,0.008614074521498007,0.0003085208778563172,0.0002859585557367685,8.5,1.0,0.002793389892862365,0.0013166144336187319
raw,galerkin,1.0,4,0.2884657922838241,0.11505437159833691,0.27954147530965306,0.11597575862931143,1.0294991020768043,0.04826960969060692,0.05934673026400518,0.014739890703492266,0.9999999999999,4.532566231534966e-14,0.05934673026395221,0.014739890703480887,0.2695628450456535,0.10466568493079165,0.9963150173235149,0.0015461831033530974,0.9191196933693693,0.06025469598244442,0.029961955686793638,0.09246965668813217,1.0,0.0,0.010451135401294463,0.008485950681648823,0.010230922317081151,0.008614074521498007,0.0003085208778563172,0.0002859585557367685,8.5,1.0,0.002793389892862365,0.0013166144336187319
response,actLR,0.0,4,0.013268037897785563,0.007640063828155564,0.012980146478957075,0.007005568806319284,1.0017646696768976,0.007388300264930928,0.017134298924369996,0.011234584762775774,0.9999999999999991,4.796711693331816e-16,0.017134298924352878,0.011234584762764555,0.012979280166540944,0.007086047815534494,0.999611753879277,0.0004546211871229445,0.9997938792311254,0.00022940783894274396,-0.6318314024957032,0.17576558640209544,0.0,0.0,0.010451135401294463,0.008485950681648823,0.0087387875446009,0.004043334014096733,0.014205016079018837,0.006953698354846942,9.0,0.0,0.31704626799846725,0.15315363084439884
response,actLR,0.1,4,0.017968552880971038,0.013917156652001113,0.015822798972748988,0.010492190591629948,1.0010299839999286,0.007404348050364366,0.020745563165810776,0.015373219554650703,0.9999999999999991,5.362886707379033e-16,0.020745563165790053,0.015373219554635355,0.01584480679919407,0.010623848679428873,0.999392369699328,0.0008169736580422666,0.9996642924769237,0.00043528005366453415,-0.5761118600056607,0.06531763046224796,0.1,0.0,0.010451135401294463,0.008485950681648823,0.0087387875446009,0.004043334014096733,0.014205016079018837,0.006953698354846942,9.0,0.0,0.31704626799846725,0.15315363084439884
response,actLR,0.25,4,0.023632920996980725,0.020484611092658863,0.0200619185189325,0.014218289755048012,1.0005798632200567,0.007539654142911073,0.025271451135005656,0.018946529062797004,0.9999999999999989,6.214604987563197e-16,0.02527145113498042,0.018946529062778092,0.020108499633772474,0.014413407502075381,0.9990921255348872,0.0012376617013831542,0.9994398385056129,0.0007603928460295141,-0.5361716480949362,0.12065251113687055,0.25,0.0,0.010451135401294463,0.008485950681648823,0.0087387875446009,0.004043334014096733,0.014205016079018837,0.006953698354846942,9.0,0.0,0.31704626799846725,0.15315363084439884
response,actLR,0.5,4,0.03512893138699366,0.03195397824805551,0.029140384046459914,0.020967971291165507,0.9999057975597541,0.007862080739075194,0.03484841357926233,0.025372036468831894,0.9999999999999982,8.996689157468666e-16,0.034848413579227557,0.02537203646880659,0.029242092971676677,0.021297307676952596,0.9983027828950802,0.0022434607640506588,0.9988047185129207,0.0016415715542160317,-0.49923237781641305,0.19243439191295625,0.5,0.0,0.010451135401294463,0.008485950681648823,0.0087387875446009,0.004043334014096733,0.014205016079018837,0.006953698354846942,9.0,0.0,0.31704626799846725,0.15315363084439884
response,actLR,0.75,4,0.056283371448455626,0.05059864042938463,0.04634858368381933,0.03207853799954943,0.9992473347821496,0.008640200014015205,0.05321513687882785,0.03599991131357858,0.9999999999999967,1.787884259778666e-15,0.05321513687877485,0.035999911313542785,0.04655038628257102,0.032630357667357036,0.996196153996036,0.0046490456815528845,0.9970345063558188,0.0039569853339602645,-0.4783443653419504,0.2502654337863791,0.75,0.0,0.010451135401294463,0.008485950681648823,0.0087387875446009,0.004043334014096733,0.014205016079018837,0.006953698354846942,9.0,0.0,0.31704626799846725,0.15315363084439884
response,actLR,0.9,4,0.09177105529964383,0.07743218442073661,0.07556764049495185,0.04763432131630707,0.9991104655014207,0.010429940851244107,0.08501244890808088,0.051513337976900254,0.999999999999992,4.5478507955696394e-15,0.08501244890799668,0.051513337976849385,0.07585739674663425,0.04831135487244111,0.9907826655385275,0.009880394159921086,0.9924951651016154,0.009185967174665119,-0.46521447086635226,0.2862735771852658,0.9,0.0,0.010451135401294463,0.008485950681648823,0.0087387875446009,0.004043334014096733,0.014205016079018837,0.006953698354846942,9.0,0.0,0.31704626799846725,0.15315363084439884
response,actLR,1.0,4,0.2884657922838241,0.11505437159833691,0.26157751643851607,0.055868753484810386,1.0294991020768043,0.04826960969060692,0.2825987523403402,0.036242303528351325,0.9999999999999,4.532566231534966e-14,0.2825987523400856,0.036242303528315395,0.2551175610228924,0.059552164517628146,0.9191528167520481,0.02042010767726914,0.9322551848336799,0.03041674282187298,-0.4491124209100294,0.33072554190718007,1.0,0.0,0.010451135401294463,0.008485950681648823,0.0087387875446009,0.004043334014096733,0.014205016079018837,0.006953698354846942,9.0,0.0,0.31704626799846725,0.15315363084439884
response,galerkin,0.0,4,0.013268037897785563,0.007640063828155564,0.014063397900852155,0.0080030017608663,1.0017646696768976,0.007388300264930928,0.003569007053866458,0.001423970055047895,0.9999999999999991,4.796711693331816e-16,0.0035690070538628924,0.0014239700550464727,0.014043833718617017,0.008025274952909051,0.9999857414206113,1.0821894890717868e-05,0.9997544669559315,0.000237397604312395,-0.3412007917365443,0.13510397159013318,0.0,0.0,0.010451135401294463,0.008485950681648823,0.013251890887503424,0.010227151394094507,0.005732330892846846,0.003565573515296604,9.0,0.0,0.017497248586043696,0.012422716816475323
response,galerkin,0.1,4,0.017968552880971038,0.013917156652001113,0.01934716555725915,0.014999176858193694,1.0010299839999286,0.007404348050364366,0.005417120870889456,0.0025492766369374417,0.9999999999999991,5.362886707379033e-16,0.005417120870884044,0.002549276636934897,0.01938079881662397,0.015166523693017568,0.9999657806929415,3.281979831363322e-05,0.9994518670565313,0.0007796535252671627,-0.3700953852192373,0.1776957718661841,0.1,0.0,0.010451135401294463,0.008485950681648823,0.013251890887503424,0.010227151394094507,0.005732330892846846,0.003565573515296604,9.0,0.0,0.017497248586043696,0.012422716816475323
response,galerkin,0.25,4,0.023632920996980725,0.020484611092658863,0.02570287563777211,0.02203545077736984,1.0005798632200567,0.007539654142911073,0.007704364824980539,0.003885410469030407,0.9999999999999989,6.214604987563197e-16,0.007704364824972844,0.00388541046902653,0.025782890458508043,0.022314043934079954,0.9999293204517591,7.352563238226149e-05,0.9989618051420857,0.0016016688016392137,-0.40079842796102433,0.1868893263497985,0.25,0.0,0.010451135401294463,0.008485950681648823,0.013251890887503424,0.010227151394094507,0.005732330892846846,0.003565573515296604,9.0,0.0,0.017497248586043696,0.012422716816475323
response,galerkin,0.5,4,0.03512893138699366,0.03195397824805551,0.03849994838604107,0.03424437348657153,0.9999057975597541,0.007862080739075194,0.012099617823783469,0.006266015516710942,0.9999999999999982,8.996689157468666e-16,0.012099617823771388,0.0062660155167046944,0.038672195395029065,0.03473290248245386,0.999824152035677,0.00018864521619409936,0.9975996804171869,0.003782249361230057,-0.4271079972554357,0.18906595584143643,0.5,0.0,0.010451135401294463,0.008485950681648823,0.013251890887503424,0.010227151394094507,0.005732330892846846,0.003565573515296604,9.0,0.0,0.017497248586043696,0.012422716816475323
response,galerkin,0.75,4,0.056283371448455626,0.05059864042938463,0.06189256861907865,0.05401817486172635,0.9992473347821496,0.008640200014015205,0.019917729005003718,0.01005175514426508,0.9999999999999967,1.787884259778666e-15,0.019917729004983873,0.010051755144255084,0.062227685074253386,0.05483596104514586,0.9995275057351739,0.0004958439482759754,0.993872478242491,0.009439817316026593,-0.44027773620345745,0.18693766584251234,0.75,0.0,0.010451135401294463,0.008485950681648823,0.013251890887503424,0.010227151394094507,0.005732330892846846,0.003565573515296604,9.0,0.0,0.017497248586043696,0.012422716816475323
response,galerkin,0.9,4,0.09177105529964383,0.07743218442073661,0.1009507801164892,0.08221859789070417,0.9991104655014207,0.010429940851244107,0.032908013521160455,0.015018814284277924,0.999999999999992,4.5478507955696394e-15,0.03290801352112782,0.015018814284263075,0.10143928132931784,0.08319589398573901,0.9987478890592143,0.0011926278081000094,0.9845189046213267,0.022192025071088542,-0.44354034891345995,0.1833879230400023,0.9,0.0,0.010451135401294463,0.008485950681648823,0.013251890887503424,0.010227151394094507,0.005732330892846846,0.003565573515296604,9.0,0.0,0.017497248586043696,0.012422716816475323
response,galerkin,1.0,4,0.2884657922838241,0.11505437159833691,0.32444215595146175,0.11839724016740359,1.0294991020768043,0.04826960969060692,0.12296968867169113,0.04108435089230822,0.9999999999999,4.532566231534966e-14,0.12296968867157976,0.0410843508922685,0.31408877661537543,0.10908039852127831,0.9836125127518355,0.01127564794803773,0.8924243403980862,0.0694391707059641,-0.4440486895812853,0.17173485202207558,1.0,0.0,0.010451135401294463,0.008485950681648823,0.013251890887503424,0.010227151394094507,0.005732330892846846,0.003565573515296604,9.0,0.0,0.017497248586043696,0.012422716816475323
