probe_kind,basis,n,TQ_E_model_to_operator_mean,TQ_E_model_to_operator_std,TQ_E_operator_to_T_mean,TQ_E_operator_to_T_std,TQ_X_sub_mean,TQ_X_sub_std,TQ_X_use_mean,TQ_X_use_std,TQ_rho_operator_to_T_mean,TQ_rho_operator_to_T_std,actLR_E_model_to_operator_mean,actLR_E_model_to_operator_std,actLR_E_operator_to_T_mean,actLR_E_operator_to_T_std,actLR_KRR_cost_mean,actLR_KRR_cost_std,actLR_X_sub_mean,actLR_X_sub_std,actLR_X_use_mean,actLR_X_use_std,actLR_model_fit_gain_mean,actLR_model_fit_gain_std,actLR_rho_KRR_cost_mean,actLR_rho_KRR_cost_std,actLR_rho_operator_to_T_mean,actLR_rho_operator_to_T_std,rank_mean,rank_std
isotropic,raw,4,0.2914407679532869,0.07491011557699769,0.052538177304262204,0.014345588489483724,0.9970853929937192,0.001378282685401885,0.9207211386683223,0.04170798949975361,0.002793389892862365,0.0013166144336187319,0.20077611836972753,0.058420636804932424,0.2681146312114144,0.058063586795622825,0.21557645390715213,0.06391825254283413,0.9255860094468281,0.03054315186725666,0.9619538022159327,0.01889743085976865,0.09066464958355938,0.07207869234371028,0.15760236400173105,0.09159575982295828,0.1603957538945934,0.09108197254853077,8.5,1.0
isotropic,response,4,0.31932480084404197,0.06967588304351251,0.1279535883423926,0.039357535432655306,0.9824661175338395,0.01150975959051202,0.9061664236213756,0.04024562580716598,0.017497248586043696,0.012422716816475323,0.24183418525740288,0.049098449230534004,0.29288325740061666,0.07078150002235951,0.16492966905822404,0.09884116052754136,0.9104618819755101,0.04568452481776395,0.9464060115352814,0.021659035429908196,0.07749061558663906,0.023255679455026816,0.2995490194124235,0.1457152750575746,0.31704626799846725,0.15315363084439884,9.0,0.0
label,raw,4,0.011951005982579125,0.006282938526819421,0.0014797389833830824,0.0005712473290426792,0.9999975656299079,1.7282399311882174e-06,0.999829049370823,0.00014909689550691394,0.002793389892862365,0.0013166144336187319,0.007291006366143075,0.002375370490814163,0.012026901033615346,0.005455379900124447,0.010547162050232265,0.005561921824931095,0.9998330327741369,0.00013030418294451303,0.999942931084745,3.265399513848179e-05,0.004659999616436048,0.004440504773221097,0.15760236400173105,0.09159575982295828,0.1603957538945934,0.09108197254853077,8.5,1.0
label,response,4,0.012394640479293294,0.006315103525388276,0.003676162907430105,0.0006491610985103194,0.9999861697686792,5.0941100363015315e-06,0.9998179974364318,0.00015497906831123484,0.017497248586043696,0.012422716816475323,0.011733658631924736,0.0046368595861787185,0.016503846248624717,0.007030553255342299,0.012827683341194612,0.006534797854167742,0.9996905515496952,0.0002320488979413369,0.9998467762415896,0.00012485836298339797,0.0006609818473685583,0.00412874094261105,0.2995490194124235,0.1457152750575746,0.31704626799846725,0.15315363084439884,9.0,0.0
