probe_kind,basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,is_selected_rank_mean,is_selected_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std,rho_operator_to_T_mean,rho_operator_to_T_std
isotropic,raw,0,4,0.2943038205103726,0.13064247961653086,1.0426898738801067,0.03490013142191745,1.0426898738801067,0.03490013142191745,0.9999999999999563,2.7730473223858144e-14,0.9999999999999563,2.7730473223858144e-14,0.9999999999989999,6.409875621278546e-17,0.99999999999904,3.2946760693371726e-14,2.0001222900134508e-12,1.1102230246251565e-16,1.9199086764842832e-12,6.589339668087407e-14,-0.9542272373039099,0.039173444237744826,0.0,0.0,0.010451135401294463,0.008485950681648823,0.9914811381671973,0.009752880590227967,0.9999999999998229,9.986067819177242e-14,0.0,0.0,1342.4033405660634,1054.00588990826
isotropic,raw,1,4,0.2943038205103726,0.13064247961653086,1.068783713958486,0.10914218545586164,1.0426898738801067,0.03490013142191745,1.007731766159432,0.07465574957100428,0.9999999999999563,2.7730473223858144e-14,1.0077317661584695,0.07465574957095265,1.0233509671369836,0.07390100791904587,-0.019703423232868916,0.15311499013300464,-0.05134322116878823,0.15017279765995964,-0.9607432611958429,0.030596526039473698,0.0,0.0,0.010451135401294463,0.008485950681648823,1.0857662832021313,0.18747069731487495,1.0933892054816248,0.19179510934418323,1.0,0.0,1100.4974637114342,781.0476138414195
isotropic,raw,10,4,0.2943038205103726,0.13064247961653086,0.28703761478187373,0.12740593829246333,1.0426898738801067,0.03490013142191745,0.04623436353833804,0.02031605282108137,0.9999999999999563,2.7730473223858144e-14,0.046234363538294174,0.02031605282106321,0.2732740494625261,0.11619045916950294,0.9975528271265377,0.002185596035667549,0.9151961267888379,0.07094890314213599,0.0657208784831635,0.13394211256202362,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010290350317967977,0.008579896041211421,0.00027871023643015057,0.0003349245998479181,10.0,0.0,0.002112664569715471,0.0011108364886245692
isotropic,raw,11,4,0.2943038205103726,0.13064247961653086,0.28728237038875704,0.1296643692016226,1.0426898738801067,0.03490013142191745,0.04271038663120752,0.018797439662005675,0.9999999999999563,2.7730473223858144e-14,0.04271038663116698,0.018797439661988852,0.27344471030960027,0.11834365822243875,0.9979108150704317,0.0019199969217059015,0.9147240743225968,0.07214316979576542,0.08069831789846424,0.08330124502224441,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010310184294125843,0.008538566856589812,0.0002351346414306872,0.00030981654357437944,11.0,0.0,0.001899698880996142,0.0011020867770039184
isotropic,raw,12,4,0.2943038205103726,0.13064247961653086,0.28869871914463263,0.13102736244460014,1.0426898738801067,0.03490013142191745,0.038315110655776446,0.018795855724754906,0.9999999999999563,2.7730473223858144e-14,0.03831511065574007,0.018795855724737954,0.2747891558397192,0.1196253513403162,0.9982669891511196,0.0017811960000104203,0.9137582513204239,0.07341055782088086,0.06347757339197765,0.05492766378591304,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010322345728036723,0.008507090361639102,0.00023502820246483648,0.0002986098088085749,12.0,0.0,0.0016101637478142532,0.001124180431093537
isotropic,raw,13,4,0.2943038205103726,0.13064247961653086,0.29162574462378227,0.13109047205305002,1.0426898738801067,0.03490013142191745,0.02697389341941968,0.004628666706759742,0.9999999999999563,2.7730473223858144e-14,0.026973893419393862,0.004628666706755274,0.27757392001169257,0.11962974816087947,0.9992563406571875,0.00024077172667213816,0.912219261445566,0.07390208704094571,0.043563404130176314,0.05544645026172664,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010450822396317571,0.008479791955152464,3.748663904609771e-05,1.4131001810252436e-05,13.0,0.0,0.0008583923607674092,0.00039931517242701263
isotropic,raw,14,4,0.2943038205103726,0.13064247961653086,0.2915194786185815,0.130544566268993,1.0426898738801067,0.03490013142191745,0.025182510701196217,0.004180077407611101,0.9999999999999563,2.7730473223858144e-14,0.025182510701172084,0.004180077407606681,0.2774790358119915,0.11909959535588249,0.9993527363694352,0.00020383829137478,0.9123668494743963,0.07347390584642428,0.06387794195033461,0.093997631615847,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010428572887187315,0.008512804091981558,5.150743194562776e-05,2.383132863897331e-05,14.0,0.0,0.0007348113879146452,0.000352586994288438
isotropic,raw,15,4,0.2943038205103726,0.13064247961653086,0.291194852930709,0.13057850028888832,1.0426898738801067,0.03490013142191745,0.02428525940176468,0.0038182452457823546,0.9999999999999563,2.7730473223858144e-14,0.024285259401741408,0.0038182452457783075,0.27718827718491773,0.11915182992727948,0.9993992919282224,0.00017658969814197687,0.9125187900599927,0.07369304401953547,0.08285797228321717,0.09520106027152714,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010423880939313453,0.008509478315530115,4.2302500584010905e-05,3.0436822892950664e-05,15.0,0.0,0.000671479410499083,0.00035512013488554056
isotropic,raw,16,4,0.2943038205103726,0.13064247961653086,0.29178618887648466,0.13037498865708863,1.0426898738801067,0.03490013142191745,0.021147407435160706,0.0034146006203883577,0.9999999999999563,2.7730473223858144e-14,0.02114740743514046,0.003414600620384894,0.2777489770084338,0.1189454012234929,0.9995440425357246,0.00014560790539816824,0.9122444994166052,0.07359743802764833,0.07828461075615983,0.07147836105135907,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010439945460708075,0.008506828804860943,2.7187853316880866e-05,1.909854377919169e-05,16.0,0.0,0.0005306981033703314,0.0002646354696562824
isotropic,raw,17,4,0.2943038205103726,0.13064247961653086,0.291645066631244,0.13075020157491166,1.0426898738801067,0.03490013142191745,0.019218739990611345,0.003130203029806634,0.9999999999999563,2.7730473223858144e-14,0.019218739990592953,0.0031302030298036142,0.2776025538288874,0.11931016406876166,0.9996232914049181,0.00011575126985867363,0.9122606356700935,0.07376410091823155,0.10155269055930634,0.057555782948781484,0.0,0.0,0.010451135401294463,0.008485950681648823,0.01044610414495805,0.008497831289339017,2.6100688674323227e-05,1.6282995543571504e-05,17.0,0.0,0.0004369629097770756,0.00018872454500064317
